Date,Benchmark_Return,Strategy_Return,Daily_Profit,Daily_Loss,Daily_Buy_Amount,Daily_Sell_Amount,Excess_Return(%)
2011-01-28 16:00:00,0.34,-0.11,0,-113.36,97856,0,-0.45
2011-01-31 16:00:00,1.65,0.33,444,0,0,0,-1.3
2011-02-01 16:00:00,1.68,-0.32,0,-648,0,0,-1.97
2011-02-09 16:00:00,0.48,-0.52,0,-200,0,0,-1
2011-02-10 16:00:00,2.57,2.66,3178,0,0,0,0.09
2011-02-11 16:00:00,3.12,2.47,0,-192,0,0,-0.63
2011-02-14 16:00:00,6.37,5.22,2750,0,0,0,-1.08
2011-02-15 16:00:00,6.32,4.55,0,-665,0,0,-1.66
2011-02-16 16:00:00,7.34,5.47,915,0,0,0,-1.74
2011-02-17 16:00:00,7.25,4.31,0,-1161,0,0,-2.74
2011-02-18 16:00:00,6.13,2.52,0,-1792.24,77856,-80677,-3.4
2011-02-21 16:00:00,7.65,3.96,1448,0,0,0,-3.43
2011-02-22 16:00:00,4.53,0.43,0,-3537,0,0,-3.92
2011-02-23 16:00:00,4.9,0.53,107.35,0,0,-7650,-4.17
2011-02-24 16:00:00,5.43,1.31,771.84,0,0,-5160,-3.91
2011-02-25 16:00:00,5.66,1.6,296.42,0,0,-2577,-3.84
2011-02-28 16:00:00,7.04,3.37,1764,0,0,0,-3.43
2011-03-01 16:00:00,7.55,3.37,8,0,0,0,-3.89
2011-03-02 16:00:00,7.16,2.42,0,-955,0,0,-4.42
2011-03-03 16:00:00,6.45,1.84,0,-577,0,0,-4.33
2011-03-04 16:00:00,8.07,4.2,2356.58,0,74865,-61259,-3.58
2011-03-07 16:00:00,10.18,7.15,2950,0,0,0,-2.75
2011-03-08 16:00:00,10.28,10.12,2967,0,0,0,-0.15
2011-03-09 16:00:00,10.32,9.36,0,-751,0,0,-0.87
2011-03-10 16:00:00,8.39,8.57,0,-799,0,0,0.17
2011-03-11 16:00:00,7.3,6.95,0,-1611,0,0,-0.33
2011-03-14 16:00:00,7.81,10.35,3398,0,0,0,2.36
2011-03-15 16:00:00,5.86,10.36,3,0,0,0,4.25
2011-03-16 16:00:00,7.33,11.43,1075.48,0,0,-9522,3.82
2011-03-17 16:00:00,5.64,10.73,0,-699.3,0,-6300,4.82
2011-03-18 16:00:00,6.25,12.54,1813.05,0,65210,-43290,5.92
2011-03-21 16:00:00,5.97,10.78,0,-1760,0,0,4.54
2011-03-22 16:00:00,6.49,10.01,0,-775,0,0,3.31
2011-03-23 16:00:00,7.88,12.78,2770,0,0,0,4.54
2011-03-24 16:00:00,7.43,11.86,0,-921,0,0,4.12
2011-03-25 16:00:00,8.86,13.81,1952.24,0,0,-9756,4.55
2011-03-28 16:00:00,8.73,13.52,0,-288,0,0,4.41
2011-03-29 16:00:00,7.65,12.63,0,-892,0,0,4.63
2011-03-30 16:00:00,7.59,11.51,0,-1122.43,0,-5425,3.64
2011-03-31 16:00:00,6.5,11.14,0,-366.16,0,-2156,4.36
2011-04-01 16:00:00,8.14,15.63,4484.62,0,63786,-48629,6.93
2011-04-06 16:00:00,9.4,14.38,0,-1249,0,0,4.55
2011-04-07 16:00:00,9.84,15.95,1567,0,0,0,5.56
2011-04-08 16:00:00,10.8,16.44,495,0,0,0,5.09
2011-04-11 16:00:00,10.14,15.45,0,-992,0,0,4.82
2011-04-12 16:00:00,9.92,15.57,118.76,0,0,-12240,5.14
2011-04-13 16:00:00,11.42,17.68,2111,0,0,0,5.62
2011-04-14 16:00:00,10.81,16.62,0,-1061.18,0,-6180,5.24
2011-04-15 16:00:00,10.99,16.85,230,0,0,0,5.28
2011-04-18 16:00:00,11,18.02,1175,0,0,0,6.32
2011-04-19 16:00:00,8.9,16.34,0,-1682.7,69639,-52796,6.83
2011-04-20 16:00:00,8.9,16.67,334,0,0,0,7.13
2011-04-21 16:00:00,9.61,16.78,104,0,0,0,6.54
2011-04-22 16:00:00,9.04,16.4,0,-373,0,0,6.75
2011-04-25 16:00:00,7.37,14.3,0,-2108,0,0,6.45
2011-04-26 16:00:00,6.76,14.21,0,-84,0,0,6.98
2011-04-27 16:00:00,6.05,13.92,0,-288,0,0,7.42
2011-04-28 16:00:00,4.47,12,0,-1920,0,0,7.21
2011-04-29 16:00:00,5.49,14.33,2322.99,0,0,-29453,8.38
2011-05-03 16:00:00,6.1,15.97,1646,0,0,0,9.3
2011-05-04 16:00:00,3.39,17.48,1502.04,0,61006,-35741,13.63
2011-05-05 16:00:00,3.29,18.33,858,0,0,0,14.56
2011-05-06 16:00:00,3.14,18.14,0,-190,0,0,14.54
2011-05-09 16:00:00,3.41,16.58,0,-1562,0,0,12.74
2011-05-10 16:00:00,4.19,16.19,0,-388,0,0,11.52
2011-05-11 16:00:00,3.92,17.65,1456,0,0,0,13.21
2011-05-12 16:00:00,2.48,16.97,0,-682,0,0,14.14
