Date,Benchmark_Return,Strategy_Return,Daily_Profit,Daily_Loss,Daily_Buy_Amount,Daily_Sell_Amount,Excess_Return(%)
2018-01-02 16:00:00,1.4,4.98,4984.15,0,96180,0,3.53
2018-01-03 16:00:00,2,4.93,0,-59,0,0,2.87
2018-01-04 16:00:00,2.43,5.9,970,0,0,0,3.39
2018-01-05 16:00:00,2.68,7.69,1796,0,0,0,4.88
2018-01-08 16:00:00,3.21,11.79,4094,0,0,0,8.31
2018-01-09 16:00:00,3.93,10.89,0,-894,0,0,6.7
2018-01-10 16:00:00,4.39,10.04,0,-855.99,0,-10990,5.41
2018-01-11 16:00:00,4.34,7.67,0,-2361.43,0,-6432,3.19
2018-01-12 16:00:00,4.82,7.98,309.84,0,0,-3158,3.01
2018-01-15 16:00:00,4.82,6.49,0,-1491.59,0,-1592,1.59
2018-01-16 16:00:00,5.65,9.88,3384.02,0,83673,-61808,4
2018-01-17 16:00:00,5.39,8.95,0,-923,0,0,3.38
2018-01-18 16:00:00,5.97,10.06,1111,0,0,0,3.86
2018-01-19 16:00:00,6.32,9.88,0,-181,0,0,3.35
2018-01-22 16:00:00,7.59,10.95,1065,0,0,0,3.12
2018-01-23 16:00:00,8.73,11.24,294,0,0,0,2.31
2018-01-24 16:00:00,8.91,10.85,0,-396,0,0,1.78
2018-01-25 16:00:00,8.29,10.76,0,-86,0,0,2.28
2018-01-26 16:00:00,8.69,12.72,1962,0,0,0,3.71
2018-01-29 16:00:00,6.73,12.61,0,-108,0,0,5.51
2018-01-30 16:00:00,5.59,11.12,0,-1489.17,65388,-66583,5.24
2018-01-31 16:00:00,6.08,12.16,1038,0,0,0,5.73
2018-02-01 16:00:00,5.34,11.83,0,-332,0,0,6.16
2018-02-02 16:00:00,5.96,17.98,6148,0,0,0,11.34
2018-02-05 16:00:00,6.04,18.88,897.05,0,0,-10953,12.11
2018-02-06 16:00:00,2.93,15.14,0,-3731,0,0,11.86
2018-02-07 16:00:00,0.49,13.26,0,-1889,0,0,12.71
2018-02-08 16:00:00,-0.47,10.33,0,-2930.45,0,-10450,10.85
2018-02-09 16:00:00,-4.72,6.33,0,-3994.49,0,-60700,11.6
2018-02-12 16:00:00,-3.49,6.54,212.26,0,0,-6740,10.39
2018-02-13 16:00:00,-2.36,6.09,0,-449.85,85706,0,8.65
2018-02-14 16:00:00,-1.59,6.17,75.72,0,0,-66276,7.89
2018-02-22 16:00:00,0.54,6.67,499.65,0,0,-7354,6.1
2018-02-23 16:00:00,1,6.54,0,-131,0,0,5.49
2018-02-26 16:00:00,2.17,7.07,531,0,0,0,4.8
2018-02-27 16:00:00,0.7,6.26,0,-805,0,0,5.52
2018-02-28 16:00:00,-0.18,5.88,0,-386,0,0,6.07
2018-03-01 16:00:00,0.45,6.07,197,0,0,0,5.59
2018-03-02 16:00:00,-0.36,5.74,0,-330,0,0,6.12
2018-03-05 16:00:00,-0.32,5.64,0,-109,0,0,5.98
2018-03-06 16:00:00,0.89,6.39,753.3,0,97113,-20568,5.45
2018-03-07 16:00:00,0.14,5.91,0,-475.84,0,-62837,5.76
2018-03-08 16:00:00,1.16,6.16,244.89,0,0,-8108,4.94
2018-03-09 16:00:00,1.94,6.72,566,0,0,0,4.69
2018-03-12 16:00:00,2.4,6.91,185,0,0,0,4.4
2018-03-13 16:00:00,1.5,6.42,0,-491,0,0,4.85
2018-03-14 16:00:00,1.05,6.53,109,0,0,0,5.42
2018-03-15 16:00:00,1.62,6.57,41,0,0,0,4.87
2018-03-16 16:00:00,0.63,5.9,0,-666,0,0,5.24
2018-03-19 16:00:00,1.08,6.18,282.27,0,0,-726,5.05
2018-03-20 16:00:00,1.16,9.3,3110.73,0,89840,-15430,8.05
2018-03-21 16:00:00,0.75,9.01,0,-288.59,0,-64594,8.2
2018-03-22 16:00:00,-0.26,8.96,0,-48.02,0,-8022,9.24
2018-03-23 16:00:00,-3.12,7.84,0,-1120,0,0,11.31
2018-03-26 16:00:00,-3.75,8.05,209.64,0,0,-6358,12.26
2018-03-27 16:00:00,-2.92,8.36,316,0,0,0,11.62
2018-03-28 16:00:00,-4.67,7.9,0,-464,0,0,13.19
2018-03-29 16:00:00,-3.39,8.01,108,0,0,0,11.8
2018-03-30 16:00:00,-3.28,8.48,473,0,0,0,12.16
2018-04-02 16:00:00,-3.57,8.45,0,-29,0,0,12.47
