日Date,Order_Time,Security_Type,Symbol,Trade_Side,Order_Type,Filled_Qty,Filled_Price,Turnover,Order_Qty,Order_Price,Realized_PnL,Commission,Status,Last_Updated
2018-01-02,09:30:00,Stock,陕西煤业(601225.XSHG),Buy,Market_Order,2400Shares,8.28,19872,2400Shares,-,0,5.96,Filled,2018-01-02 09:30:00
2018-01-02,09:30:00,Stock,海螺水泥(600585.XSHG),Buy,Market_Order,600Shares,29.8,17880,600Shares,-,0,5.36,Filled,2018-01-02 09:30:00
2018-01-02,09:30:00,Stock,川投能源(600674.XSHG),Buy,Market_Order,1900Shares,10.22,19418,1900Shares,-,0,5.83,Filled,2018-01-02 09:30:00
2018-01-02,09:30:00,Stock,金地集团(600383.XSHG),Buy,Market_Order,1500Shares,12.86,19290,1500Shares,-,0,5.79,Filled,2018-01-02 09:30:00
2018-01-02,09:30:00,Stock,长城汽车(601633.XSHG),Buy,Market_Order,1700Shares,11.6,19720,1700Shares,-,0,5.92,Filled,2018-01-02 09:30:00
2018-01-10,09:30:00,Stock,金地集团(600383.XSHG),Sell,Market_Order,-700Shares,15.7,-10990,-700Shares,-,1988,15.99,Filled,2018-01-10 09:30:00
2018-01-11,09:30:00,Stock,金地集团(600383.XSHG),Sell,Market_Order,-400Shares,16.08,-6432,-400Shares,-,1288,11.43,Filled,2018-01-11 09:30:00
2018-01-12,09:30:00,Stock,金地集团(600383.XSHG),Sell,Market_Order,-200Shares,15.79,-3158,-200Shares,-,586,8.16,Filled,2018-01-12 09:30:00
2018-01-15,09:30:00,Stock,金地集团(600383.XSHG),Sell,Market_Order,-100Shares,15.92,-1592,-100Shares,-,306,6.59,Filled,2018-01-15 09:30:00
2018-01-16,09:30:00,Stock,陕西煤业(601225.XSHG),Sell,Market_Order,-2400Shares,8.7,-20880,-2400Shares,-,1008,27.14,Filled,2018-01-16 09:30:00
2018-01-16,09:30:00,Stock,川投能源(600674.XSHG),Sell,Market_Order,-1900Shares,9.87,-18753,-1900Shares,-,-665,24.38,Filled,2018-01-16 09:30:00
2018-01-16,09:30:00,Stock,金地集团(600383.XSHG),Sell,Market_Order,-100Shares,15.71,-1571,-100Shares,-,285,6.57,Filled,2018-01-16 09:30:00
2018-01-16,09:30:00,Stock,长城汽车(601633.XSHG),Sell,Market_Order,-1700Shares,12.12,-20604,-1700Shares,-,884,26.79,Filled,2018-01-16 09:30:00
2018-01-16,09:30:00,Stock,金融街(000402.XSHE),Buy,Market_Order,1800Shares,11.81,21258,1800Shares,-,0,6.38,Filled,2018-01-16 09:30:00
2018-01-16,09:30:00,Stock,龙蟒佰利(002601.XSHE),Buy,Market_Order,1200Shares,16.64,19968,1200Shares,-,0,5.99,Filled,2018-01-16 09:30:00
2018-01-16,09:30:00,Stock,大秦铁路(601006.XSHG),Buy,Market_Order,2200Shares,9.66,21252,2200Shares,-,0,6.38,Filled,2018-01-16 09:30:00
2018-01-16,09:30:00,Stock,新希望(000876.XSHE),Buy,Market_Order,2700Shares,7.85,21195,2700Shares,-,0,6.36,Filled,2018-01-16 09:30:00
2018-01-30,09:30:00,Stock,金融街(000402.XSHE),Sell,Market_Order,-1800Shares,12.02,-21636,-1800Shares,-,378,28.13,Filled,2018-01-30 09:30:00
2018-01-30,09:30:00,Stock,大秦铁路(601006.XSHG),Sell,Market_Order,-2200Shares,10.06,-22132,-2200Shares,-,880,28.77,Filled,2018-01-30 09:30:00
2018-01-30,09:30:00,Stock,新希望(000876.XSHE),Sell,Market_Order,-2700Shares,8.45,-22815,-2700Shares,-,1620,29.66,Filled,2018-01-30 09:30:00
2018-01-30,09:30:00,Stock,中国神华(601088.XSHG),Buy,Market_Order,800Shares,26.16,20928,800Shares,-,0,6.28,Filled,2018-01-30 09:30:00
2018-01-30,09:30:00,Stock,陕西煤业(601225.XSHG),Buy,Market_Order,2200Shares,10.05,22110,2200Shares,-,0,6.63,Filled,2018-01-30 09:30:00
2018-01-30,09:30:00,Stock,上港集团(600018.XSHG),Buy,Market_Order,3000Shares,7.45,22350,3000Shares,-,0,6.7,Filled,2018-01-30 09:30:00
2018-02-05,09:30:00,Stock,海螺水泥(600585.XSHG),Sell,Market_Order,-300Shares,36.51,-10953,-300Shares,-,2013,15.95,Filled,2018-02-05 09:30:00
2018-02-08,09:30:00,Stock,陕西煤业(601225.XSHG),Sell,Market_Order,-1100Shares,9.5,-10450,-1100Shares,-,-605,15.45,Filled,2018-02-08 09:30:00
2018-02-09,09:30:00,Stock,中国神华(601088.XSHG),Sell,Market_Order,-800Shares,24.11,-19288,-800Shares,-,-1640,25.07,Filled,2018-02-09 09:30:00
2018-02-09,09:30:00,Stock,陕西煤业(601225.XSHG),Sell,Market_Order,-1100Shares,8.87,-9757,-1100Shares,-,-1298,14.76,Filled,2018-02-09 09:30:00
2018-02-09,09:30:00,Stock,上港集团(600018.XSHG),Sell,Market_Order,-1500Shares,7.03,-10545,-1500Shares,-,-630,15.54,Filled,2018-02-09 09:30:00
2018-02-09,09:30:00,Stock,龙蟒佰利(002601.XSHE),Sell,Market_Order,-800Shares,17.6,-14080,-800Shares,-,768,19.08,Filled,2018-02-09 09:30:00
2018-02-09,09:30:00,Stock,上港集团(600018.XSHG),Sell,Market_Order,-1000Shares,7.03,-7030,-1000Shares,-,-420,12.03,Filled,2018-02-09 09:30:00
2018-02-12,09:30:00,Stock,上港集团(600018.XSHG),Sell,Market_Order,-500Shares,6.8,-3400,-500Shares,-,-325,8.4,Filled,2018-02-12 09:30:00
2018-02-12,09:30:00,Stock,龙蟒佰利(002601.XSHE),Sell,Market_Order,-200Shares,16.7,-3340,-200Shares,-,12,8.34,Filled,2018-02-12 09:30:00
2018-02-13,09:30:00,Stock,中国神华(601088.XSHG),Buy,Market_Order,800Shares,24.45,19560,800Shares,-,0,5.87,Filled,2018-02-13 09:30:00
2018-02-13,09:30:00,Stock,海螺水泥(600585.XSHG),Buy,Market_Order,300Shares,31.8,9540,300Shares,-,0,5,Filled,2018-02-13 09:30:00
2018-02-13,09:30:00,Stock,龙蟒佰利(002601.XSHE),Buy,Market_Order,1000Shares,17.1,17100,1000Shares,-,0,5.13,Filled,2018-02-13 09:30:00
2018-02-13,09:30:00,Stock,宇通客车(600066.XSHG),Buy,Market_Order,800Shares,23.72,18976,800Shares,-,0,5.69,Filled,2018-02-13 09:30:00
2018-02-13,09:30:00,Stock,三七互娱(002555.XSHE),Buy,Market_Order,1000Shares,20.53,20530,1000Shares,-,0,6.16,Filled,2018-02-13 09:30:00
2018-02-14,09:30:00,Stock,三七互娱(002555.XSHE),Sell,Market_Order,-500Shares,19.5,-9750,-500Shares,-,-515,14.75,Filled,2018-02-14 09:30:00
2018-02-14,09:30:00,Stock,海螺水泥(600585.XSHG),Sell,Market_Order,-400Shares,31.99,-12796,-400Shares,-,476,17.8,Filled,2018-02-14 09:30:00
2018-02-14,09:30:00,Stock,龙蟒佰利(002601.XSHE),Sell,Market_Order,-800Shares,17,-13600,-800Shares,-,-18.67,18.6,Filled,2018-02-14 09:30:00
