Date,Security_Type,Symbol,Side,Quantity,Available_Qty,Close_Price,Market_Value,Floating_PnL,Avg_Open_Price,Avg_Position_Price,Margin,Daily_PnL,Today_Lots,PnL_Ratio,Position_Weight
2022-03-01,Stock,中国神华(601088.XSHG),Long,700Shares,0Shares,26.05,18235,483,25.36,-,0,483,700Shares,2.72%,100788.19,18.09%
2022-03-01,Stock,长春高新(000661.XSHE),Long,100Shares,0Shares,182.75,18275,219,180.56,-,0,219,100Shares,1.21%,100788.19,18.13%
2022-03-01,Stock,宝丰能源(600989.XSHG),Long,1100Shares,0Shares,17.2,18920,-385,17.55,-,0,-385,1100Shares,-1.99%,100788.19,18.77%
2022-03-01,Stock,陕西煤业(601225.XSHG),Long,1400Shares,0Shares,14.72,20608,784,14.16,-,0,784,1400Shares,3.95%,100788.19,20.45%
2022-03-01,Stock,华鲁恒升(600426.XSHG),Long,500Shares,0Shares,34.95,17475,-285,35.52,-,0,-285,500Shares,-1.6%,100788.19,17.34%
2022-03-01,,Cash,,,,,7275.19,,,,,,,,0
2022-03-02,Stock,中国神华(601088.XSHG),Long,700Shares,700Shares,26.3,18410,658,25.36,-,0,175,0Shares,3.71%,101400.19,18.16%
2022-03-02,Stock,长春高新(000661.XSHE),Long,100Shares,100Shares,181.5,18150,94,180.56,-,0,-125,0Shares,0.52%,101400.19,17.9%
2022-03-02,Stock,宝丰能源(600989.XSHG),Long,1100Shares,1100Shares,17.3,19030,-275,17.55,-,0,110,0Shares,-1.42%,101400.19,18.77%
2022-03-02,Stock,陕西煤业(601225.XSHG),Long,1400Shares,1400Shares,14.85,20790,966,14.16,-,0,182,0Shares,4.87%,101400.19,20.5%
2022-03-02,Stock,华鲁恒升(600426.XSHG),Long,500Shares,500Shares,35.49,17745,-15,35.52,-,0,270,0Shares,-0.08%,101400.19,17.5%
2022-03-02,,Cash,,,,,7275.19,,,,,,,,0
2022-03-03,Stock,中国神华(601088.XSHG),Long,700Shares,700Shares,26.97,18879,1127,25.36,-,0,469,0Shares,6.35%,103166.19,18.3%
2022-03-03,Stock,长春高新(000661.XSHE),Long,100Shares,100Shares,179.17,17917,-139,180.56,-,0,-233,0Shares,-0.77%,103166.19,17.37%
2022-03-03,Stock,宝丰能源(600989.XSHG),Long,1100Shares,1100Shares,18.17,19987,682,17.55,-,0,957,0Shares,3.53%,103166.19,19.37%
2022-03-03,Stock,陕西煤业(601225.XSHG),Long,1400Shares,1400Shares,14.97,20958,1134,14.16,-,0,168,0Shares,5.72%,103166.19,20.31%
2022-03-03,Stock,华鲁恒升(600426.XSHG),Long,500Shares,500Shares,36.3,18150,390,35.52,-,0,405,0Shares,2.2%,103166.19,17.59%
2022-03-03,,Cash,,,,,7275.19,,,,,,,,0
2022-03-04,Stock,中国神华(601088.XSHG),Long,700Shares,700Shares,27.22,19054,1302,25.36,-,0,175,0Shares,7.33%,103218.19,18.46%
2022-03-04,Stock,长春高新(000661.XSHE),Long,100Shares,100Shares,179.72,17972,-84,180.56,-,0,55,0Shares,-0.47%,103218.19,17.41%
2022-03-04,Stock,宝丰能源(600989.XSHG),Long,1100Shares,1100Shares,17.87,19657,352,17.55,-,0,-330,0Shares,1.82%,103218.19,19.04%
2022-03-04,Stock,陕西煤业(601225.XSHG),Long,1400Shares,1400Shares,15.2,21280,1456,14.16,-,0,322,0Shares,7.34%,103218.19,20.62%
