Date,Order_Time,Security_Type,Symbol,Trade_Side,Order_Type,Filled_Qty,Filled_Price,Turnover,Order_Qty,Order_Price,Realized_PnL,Commission,Status,Last_Updated
2022-03-01,09:30:00,Stock,中国神华(601088.XSHG),Buy,Market_Order,700Shares,25.36,17752,700Shares,-,0,5.33,Filled,2022-03-01 09:30:00
2022-03-01,09:30:00,Stock,长春高新(000661.XSHE),Buy,Market_Order,100Shares,180.56,18056,100Shares,-,0,5.42,Filled,2022-03-01 09:30:00
2022-03-01,09:30:00,Stock,宝丰能源(600989.XSHG),Buy,Market_Order,1100Shares,17.55,19305,1100Shares,-,0,5.79,Filled,2022-03-01 09:30:00
2022-03-01,09:30:00,Stock,陕西煤业(601225.XSHG),Buy,Market_Order,1400Shares,14.16,19824,1400Shares,-,0,5.95,Filled,2022-03-01 09:30:00
2022-03-01,09:30:00,Stock,华鲁恒升(600426.XSHG),Buy,Market_Order,500Shares,35.52,17760,500Shares,-,0,5.33,Filled,2022-03-01 09:30:00
2022-03-09,09:30:00,Stock,长春高新(000661.XSHE),Sell,Market_Order,-100Shares,165.27,-16527,-100Shares,-,-1529,21.53,Filled,2022-03-09 09:30:00
2022-03-09,09:30:00,Stock,宝丰能源(600989.XSHG),Sell,Market_Order,-500Shares,16.45,-8225,-500Shares,-,-550,13.22,Filled,2022-03-09 09:30:00
2022-03-09,09:30:00,Stock,华鲁恒升(600426.XSHG),Sell,Market_Order,-200Shares,33.15,-6630,-200Shares,-,-474,11.63,Filled,2022-03-09 09:30:00
2022-03-10,09:30:00,Stock,华鲁恒升(600426.XSHG),Sell,Market_Order,-300Shares,32.8,-9840,-300Shares,-,-816,14.84,Filled,2022-03-10 09:30:00
2022-03-15,09:30:00,Stock,宝丰能源(600989.XSHG),Sell,Market_Order,-300Shares,16.37,-4911,-300Shares,-,-354,9.91,Filled,2022-03-15 09:30:00
2022-03-16,09:30:00,Stock,宝丰能源(600989.XSHG),Sell,Market_Order,-300Shares,15.3,-4590,-300Shares,-,-675,9.59,Filled,2022-03-16 09:30:00
2022-03-16,09:30:00,Stock,陕西煤业(601225.XSHG),Sell,Market_Order,-700Shares,13.38,-9366,-700Shares,-,-546,14.37,Filled,2022-03-16 09:30:00
2022-03-16,09:30:00,Stock,中国神华(601088.XSHG),Sell,Market_Order,-400Shares,24.55,-9820,-400Shares,-,-324,14.82,Filled,2022-03-16 09:30:00
2022-03-16,09:30:00,Stock,陕西煤业(601225.XSHG),Sell,Market_Order,-400Shares,13.38,-5352,-400Shares,-,-312,10.35,Filled,2022-03-16 09:30:00
2022-03-22,09:30:00,Stock,中国神华(601088.XSHG),Buy,Market_Order,400Shares,25.97,10388,400Shares,-,0,5,Filled,2022-03-22 09:30:00
2022-03-22,09:30:00,Stock,陕西煤业(601225.XSHG),Buy,Market_Order,900Shares,14.75,13275,900Shares,-,0,5,Filled,2022-03-22 09:30:00
2022-03-22,09:30:00,Stock,智飞生物(300122.XSHE),Buy,Market_Order,100Shares,140,14000,100Shares,-,0,5,Filled,2022-03-22 09:30:00
2022-03-22,09:30:00,Stock,三七互娱(002555.XSHE),Buy,Market_Order,800Shares,22.93,18344,800Shares,-,0,5.5,Filled,2022-03-22 09:30:00
2022-03-22,09:30:00,Stock,通威Shares份(600438.XSHG),Buy,Market_Order,400Shares,45.4,18160,400Shares,-,0,5.45,Filled,2022-03-22 09:30:00
2022-03-23,09:30:00,Stock,中国神华(601088.XSHG),Sell,Market_Order,-400Shares,26.99,-10796,-400Shares,-,512.57,15.8,Filled,2022-03-23 09:30:00
