"Date","AssetType","Security","Side","Quantity","AvailableQuantity","CloseOrSettlementPrice","MarketValue","UnrealizedPnL","AverageOpenPrice","AverageHoldingPriceFutures","Margin","DailyPnL","TodayQuantity","PnLRatio","PositionRatio"
"2011-01-04","Equity","002028.XSHE","Long","700 shares","0 shares","26.13","18291","-77","26.24","-","0","-77","700 shares","-0.42%","101186.09"
"2011-01-04","Equity","601898.XSHG","Long","1800 shares","0 shares","11.07","19926","-72","11.11","-","0","-72","1800 shares","-0.36%","101186.09"
"2011-01-04","Equity","600395.XSHG","Long","500 shares","0 shares","35.62","17810","560","34.5","-","0","560","500 shares","3.25%","101186.09"
"2011-01-04","Equity","601699.XSHG","Long","300 shares","0 shares","63.74","19122","696","61.42","-","0","696","300 shares","3.78%","101186.09"
"2011-01-04","Equity","000937.XSHE","Long","400 shares","0 shares","42.5","17000","120","42.2","-","0","120","400 shares","0.71%","101186.09"
"2011-01-04","","Cash","","","","","9037.09","","","","","","","","0"
"2011-01-05","Equity","002028.XSHE","Long","700 shares","700 shares","26.75","18725","357","26.24","-","0","434","0 shares","1.94%","102352.09"
"2011-01-05","Equity","601898.XSHG","Long","1800 shares","1800 shares","11.18","20124","126","11.11","-","0","198","0 shares","0.63%","102352.09"
"2011-01-05","Equity","600395.XSHG","Long","500 shares","500 shares","35.69","17845","595","34.5","-","0","35","0 shares","3.45%","102352.09"
"2011-01-05","Equity","601699.XSHG","Long","300 shares","300 shares","64.07","19221","795","61.42","-","0","99","0 shares","4.31%","102352.09"
"2011-01-05","Equity","000937.XSHE","Long","400 shares","400 shares","43.5","17400","520","42.2","-","0","400","0 shares","3.08%","102352.09"
"2011-01-05","","Cash","","","","","9037.09","","","","","","","","0"
"2011-01-06","Equity","002028.XSHE","Long","700 shares","700 shares","26.46","18522","154","26.24","-","0","-203","0 shares","0.84%","101423.09"
"2011-01-06","Equity","601898.XSHG","Long","1800 shares","1800 shares","11.1","19980","-18","11.11","-","0","-144","0 shares","-0.09%","101423.09"
"2011-01-06","Equity","600395.XSHG","Long","500 shares","500 shares","35.45","17725","475","34.5","-","0","-120","0 shares","2.75%","101423.09"
"2011-01-06","Equity","601699.XSHG","Long","300 shares","300 shares","62.57","18771","345","61.42","-","0","-450","0 shares","1.87%","101423.09"
"2011-01-06","Equity","000937.XSHE","Long","400 shares","400 shares","43.47","17388","508","42.2","-","0","-12","0 shares","3.01%","101423.09"
"2011-01-06","","Cash","","","","","9037.09","","","","","","","","0"
"2011-01-07","Equity","002028.XSHE","Long","700 shares","700 shares","25.71","17997","-371","26.24","-","0","-525","0 shares","-2.02%","97783.09"
"2011-01-07","Equity","601898.XSHG","Long","1800 shares","1800 shares","10.99","19782","-216","11.11","-","0","-198","0 shares","-1.08%","97783.09"
"2011-01-07","Equity","600395.XSHG","Long","500 shares","500 shares","33.7","16850","-400","34.5","-","0","-875","0 shares","-2.32%","97783.09"
"2011-01-07","Equity","601699.XSHG","Long","300 shares","300 shares","59.59","17877","-549","61.42","-","0","-894","0 shares","-2.98%","97783.09"
"2011-01-07","Equity","000937.XSHE","Long","400 shares","400 shares","40.6","16240","-640","42.2","-","0","-1148","0 shares","-3.79%","97783.09"
"2011-01-07","","Cash","","","","","9037.09","","","","","","","","0"
"2011-01-10","Equity","002028.XSHE","Long","700 shares","700 shares","25.62","17934","-434","26.24","-","0","-63","0 shares","-2.36%","96817.09"
"2011-01-10","Equity","601898.XSHG","Long","1800 shares","1800 shares","10.83","19494","-504","11.11","-","0","-288","0 shares","-2.52%","96817.09"
"2011-01-10","Equity","600395.XSHG","Long","500 shares","500 shares","33.61","16805","-445","34.5","-","0","-45","0 shares","-2.58%","96817.09"
