"Date","AssetType","Security","Side","Quantity","AvailableQuantity","CloseOrSettlementPrice","MarketValue","UnrealizedPnL","AverageOpenPrice","AverageHoldingPriceFutures","Margin","DailyPnL","TodayQuantity","PnLRatio","PositionRatio"
"2011-01-04","Equity","002028.XSHE","Long","500 shares","0 shares","26.13","13065","-55","26.24","-","0","-55","500 shares","-0.42%","100870"
"2011-01-04","Equity","601898.XSHG","Long","1300 shares","0 shares","11.07","14391","-52","11.11","-","0","-52","1300 shares","-0.36%","100870"
"2011-01-04","Equity","600395.XSHG","Long","400 shares","0 shares","35.62","14248","448","34.5","-","0","448","400 shares","3.25%","100870"
"2011-01-04","Equity","601699.XSHG","Long","200 shares","0 shares","63.74","12748","464","61.42","-","0","464","200 shares","3.78%","100870"
"2011-01-04","Equity","000937.XSHE","Long","300 shares","0 shares","42.5","12750","90","42.2","-","0","90","300 shares","0.71%","100870"
"2011-01-04","","Cash","","","","","33668","","","","","","","","0"
"2011-01-05","Equity","002028.XSHE","Long","500 shares","500 shares","26.75","13375","255","26.24","-","0","310","0 shares","1.94%","101717"
"2011-01-05","Equity","601898.XSHG","Long","1300 shares","1300 shares","11.18","14534","91","11.11","-","0","143","0 shares","0.63%","101717"
"2011-01-05","Equity","600395.XSHG","Long","400 shares","400 shares","35.69","14276","476","34.5","-","0","28","0 shares","3.45%","101717"
"2011-01-05","Equity","601699.XSHG","Long","200 shares","200 shares","64.07","12814","530","61.42","-","0","66","0 shares","4.31%","101717"
"2011-01-05","Equity","000937.XSHE","Long","300 shares","300 shares","43.5","13050","390","42.2","-","0","300","0 shares","3.08%","101717"
"2011-01-05","","Cash","","","","","33668","","","","","","","","0"
"2011-01-06","Equity","002028.XSHE","Long","500 shares","500 shares","26.46","13230","110","26.24","-","0","-145","0 shares","0.84%","101063"
"2011-01-06","Equity","601898.XSHG","Long","1300 shares","1300 shares","11.1","14430","-13","11.11","-","0","-104","0 shares","-0.09%","101063"
"2011-01-06","Equity","600395.XSHG","Long","400 shares","400 shares","35.45","14180","380","34.5","-","0","-96","0 shares","2.75%","101063"
"2011-01-06","Equity","601699.XSHG","Long","200 shares","200 shares","62.57","12514","230","61.42","-","0","-300","0 shares","1.87%","101063"
"2011-01-06","Equity","000937.XSHE","Long","300 shares","300 shares","43.47","13041","381","42.2","-","0","-9","0 shares","3.01%","101063"
"2011-01-06","","Cash","","","","","33668","","","","","","","","0"
"2011-01-07","Equity","002028.XSHE","Long","500 shares","500 shares","25.71","12855","-265","26.24","-","0","-375","0 shares","-2.02%","98388"
"2011-01-07","Equity","601898.XSHG","Long","1300 shares","1300 shares","10.99","14287","-156","11.11","-","0","-143","0 shares","-1.08%","98388"
"2011-01-07","Equity","600395.XSHG","Long","400 shares","400 shares","33.7","13480","-320","34.5","-","0","-700","0 shares","-2.32%","98388"
"2011-01-07","Equity","601699.XSHG","Long","200 shares","200 shares","59.59","11918","-366","61.42","-","0","-596","0 shares","-2.98%","98388"
"2011-01-07","Equity","000937.XSHE","Long","300 shares","300 shares","40.6","12180","-480","42.2","-","0","-861","0 shares","-3.79%","98388"
"2011-01-07","","Cash","","","","","33668","","","","","","","","0"
"2011-01-10","Equity","002028.XSHE","Long","500 shares","500 shares","25.62","12810","-310","26.24","-","0","-45","0 shares","-2.36%","97694"
"2011-01-10","Equity","601898.XSHG","Long","1300 shares","1300 shares","10.83","14079","-364","11.11","-","0","-208","0 shares","-2.52%","97694"
"2011-01-10","Equity","600395.XSHG","Long","400 shares","400 shares","33.61","13444","-356","34.5","-","0","-36","0 shares","-2.58%","97694"
"2011-01-10","Equity","601699.XSHG","Long","200 shares","200 shares","58.69","11738","-546","61.42","-","0","-180","0 shares","-4.44%","97694"
"2011-01-10","Equity","000937.XSHE","Long","300 shares","300 shares","39.85","11955","-705","42.2","-","0","-225","0 shares","-5.57%","97694"
"2011-01-10","","Cash","","","","","33668","","","","","","","","0"
"2011-01-11","Equity","002028.XSHE","Long","500 shares","500 shares","25.92","12960","-160","26.24","-","0","150","0 shares","-1.22%","98274.03"
"2011-01-11","Equity","601898.XSHG","Long","1300 shares","1300 shares","10.89","14157","-286","11.11","-","0","78","0 shares","-1.98%","98274.03"
"2011-01-11","Equity","600395.XSHG","Long","400 shares","400 shares","34.1","13640","-160","34.5","-","0","196","0 shares","-1.16%","98274.03"
"2011-01-11","Equity","601699.XSHG","Long","200 shares","200 shares","59.6","11920","-364","61.42","-","0","182","0 shares","-2.96%","98274.03"
"2011-01-11","Equity","000937.XSHE","Long","200 shares","200 shares","39.85","7970","-470","42.2","-","0","0","0 shares","-5.57%","98274.03"
"2011-01-11","","Cash","","","","","37627.03","","","","","","","","0"
"2011-01-12","Equity","002028.XSHE","Long","500 shares","500 shares","25.95","12975","-145","26.24","-","0","15","0 shares","-1.11%","97943.03"
"2011-01-12","Equity","601898.XSHG","Long","1300 shares","1300 shares","10.99","14287","-156","11.11","-","0","130","0 shares","-1.08%","97943.03"
"2011-01-12","Equity","600395.XSHG","Long","400 shares","400 shares","33.5","13400","-400","34.5","-","0","-240","0 shares","-2.9%","97943.03"
"2011-01-12","Equity","601699.XSHG","Long","200 shares","200 shares","58.55","11710","-574","61.42","-","0","-210","0 shares","-4.67%","97943.03"
"2011-01-12","Equity","000937.XSHE","Long","200 shares","200 shares","39.72","7944","-496","42.2","-","0","-26","0 shares","-5.88%","97943.03"
"2011-01-12","","Cash","","","","","37627.03","","","","","","","","0"
"2011-01-13","Equity","002028.XSHE","Long","500 shares","500 shares","25.4","12700","-420","26.24","-","0","-275","0 shares","-3.2%","97174.03"
"2011-01-13","Equity","601898.XSHG","Long","1300 shares","1300 shares","10.94","14222","-221","11.11","-","0","-65","0 shares","-1.53%","97174.03"
"2011-01-13","Equity","600395.XSHG","Long","400 shares","400 shares","32.74","13096","-704","34.5","-","0","-304","0 shares","-5.1%","97174.03"
"2011-01-13","Equity","601699.XSHG","Long","200 shares","200 shares","57.93","11586","-698","61.42","-","0","-124","0 shares","-5.68%","97174.03"
"2011-01-13","Equity","000937.XSHE","Long","100 shares","100 shares","39.52","3952","-268","42.2","-","0","-20","0 shares","-6.35%","97174.03"
"2011-01-13","","Cash","","","","","41618.03","","","","","","","","0"
"2011-01-14","Equity","002028.XSHE","Long","500 shares","500 shares","24.75","12375","-745","26.24","-","0","-325","0 shares","-5.68%","95153.76"
"2011-01-14","Equity","601898.XSHG","Long","1300 shares","1300 shares","10.6","13780","-663","11.11","-","0","-442","0 shares","-4.59%","95153.76"
"2011-01-14","Equity","600395.XSHG","Long","200 shares","200 shares","29.98","5996","-904","34.5","-","0","-552","0 shares","-13.1%","95153.76"
"2011-01-14","Equity","601699.XSHG","Long","100 shares","100 shares","54.17","5417","-725","61.42","-","0","-376","0 shares","-11.8%","95153.76"
"2011-01-14","Equity","000937.XSHE","Long","100 shares","100 shares","37.14","3714","-506","42.2","-","0","-238","0 shares","-11.99%","95153.76"
"2011-01-14","","Cash","","","","","53871.76","","","","","","","","0"
"2011-01-17","Equity","002028.XSHE","Long","300 shares","300 shares","24.3","7290","-582","26.24","-","0","-135","0 shares","-7.39%","94451.53"
