"Timestamp","BenchmarkReturn","StrategyReturn","DailyProfit","DailyLoss","DailyBuyAmount","DailySellAmount","ExcessReturnPct"
"2011-01-04 16:00:00","1.96","0.87","870","0","66307","0","-1.07"
"2011-01-05 16:00:00","1.52","1.72","847","0","0","0","0.2"
"2011-01-06 16:00:00","1","1.06","0","-654","0","0","0.06"
"2011-01-07 16:00:00","1.23","-1.61","0","-2675","0","0","-2.81"
"2011-01-10 16:00:00","-0.64","-2.31","0","-694","0","0","-1.68"
"2011-01-11 16:00:00","-0.11","-1.73","580.03","0","0","-3968","-1.62"
"2011-01-12 16:00:00","0.45","-2.06","0","-331","0","0","-2.5"
"2011-01-13 16:00:00","0.42","-2.83","0","-769","0","-4000","-3.24"
"2011-01-14 16:00:00","-1.16","-4.85","0","-2020.28","0","-12276","-3.73"
"2011-01-17 16:00:00","-4.92","-5.55","0","-702.22","0","-26222","-0.66"
"2011-01-18 16:00:00","-4.81","-5.61","0","-58.38","0","-14375","-0.84"
"2011-01-19 16:00:00","-2.67","-5.61","0","0","0","0","-3.02"
"2011-01-20 16:00:00","-5.87","-5.61","0","0","0","0","0.28"
"2011-01-21 16:00:00","-4.63","-5.61","0","0","0","0","-1.03"
"2011-01-24 16:00:00","-5.56","-5.61","0","0","0","0","-0.05"
"2011-01-25 16:00:00","-6.06","-5.61","0","0","0","0","0.48"
"2011-01-26 16:00:00","-4.79","-5.61","0","0","0","0","-0.86"
"2011-01-27 16:00:00","-3.25","-5.61","0","0","0","0","-2.44"
"2011-01-28 16:00:00","-2.93","-5.61","0","0","0","0","-2.76"
"2011-01-31 16:00:00","-1.65","-5.61","0","0","0","0","-4.03"
"2011-02-01 16:00:00","-1.63","-5.66","0","-54","68222","0","-4.1"
"2011-02-09 16:00:00","-2.79","-6.19","0","-529.23","0","-45234","-3.5"
"2011-02-10 16:00:00","-0.77","-5.87","316.15","0","0","-12846","-5.14"
"2011-02-11 16:00:00","-0.23","-5.9","0","-29.73","0","-732","-5.68"
"2011-02-14 16:00:00","2.91","-5.7","204","0","0","0","-8.37"
"2011-02-15 16:00:00","2.86","-5.74","0","-40","0","0","-8.36"
"2011-02-16 16:00:00","3.84","-5.66","78","0","0","0","-9.15"
"2011-02-17 16:00:00","3.76","-5.76","0","-99","0","0","-9.18"
"2011-02-18 16:00:00","2.67","-5.92","0","-162","0","0","-8.37"
"2011-02-21 16:00:00","4.14","-5.67","253","0","0","0","-9.42"
"2011-02-22 16:00:00","1.13","-8.22","0","-2553.09","59896","-7093","-9.25"
"2011-02-23 16:00:00","1.49","-8.27","0","-51.23","0","-27227","-9.62"
"2011-02-24 16:00:00","2","-7.82","454.67","0","0","-2332","-9.63"
"2011-02-25 16:00:00","2.22","-7.76","64","0","0","0","-9.76"
"2011-02-28 16:00:00","3.56","-7.03","726","0","0","0","-10.23"
"2011-03-01 16:00:00","4.05","-7.11","0","-79","0","0","-10.73"
"2011-03-02 16:00:00","3.68","-7.41","0","-302","0","0","-10.7"
"2011-03-03 16:00:00","2.99","-7.58","0","-170","0","0","-10.26"
"2011-03-04 16:00:00","4.55","-7.1","478.25","0","0","-2750","-11.14"
"2011-03-07 16:00:00","6.59","-6.38","725","0","0","0","-12.17"
"2011-03-08 16:00:00","6.69","-5.04","1333.18","0","53917","-16822","-10.99"
"2011-03-09 16:00:00","6.73","-5.17","0","-130","0","0","-11.15"
"2011-03-10 16:00:00","4.86","-5.56","0","-382","0","0","-9.94"
"2011-03-11 16:00:00","3.81","-6.16","0","-606.77","0","-39770","-9.6"
"2011-03-14 16:00:00","4.3","-5.26","904.3","0","0","-2696","-9.17"
"2011-03-15 16:00:00","2.42","-5.05","211","0","0","0","-7.29"
"2011-03-16 16:00:00","3.83","-5","50.2","0","0","-1800","-8.5"
"2011-03-17 16:00:00","2.2","-5.08","0","-82.81","0","-1806","-7.12"
"2011-03-18 16:00:00","2.79","-4.95","130","0","0","0","-7.53"
"2011-03-21 16:00:00","2.52","-5.67","0","-716","0","0","-7.99"
"2011-03-22 16:00:00","3.03","-5.86","0","-193.97","52473","-13971","-8.63"
"2011-03-23 16:00:00","4.37","-5.59","270.4","0","0","-28602","-9.54"
"2011-03-24 16:00:00","3.94","-5.8","0","-212","0","0","-9.37"
"2011-03-25 16:00:00","5.31","-5.19","609.83","0","0","-2168","-9.97"
"2011-03-28 16:00:00","5.19","-5.35","0","-157","0","0","-10.02"
"2011-03-29 16:00:00","4.15","-5.92","0","-569","0","0","-9.67"
"2011-03-30 16:00:00","4.09","-6.04","0","-123","0","0","-9.73"
"2011-03-31 16:00:00","3.04","-6.13","0","-90","0","0","-8.9"
"2011-04-01 16:00:00","4.62","-5.63","500","0","0","0","-9.8"
"2011-04-06 16:00:00","5.84","-6.03","0","-400","0","0","-11.22"
"2011-04-07 16:00:00","6.27","-4.82","1213.07","0","54437","-22935","-10.44"
"2011-04-08 16:00:00","7.2","-4.25","566","0","0","0","-10.68"
"2011-04-11 16:00:00","6.56","-4.47","0","-218","0","0","-10.35"
"2011-04-12 16:00:00","6.35","-4.87","0","-403","0","0","-10.55"
"2011-04-13 16:00:00","7.79","-3.67","1201","0","0","0","-10.63"
"2011-04-14 16:00:00","7.2","-4.53","0","-858","0","0","-10.94"
"2011-04-15 16:00:00","7.37","-5.24","0","-711","0","0","-11.74"
"2011-04-18 16:00:00","7.39","-5.21","31.38","0","0","-20616","-11.73"
"2011-04-19 16:00:00","5.36","-6.09","0","-878","0","0","-10.87"
"2011-04-20 16:00:00","5.35","-6.13","0","-40.52","0","-3516","-10.9"
"2011-04-21 16:00:00","6.05","-6.77","0","-645.65","52278","-23654","-12.09"
"2011-04-22 16:00:00","5.49","-7.43","0","-661.01","0","-31010","-12.25"
"2011-04-25 16:00:00","3.88","-7.87","0","-431.02","0","-3016","-11.31"
"2011-04-26 16:00:00","3.28","-8.17","0","-302.18","0","-2183","-11.09"
"2011-04-27 16:00:00","2.6","-8.47","0","-300.44","0","-1444","-10.79"
"2011-04-28 16:00:00","1.07","-8.66","0","-187.24","0","-15241","-9.63"
"2011-04-29 16:00:00","2.06","-8.54","119.08","0","0","-2916","-10.39"
"2011-05-03 16:00:00","2.65","-8.48","52","0","0","0","-10.84"
"2011-05-04 16:00:00","0.02","-8.75","0","-268","0","0","-8.77"
"2011-05-05 16:00:00","-0.07","-8.78","0","-26","0","0","-8.72"
"2011-05-06 16:00:00","-0.22","-7.98","797.54","0","62693","-5460","-7.78"
"2011-05-09 16:00:00","0.05","-8.4","0","-418.21","0","-25210","-8.45"
"2011-05-10 16:00:00","0.8","-8.26","136.05","0","0","-12954","-8.99"
"2011-05-11 16:00:00","0.54","-8.05","211","0","0","0","-8.54"
"2011-05-12 16:00:00","-0.85","-7.97","83","0","0","0","-7.18"
"2011-05-13 16:00:00","-0.01","-7.87","102","0","0","0","-7.86"
"2011-05-16 16:00:00","-0.89","-7.9","0","-32","0","0","-7.07"
"2011-05-17 16:00:00","-0.39","-8.2","0","-306","0","0","-7.84"
"2011-05-18 16:00:00","0.36","-7.72","487","0","0","0","-8.05"
"2011-05-19 16:00:00","-0.24","-7.61","112","0","0","0","-7.39"
"2011-05-20 16:00:00","-0.21","-7.75","0","-147","0","0","-7.56"
"2011-05-23 16:00:00","-3.37","-8.73","0","-974","0","0","-5.55"
