"Timestamp","BenchmarkReturn","StrategyReturn","DailyProfit","DailyLoss","DailyBuyAmount","DailySellAmount","ExcessReturnPct"
"2011-01-04 16:00:00","1.96","0.39","394.32","0","55616","0","-1.54"
"2011-01-05 16:00:00","1.52","1.06","667","0","0","0","-0.45"
"2011-01-06 16:00:00","1","0.59","0","-467","0","0","-0.41"
"2011-01-07 16:00:00","1.23","-1","0","-1598","0","0","-2.2"
"2011-01-10 16:00:00","-0.64","-1.4","0","-396","0","0","-0.76"
"2011-01-11 16:00:00","-0.11","-0.84","563","0","0","0","-0.73"
"2011-01-12 16:00:00","0.45","-0.94","0","-99","0","0","-1.38"
"2011-01-13 16:00:00","0.42","-1.79","0","-855","0","0","-2.2"
"2011-01-14 16:00:00","-1.16","-3.7","0","-1908.55","0","-6546","-2.57"
"2011-01-17 16:00:00","-4.92","-4.46","0","-763.8","0","-25803","0.48"
"2011-01-18 16:00:00","-4.81","-4.54","0","-73.83","0","-18828","0.28"
"2011-01-19 16:00:00","-2.67","-4.54","0","0","0","0","-1.92"
"2011-01-20 16:00:00","-5.87","-4.54","0","0","0","0","1.41"
"2011-01-21 16:00:00","-4.63","-4.54","0","0","0","0","0.09"
"2011-01-24 16:00:00","-5.56","-4.54","0","0","0","0","1.08"
"2011-01-25 16:00:00","-6.06","-4.54","0","0","0","0","1.62"
"2011-01-26 16:00:00","-4.79","-4.54","0","0","0","0","0.26"
"2011-01-27 16:00:00","-3.25","-4.54","0","0","0","0","-1.33"
"2011-01-28 16:00:00","-2.93","-4.54","0","0","0","0","-1.66"
"2011-01-31 16:00:00","-1.65","-4.54","0","0","0","0","-2.94"
"2011-02-01 16:00:00","-1.63","-4.74","0","-204.76","55879","0","-3.16"
"2011-02-09 16:00:00","-2.79","-4.49","252","0","0","0","-1.75"
"2011-02-10 16:00:00","-0.77","-2.96","1534","0","0","0","-2.21"
"2011-02-11 16:00:00","-0.23","-3.25","0","-291","0","0","-3.03"
"2011-02-14 16:00:00","2.91","-1.53","1712","0","0","0","-4.31"
"2011-02-15 16:00:00","2.86","-2.06","0","-528","0","0","-4.78"
"2011-02-16 16:00:00","3.84","-1.26","798","0","0","0","-4.91"
"2011-02-17 16:00:00","3.76","-1.84","0","-574","0","0","-5.4"
"2011-02-18 16:00:00","2.67","-3.08","0","-1244","0","0","-5.6"
"2011-02-21 16:00:00","4.14","-1.87","1217","0","0","0","-5.77"
"2011-02-22 16:00:00","1.13","-4.16","0","-2292.48","54093","-58656","-5.23"
"2011-02-23 16:00:00","1.49","-4.02","133.76","0","0","-8238","-5.43"
"2011-02-24 16:00:00","2","-3.06","961","0","0","0","-4.96"
"2011-02-25 16:00:00","2.22","-2.92","142","0","0","0","-5.03"
"2011-02-28 16:00:00","3.56","-1.99","934","0","0","0","-5.36"
"2011-03-01 16:00:00","4.05","-2.16","0","-175","0","0","-5.97"
"2011-03-02 16:00:00","3.68","-2.81","0","-648","0","0","-6.26"
"2011-03-03 16:00:00","2.99","-2.8","12","0","0","0","-5.62"
"2011-03-04 16:00:00","4.55","-2.04","762.25","0","0","-2750","-6.3"
"2011-03-07 16:00:00","6.59","-0.72","1314","0","0","0","-6.86"
"2011-03-08 16:00:00","6.69","1.39","2107.96","0","54814","-44173","-4.97"
"2011-03-09 16:00:00","6.73","0.99","0","-394","0","0","-5.38"
"2011-03-10 16:00:00","4.86","1.19","202","0","0","0","-3.5"
"2011-03-11 16:00:00","3.81","0.71","0","-487","0","0","-2.99"
"2011-03-14 16:00:00","4.3","3.32","2618","0","0","0","-0.94"
"2011-03-15 16:00:00","2.42","4.4","1072","0","0","0","1.93"
"2011-03-16 16:00:00","3.83","4.39","0","-7","0","0","0.54"
"2011-03-17 16:00:00","2.2","4.5","107","0","0","0","2.25"
"2011-03-18 16:00:00","2.79","4.89","396","0","0","0","2.04"
"2011-03-21 16:00:00","2.52","2.86","0","-2030","0","0","0.33"
"2011-03-22 16:00:00","3.03","2.64","0","-222.42","40188","-40276","-0.38"
"2011-03-23 16:00:00","4.37","3.01","369","0","0","0","-1.3"
"2011-03-24 16:00:00","3.94","2.39","0","-618","0","0","-1.49"
"2011-03-25 16:00:00","5.31","3.62","1227","0","0","0","-1.6"
"2011-03-28 16:00:00","5.19","3.27","0","-353","0","0","-1.83"
"2011-03-29 16:00:00","4.15","2.33","0","-937","0","0","-1.75"
"2011-03-30 16:00:00","4.09","2.07","0","-258","0","0","-1.94"
"2011-03-31 16:00:00","3.04","2.17","95","0","0","0","-0.84"
"2011-04-01 16:00:00","4.62","3.24","1071","0","0","0","-1.32"
"2011-04-06 16:00:00","5.84","2.57","0","-665","0","0","-3.09"
"2011-04-07 16:00:00","6.27","4.71","2137.52","0","57946","-58539","-1.47"
"2011-04-08 16:00:00","7.2","5.16","454","0","0","0","-1.9"
"2011-04-11 16:00:00","6.56","4.46","0","-699","0","0","-1.97"
"2011-04-12 16:00:00","6.35","4.55","88","0","0","0","-1.69"
"2011-04-13 16:00:00","7.79","5.29","740","0","0","0","-2.32"
"2011-04-14 16:00:00","7.2","4.51","0","-777","0","0","-2.51"
"2011-04-15 16:00:00","7.37","3.85","0","-666","0","0","-3.28"
"2011-04-18 16:00:00","7.39","4.62","774","0","0","0","-2.58"
"2011-04-19 16:00:00","5.36","4.17","0","-454","0","0","-1.13"
"2011-04-20 16:00:00","5.35","3.88","0","-290","0","0","-1.4"
"2011-04-21 16:00:00","6.05","2.77","0","-1107.65","40120","-38930","-3.09"
"2011-04-22 16:00:00","5.49","1.84","0","-935","0","0","-3.46"
"2011-04-25 16:00:00","3.88","1.09","0","-750","0","0","-2.69"
"2011-04-26 16:00:00","3.28","0.71","0","-374","0","0","-2.49"
"2011-04-27 16:00:00","2.6","0.21","0","-498","0","0","-2.33"
"2011-04-28 16:00:00","1.07","-0.93","0","-1146.41","0","-18010","-1.98"
"2011-04-29 16:00:00","2.06","0.56","1488","0","0","0","-1.47"
"2011-05-03 16:00:00","2.65","1.36","804","0","0","0","-1.26"
"2011-05-04 16:00:00","0.02","2.84","1476","0","0","0","2.82"
"2011-05-05 16:00:00","-0.07","2.69","0","-144","0","0","2.76"
"2011-05-06 16:00:00","-0.22","2.53","0","-162.52","39832","-20256","2.76"
"2011-05-09 16:00:00","0.05","1.51","0","-1020","0","0","1.46"
"2011-05-10 16:00:00","0.8","1.77","262","0","0","0","0.96"
"2011-05-11 16:00:00","0.54","2.41","636","0","0","0","1.86"
"2011-05-12 16:00:00","-0.85","1.75","0","-662","0","0","2.62"
"2011-05-13 16:00:00","-0.01","1.86","116","0","0","0","1.87"
"2011-05-16 16:00:00","-0.89","1.43","0","-434","0","0","2.34"
"2011-05-17 16:00:00","-0.39","0.8","0","-628","0","0","1.19"
"2011-05-18 16:00:00","0.36","1.42","624","0","0","0","1.06"
"2011-05-19 16:00:00","-0.24","1.67","242","0","0","0","1.91"
"2011-05-20 16:00:00","-0.21","1.68","18","0","0","0","1.89"
"2011-05-23 16:00:00","-3.37","-0.65","0","-2338","0","0","2.81"
"2011-05-24 16:00:00","-3.26","-0.62","30","0","0","0","2.73"
"2011-05-25 16:00:00","-4.41","-1.04","0","-414.32","0","-9317","3.53"
"2011-05-26 16:00:00","-4.79","-1.62","0","-585.18","0","-4185","3.33"
"2011-05-27 16:00:00","-5.27","-2.08","0","-453.98","0","-4980","3.37"
"2011-05-30 16:00:00","-5.55","-1.25","828","0","0","0","4.55"
"2011-05-31 16:00:00","-4.05","-0.52","726","0","0","0","3.68"
"2011-06-01 16:00:00","-3.97","-0.15","378","0","0","0","3.98"
"2011-06-02 16:00:00","-5.52","-0.18","0","-36","0","0","5.65"
"2011-06-03 16:00:00","-4.54","1.13","1311.67","0","55126","-39066","5.94"
"2011-06-07 16:00:00","-3.96","1","0","-129","0","0","5.16"
"2011-06-08 16:00:00","-3.82","0.65","0","-346","0","0","4.65"
"2011-06-09 16:00:00","-5.64","-0.33","0","-986","0","0","5.63"
"2011-06-10 16:00:00","-5.32","-0.54","0","-211","0","0","5.05"
"2011-06-13 16:00:00","-5.69","-0.41","133","0","0","0","5.6"
"2011-06-14 16:00:00","-4.31","-0.19","216","0","0","0","4.31"
"2011-06-15 16:00:00","-5.28","-0.14","57","0","0","0","5.43"
"2011-06-16 16:00:00","-6.73","-0.52","0","-381","0","0","6.66"
"2011-06-17 16:00:00","-7.55","-0.85","0","-337","0","0","7.25"
"2011-06-20 16:00:00","-8.1","-0.79","59.82","0","55110","-54730","7.95"
"2011-06-21 16:00:00","-7.01","1.64","2439","0","0","0","9.3"
"2011-06-22 16:00:00","-7.02","1.01","0","-630.8","0","0","8.64"
"2011-06-23 16:00:00","-5.45","2.17","1157","0","0","0","8.06"
"2011-06-24 16:00:00","-3.22","2.3","129","0","0","0","5.7"
"2011-06-27 16:00:00","-2.93","3.07","770","0","0","0","6.18"
"2011-06-28 16:00:00","-2.77","3.84","767","0","0","0","6.8"
"2011-06-29 16:00:00","-4.09","2.93","0","-906","0","0","7.32"
"2011-06-30 16:00:00","-2.69","4.17","1238","0","0","0","7.05"
"2011-07-01 16:00:00","-2.51","4.91","743","0","0","0","7.61"
