"Date","AssetType","Security","Side","Quantity","AvailableQuantity","CloseOrSettlementPrice","MarketValue","UnrealizedPnL","AverageOpenPrice","AverageHoldingPriceFutures","Margin","DailyPnL","TodayQuantity","PnLRatio","PositionRatio"
"2011-01-04","Equity","002028.XSHE","Long","500 shares","0 shares","26.13","13065","-55","26.24","-","0","-55","500 shares","-0.42%","101184"
"2011-01-04","Equity","601898.XSHG","Long","1200 shares","0 shares","11.07","13284","-48","11.11","-","0","-48","1200 shares","-0.36%","101184"
"2011-01-04","Equity","600395.XSHG","Long","400 shares","0 shares","35.62","14248","448","34.5","-","0","448","400 shares","3.25%","101184"
"2011-01-04","Equity","601699.XSHG","Long","200 shares","0 shares","63.74","12748","464","61.42","-","0","464","200 shares","3.78%","101184"
"2011-01-04","Equity","000937.XSHE","Long","300 shares","0 shares","42.5","12750","90","42.2","-","0","90","300 shares","0.71%","101184"
"2011-01-04","Equity","601088.XSHG","Long","500 shares","0 shares","25.18","12590","-20","25.22","-","0","-20","500 shares","-0.16%","101184"
"2011-01-04","Equity","600585.XSHG","Long","400 shares","0 shares","30.73","12292","340","29.88","-","0","340","400 shares","2.84%","101184"
"2011-01-04","","Cash","","","","","10207","","","","","","","","0"
"2011-01-05","Equity","002028.XSHE","Long","500 shares","500 shares","26.75","13375","255","26.24","-","0","310","0 shares","1.94%","102163"
"2011-01-05","Equity","601898.XSHG","Long","1200 shares","1200 shares","11.18","13416","84","11.11","-","0","132","0 shares","0.63%","102163"
"2011-01-05","Equity","600395.XSHG","Long","400 shares","400 shares","35.69","14276","476","34.5","-","0","28","0 shares","3.45%","102163"
"2011-01-05","Equity","601699.XSHG","Long","200 shares","200 shares","64.07","12814","530","61.42","-","0","66","0 shares","4.31%","102163"
"2011-01-05","Equity","000937.XSHE","Long","300 shares","300 shares","43.5","13050","390","42.2","-","0","300","0 shares","3.08%","102163"
"2011-01-05","Equity","601088.XSHG","Long","500 shares","500 shares","25.25","12625","15","25.22","-","0","35","0 shares","0.12%","102163"
"2011-01-05","Equity","600585.XSHG","Long","400 shares","400 shares","31","12400","448","29.88","-","0","108","0 shares","3.75%","102163"
"2011-01-05","","Cash","","","","","10207","","","","","","","","0"
"2011-01-06","Equity","002028.XSHE","Long","500 shares","500 shares","26.46","13230","110","26.24","-","0","-145","0 shares","0.84%","101479"
"2011-01-06","Equity","601898.XSHG","Long","1200 shares","1200 shares","11.1","13320","-12","11.11","-","0","-96","0 shares","-0.09%","101479"
"2011-01-06","Equity","600395.XSHG","Long","400 shares","400 shares","35.45","14180","380","34.5","-","0","-96","0 shares","2.75%","101479"
"2011-01-06","Equity","601699.XSHG","Long","200 shares","200 shares","62.57","12514","230","61.42","-","0","-300","0 shares","1.87%","101479"
"2011-01-06","Equity","000937.XSHE","Long","300 shares","300 shares","43.47","13041","381","42.2","-","0","-9","0 shares","3.01%","101479"
"2011-01-06","Equity","601088.XSHG","Long","500 shares","500 shares","24.91","12455","-155","25.22","-","0","-170","0 shares","-1.23%","101479"
"2011-01-06","Equity","600585.XSHG","Long","400 shares","400 shares","31.33","12532","580","29.88","-","0","132","0 shares","4.85%","101479"
"2011-01-06","","Cash","","","","","10207","","","","","","","","0"
"2011-01-07","Equity","002028.XSHE","Long","500 shares","500 shares","25.71","12855","-265","26.24","-","0","-375","0 shares","-2.02%","98495"
"2011-01-07","Equity","601898.XSHG","Long","1200 shares","1200 shares","10.99","13188","-144","11.11","-","0","-132","0 shares","-1.08%","98495"
"2011-01-07","Equity","600395.XSHG","Long","400 shares","400 shares","33.7","13480","-320","34.5","-","0","-700","0 shares","-2.32%","98495"
"2011-01-07","Equity","601699.XSHG","Long","200 shares","200 shares","59.59","11918","-366","61.42","-","0","-596","0 shares","-2.98%","98495"
"2011-01-07","Equity","000937.XSHE","Long","300 shares","300 shares","40.6","12180","-480","42.2","-","0","-861","0 shares","-3.79%","98495"
"2011-01-07","Equity","601088.XSHG","Long","500 shares","500 shares","24.71","12355","-255","25.22","-","0","-100","0 shares","-2.02%","98495"
"2011-01-07","Equity","600585.XSHG","Long","400 shares","400 shares","30.78","12312","360","29.88","-","0","-220","0 shares","3.01%","98495"
"2011-01-07","","Cash","","","","","10207","","","","","","","","0"
"2011-01-10","Equity","002028.XSHE","Long","500 shares","500 shares","25.62","12810","-310","26.24","-","0","-45","0 shares","-2.36%","97067"
"2011-01-10","Equity","601898.XSHG","Long","1200 shares","1200 shares","10.83","12996","-336","11.11","-","0","-192","0 shares","-2.52%","97067"
"2011-01-10","Equity","600395.XSHG","Long","400 shares","400 shares","33.61","13444","-356","34.5","-","0","-36","0 shares","-2.58%","97067"
"2011-01-10","Equity","601699.XSHG","Long","200 shares","200 shares","58.69","11738","-546","61.42","-","0","-180","0 shares","-4.44%","97067"
"2011-01-10","Equity","000937.XSHE","Long","300 shares","300 shares","39.85","11955","-705","42.2","-","0","-225","0 shares","-5.57%","97067"
"2011-01-10","Equity","601088.XSHG","Long","500 shares","500 shares","24.33","12165","-445","25.22","-","0","-190","0 shares","-3.53%","97067"
"2011-01-10","Equity","600585.XSHG","Long","400 shares","400 shares","29.38","11752","-200","29.88","-","0","-560","0 shares","-1.67%","97067"
"2011-01-10","","Cash","","","","","10207","","","","","","","","0"
"2011-01-11","Equity","002028.XSHE","Long","500 shares","500 shares","25.92","12960","-160","26.24","-","0","150","0 shares","-1.22%","97682.03"
"2011-01-11","Equity","601898.XSHG","Long","1200 shares","1200 shares","10.89","13068","-264","11.11","-","0","72","0 shares","-1.98%","97682.03"
