"Date","AssetType","Security","Side","Quantity","AvailableQuantity","CloseOrSettlementPrice","MarketValue","UnrealizedPnL","AverageOpenPrice","AverageHoldingPriceFutures","Margin","DailyPnL","TodayQuantity","PnLRatio","PositionRatio"
"2011-01-04","Equity","002191.XSHE","Long","1700 shares","0 shares","11.36","19312","-34","11.38","-","0","-34","1700 shares","-0.18%","99390.64"
"2011-01-04","Equity","000513.XSHE","Long","400 shares","0 shares","42.45","16980","-484","43.66","-","0","-484","400 shares","-2.77%","99390.64"
"2011-01-04","Equity","600449.XSHG","Long","500 shares","0 shares","36.75","18375","260","36.23","-","0","260","500 shares","1.44%","99390.64"
"2011-01-04","Equity","600012.XSHG","Long","3300 shares","0 shares","5.92","19536","-66","5.94","-","0","-66","3300 shares","-0.34%","99390.64"
"2011-01-04","Equity","600971.XSHG","Long","300 shares","0 shares","52.17","15651","-258","53.03","-","0","-258","300 shares","-1.62%","99390.64"
"2011-01-04","","Cash","","","","","9536.64","","","","","","","","0"
"2011-01-05","Equity","002191.XSHE","Long","1700 shares","1700 shares","11.2","19040","-306","11.38","-","0","-272","0 shares","-1.58%","99379.64"
"2011-01-05","Equity","000513.XSHE","Long","400 shares","400 shares","41.09","16436","-1028","43.66","-","0","-544","0 shares","-5.89%","99379.64"
"2011-01-05","Equity","600449.XSHG","Long","500 shares","500 shares","36.89","18445","330","36.23","-","0","70","0 shares","1.82%","99379.64"
"2011-01-05","Equity","600012.XSHG","Long","3300 shares","3300 shares","6.01","19833","231","5.94","-","0","297","0 shares","1.18%","99379.64"
"2011-01-05","Equity","600971.XSHG","Long","300 shares","300 shares","53.63","16089","180","53.03","-","0","438","0 shares","1.13%","99379.64"
"2011-01-05","","Cash","","","","","9536.64","","","","","","","","0"
"2011-01-06","Equity","002191.XSHE","Long","1700 shares","1700 shares","11.46","19482","136","11.38","-","0","442","0 shares","0.7%","99055.42"
"2011-01-06","Equity","000513.XSHE","Long","200 shares","200 shares","40.34","8068","-664","43.66","-","0","-150","0 shares","-7.6%","99055.42"
"2011-01-06","Equity","600449.XSHG","Long","500 shares","500 shares","36.19","18095","-20","36.23","-","0","-350","0 shares","-0.11%","99055.42"
"2011-01-06","Equity","600012.XSHG","Long","3300 shares","3300 shares","6.01","19833","231","5.94","-","0","0","0 shares","1.18%","99055.42"
"2011-01-06","Equity","600971.XSHG","Long","300 shares","300 shares","52.78","15834","-75","53.03","-","0","-255","0 shares","-0.47%","99055.42"
"2011-01-06","","Cash","","","","","17743.42","","","","","","","","0"
"2011-01-07","Equity","002191.XSHE","Long","1700 shares","1700 shares","11.58","19686","340","11.38","-","0","204","0 shares","1.76%","98631.41"
"2011-01-07","Equity","600449.XSHG","Long","500 shares","500 shares","36","18000","-115","36.23","-","0","-95","0 shares","-0.63%","98631.41"
"2011-01-07","Equity","600012.XSHG","Long","3300 shares","3300 shares","6.04","19932","330","5.94","-","0","99","0 shares","1.68%","98631.41"
"2011-01-07","Equity","600971.XSHG","Long","300 shares","300 shares","50.89","15267","-642","53.03","-","0","-567","0 shares","-4.04%","98631.41"
"2011-01-07","","Cash","","","","","25746.41","","","","","","","","0"
"2011-01-10","Equity","002191.XSHE","Long","1700 shares","1700 shares","11.29","19193","-153","11.38","-","0","-493","0 shares","-0.79%","96536.41"
"2011-01-10","Equity","600449.XSHG","Long","500 shares","500 shares","34.71","17355","-760","36.23","-","0","-645","0 shares","-4.2%","96536.41"
"2011-01-10","Equity","600012.XSHG","Long","3300 shares","3300 shares","5.87","19371","-231","5.94","-","0","-561","0 shares","-1.18%","96536.41"
"2011-01-10","Equity","600971.XSHG","Long","300 shares","300 shares","49.57","14871","-1038","53.03","-","0","-396","0 shares","-6.52%","96536.41"
"2011-01-10","","Cash","","","","","25746.41","","","","","","","","0"
"2011-01-11","Equity","002191.XSHE","Long","1700 shares","1700 shares","11.33","19261","-85","11.38","-","0","68","0 shares","-0.44%","96567.47"
"2011-01-11","Equity","600449.XSHG","Long","500 shares","500 shares","34.72","17360","-755","36.23","-","0","5","0 shares","-4.17%","96567.47"
"2011-01-11","Equity","600012.XSHG","Long","3300 shares","3300 shares","5.88","19404","-198","5.94","-","0","33","0 shares","-1.01%","96567.47"
"2011-01-11","Equity","600971.XSHG","Long","200 shares","200 shares","49.33","9866","-740","53.03","-","0","-48","0 shares","-6.98%","96567.47"
"2011-01-11","","Cash","","","","","30676.47","","","","","","","","0"
"2011-01-12","Equity","002191.XSHE","Long","1700 shares","1700 shares","11.71","19907","561","11.38","-","0","646","0 shares","2.9%","97424.48"
"2011-01-12","Equity","600449.XSHG","Long","500 shares","500 shares","34.99","17495","-620","36.23","-","0","135","0 shares","-3.42%","97424.48"
"2011-01-12","Equity","600012.XSHG","Long","3300 shares","3300 shares","5.87","19371","-231","5.94","-","0","-33","0 shares","-1.18%","97424.48"
"2011-01-12","Equity","600971.XSHG","Long","100 shares","100 shares","50.01","5001","-302","53.03","-","0","68","0 shares","-5.69%","97424.48"
"2011-01-12","","Cash","","","","","35650.48","","","","","","","","0"
"2011-01-13","Equity","002191.XSHE","Long","1700 shares","1700 shares","11.64","19788","442","11.38","-","0","-119","0 shares","2.28%","96873.48"
"2011-01-13","Equity","600449.XSHG","Long","500 shares","500 shares","34.44","17220","-895","36.23","-","0","-275","0 shares","-4.94%","96873.48"
"2011-01-13","Equity","600012.XSHG","Long","3300 shares","3300 shares","5.84","19272","-330","5.94","-","0","-99","0 shares","-1.68%","96873.48"
"2011-01-13","Equity","600971.XSHG","Long","100 shares","100 shares","49.43","4943","-360","53.03","-","0","-58","0 shares","-6.79%","96873.48"
"2011-01-13","","Cash","","","","","35650.48","","","","","","","","0"
"2011-01-14","Equity","002191.XSHE","Long","1700 shares","1700 shares","11.9","20230","884","11.38","-","0","442","0 shares","4.57%","96156.6"
"2011-01-14","Equity","600449.XSHG","Long","300 shares","300 shares","33.06","9918","-951","36.23","-","0","-414","0 shares","-8.75%","96156.6"
