"Timestamp","BenchmarkReturn","StrategyReturn","DailyProfit","DailyLoss","DailyBuyAmount","DailySellAmount","ExcessReturnPct"
"2011-01-04 16:00:00","1.96","-0.61","0","-609.36","90436","0","-2.52"
"2011-01-05 16:00:00","1.52","-0.62","0","-11","0","0","-2.11"
"2011-01-06 16:00:00","1","-0.94","0","-324.22","0","-8220","-1.92"
"2011-01-07 16:00:00","1.23","-1.37","0","-424.02","0","-8016","-2.57"
"2011-01-10 16:00:00","-0.64","-3.46","0","-2095","0","0","-2.84"
"2011-01-11 16:00:00","-0.11","-3.43","31.06","0","0","-4940","-3.32"
"2011-01-12 16:00:00","0.45","-2.58","857.02","0","0","-4984","-3.02"
"2011-01-13 16:00:00","0.42","-3.13","0","-551","0","0","-3.54"
"2011-01-14 16:00:00","-1.16","-3.84","0","-716.88","0","-6882","-2.71"
"2011-01-17 16:00:00","-4.92","-6.19","0","-2350.28","0","-14280","-1.34"
"2011-01-18 16:00:00","-4.81","-6.77","0","-573.9","0","-8896","-2.06"
"2011-01-19 16:00:00","-2.67","-6.73","40.11","0","0","-22490","-4.17"
"2011-01-20 16:00:00","-5.87","-6.96","0","-234","0","0","-1.16"
"2011-01-21 16:00:00","-4.63","-6.99","0","-27.9","0","-4905","-2.47"
"2011-01-24 16:00:00","-5.56","-6.99","0","0","0","0","-1.51"
"2011-01-25 16:00:00","-6.06","-6.99","0","0","0","0","-0.99"
"2011-01-26 16:00:00","-4.79","-6.99","0","0","0","0","-2.31"
"2011-01-27 16:00:00","-3.25","-6.99","0","0","0","0","-3.87"
"2011-01-28 16:00:00","-2.93","-6.99","0","0","0","0","-4.18"
"2011-01-31 16:00:00","-1.65","-6.99","0","0","0","0","-5.43"
"2011-02-01 16:00:00","-1.63","-6.51","474.69","0","91022","0","-4.96"
"2011-02-09 16:00:00","-2.79","-7.15","0","-632.6","0","-60605","-4.49"
"2011-02-10 16:00:00","-0.77","-6.71","441.59","0","0","-12409","-5.99"
"2011-02-11 16:00:00","-0.23","-6.46","241","0","0","0","-6.24"
"2011-02-14 16:00:00","2.91","-6.1","363","0","0","0","-8.76"
"2011-02-15 16:00:00","2.86","-6.27","0","-171","0","0","-8.88"
"2011-02-16 16:00:00","3.84","-5.96","308","0","0","0","-9.44"
"2011-02-17 16:00:00","3.76","-5.72","249","0","0","0","-9.14"
"2011-02-18 16:00:00","2.67","-6.12","0","-406","0","0","-8.56"
"2011-02-21 16:00:00","4.14","-5.57","552","0","0","0","-9.32"
"2011-02-22 16:00:00","1.13","-9.07","0","-3503.93","91336","-19534","-10.09"
"2011-02-23 16:00:00","1.49","-9.01","67.48","0","0","-62519","-10.35"
"2011-02-24 16:00:00","2","-9.07","0","-62.06","0","-14064","-10.85"
"2011-02-25 16:00:00","2.22","-9.1","0","-29","0","0","-11.07"
"2011-02-28 16:00:00","3.56","-8.91","190.36","0","0","-1640","-12.04"
"2011-03-01 16:00:00","4.05","-8.8","105","0","0","0","-12.35"
"2011-03-02 16:00:00","3.68","-8.82","0","-20","0","0","-12.06"
"2011-03-03 16:00:00","2.99","-8.83","0","-12","0","0","-11.48"
"2011-03-04 16:00:00","4.55","-8.73","99","0","0","0","-12.7"
"2011-03-07 16:00:00","6.59","-8.58","152","0","0","0","-14.23"
"2011-03-08 16:00:00","6.69","-7.38","1202.72","0","89792","-10339","-13.19"
"2011-03-09 16:00:00","6.73","-6.98","403.39","0","0","-61607","-12.85"
