"Date","OrderTime","AssetType","Security","TradeSide","OrderType","FilledQuantity","FilledPrice","FilledAmount","OrderQuantity","OrderPrice","RealizedPnL","Commission","Status","LastUpdatedAt"
"2011-01-04","09:30:00","Equity","002191.XSHE","Buy","MarketOrder","1700 shares","11.38","19346","1700 shares","-","0","5.8","Filled","2011-01-04 09:30:00"
"2011-01-04","09:30:00","Equity","000513.XSHE","Buy","MarketOrder","400 shares","43.66","17464","400 shares","-","0","5.24","Filled","2011-01-04 09:30:00"
"2011-01-04","09:30:00","Equity","600449.XSHG","Buy","MarketOrder","500 shares","36.23","18115","500 shares","-","0","5.43","Filled","2011-01-04 09:30:00"
"2011-01-04","09:30:00","Equity","600012.XSHG","Buy","MarketOrder","3300 shares","5.94","19602","3300 shares","-","0","5.88","Filled","2011-01-04 09:30:00"
"2011-01-04","09:30:00","Equity","600971.XSHG","Buy","MarketOrder","300 shares","53.03","15909","300 shares","-","0","5","Filled","2011-01-04 09:30:00"
"2011-01-06","09:30:00","Equity","000513.XSHE","Sell","MarketOrder","-200 shares","41.1","-8220","-200 shares","-","-512","13.22","Filled","2011-01-06 09:30:00"
"2011-01-07","09:30:00","Equity","000513.XSHE","Sell","MarketOrder","-200 shares","40.08","-8016","-200 shares","-","-716","13.02","Filled","2011-01-07 09:30:00"
"2011-01-11","09:30:00","Equity","600971.XSHG","Sell","MarketOrder","-100 shares","49.4","-4940","-100 shares","-","-363","9.94","Filled","2011-01-11 09:30:00"
"2011-01-12","09:30:00","Equity","600971.XSHG","Sell","MarketOrder","-100 shares","49.84","-4984","-100 shares","-","-319","9.98","Filled","2011-01-12 09:30:00"
"2011-01-14","09:30:00","Equity","600449.XSHG","Sell","MarketOrder","-200 shares","34.41","-6882","-200 shares","-","-364","11.88","Filled","2011-01-14 09:30:00"
"2011-01-17","09:30:00","Equity","600449.XSHG","Sell","MarketOrder","-300 shares","32.6","-9780","-300 shares","-","-1089","14.78","Filled","2011-01-17 09:30:00"
"2011-01-17","09:30:00","Equity","600971.XSHG","Sell","MarketOrder","-100 shares","45","-4500","-100 shares","-","-803","9.5","Filled","2011-01-17 09:30:00"
"2011-01-18","09:30:00","Equity","600012.XSHG","Sell","MarketOrder","-1600 shares","5.56","-8896","-1600 shares","-","-608","13.9","Filled","2011-01-18 09:30:00"
"2011-01-19","09:30:00","Equity","002191.XSHE","Sell","MarketOrder","-1700 shares","10.58","-17986","-1700 shares","-","-1360","23.38","Filled","2011-01-19 09:30:00"
