Date,Security_Type,Symbol,Side,Quantity,Available_Qty,Close_Price,Market_Value,Floating_PnL,Avg_Open_Price,Avg_Position_Price,Margin,Daily_PnL,Today_Lots,PnL_Ratio,Position_Weight
2014-01-02,,Cash,,,,,100000,,,,,,,,0
2014-01-03,,Cash,,,,,100000,,,,,,,,0
2014-01-06,,Cash,,,,,100000,,,,,,,,0
2014-01-07,Stock,巨化股份(600160.XSHG),Long,20400Shares,0Shares,4.99,101796,2040,4.89,-,0,2040,20400Shares,2.04%,102010.07,99.79%
2014-01-07,,Cash,,,,,214.07,,,,,,,,0
2014-01-08,Stock,巨化股份(600160.XSHG),Long,20400Shares,20400Shares,4.97,101388,1632,4.89,-,0,-408,0Shares,1.64%,101602.07,99.79%
2014-01-08,,Cash,,,,,214.07,,,,,,,,0
2014-01-09,Stock,巨化股份(600160.XSHG),Long,20400Shares,20400Shares,4.79,97716,-2040,4.89,-,0,-3672,0Shares,-2.04%,97930.07,99.78%
2014-01-09,,Cash,,,,,214.07,,,,,,,,0
2014-01-10,,Cash,,,,,94543.29,,,,,,,,0
2014-01-13,Stock,威远生化(600803.XSHG),Long,8300Shares,0Shares,11.37,94371,830,11.27,-,0,830,8300Shares,0.89%,95345.22,98.98%
2014-01-13,,Cash,,,,,974.22,,,,,,,,0
2014-01-14,Stock,威远生化(600803.XSHG),Long,8300Shares,8300Shares,11.35,94205,664,11.27,-,0,-166,0Shares,0.71%,95214.22,98.94%
2014-01-14,Stock,巨化股份(600160.XSHG),Long,200Shares,0Shares,4.82,964,40,4.62,-,0,40,200Shares,4.33%,95214.22,1.01%
2014-01-14,,Cash,,,,,45.22,,,,,,,,0
2014-01-15,Stock,威远生化(600803.XSHG),Long,8300Shares,8300Shares,11.29,93707,166,11.27,-,0,-498,0Shares,0.18%,94730.22,98.92%
2014-01-15,Stock,巨化股份(600160.XSHG),Long,200Shares,200Shares,4.89,978,54,4.62,-,0,14,0Shares,5.84%,94730.22,1.03%
2014-01-15,,Cash,,,,,45.22,,,,,,,,0
2014-01-16,Stock,威远生化(600803.XSHG),Long,8300Shares,8300Shares,11.32,93956,415,11.27,-,0,249,0Shares,0.44%,94981.22,98.92%
2014-01-16,Stock,巨化股份(600160.XSHG),Long,200Shares,200Shares,4.9,980,56,4.62,-,0,2,0Shares,6.06%,94981.22,1.03%
2014-01-16,,Cash,,,,,45.22,,,,,,,,0
2014-01-17,Stock,威远生化(600803.XSHG),Long,8300Shares,8300Shares,10.97,91051,-2490,11.27,-,0,-2905,0Shares,-2.66%,92052.22,98.91%
2014-01-17,Stock,巨化股份(600160.XSHG),Long,200Shares,200Shares,4.78,956,32,4.62,-,0,-24,0Shares,3.46%,92052.22,1.04%
2014-01-17,,Cash,,,,,45.22,,,,,,,,0
2014-01-20,Stock,巨化股份(600160.XSHG),Long,200Shares,200Shares,4.88,976,52,4.62,-,0,20,0Shares,5.63%,90876.26,1.07%
2014-01-20,,Cash,,,,,89900.26,,,,,,,,0
2014-01-21,Stock,欣旺达(300207.XSHE),Long,4200Shares,0Shares,21.7,91140,1680,21.3,-,0,1680,4200Shares,1.88%,92557.41,98.47%
2014-01-21,,Cash,,,,,1417.41,,,,,,,,0
2014-01-22,Stock,欣旺达(300207.XSHE),Long,4200Shares,4200Shares,23.39,98238,8778,21.3,-,0,7098,0Shares,9.81%,99680.41,98.55%
2014-01-22,Stock,中国化学(601117.XSHG),Long,100Shares,0Shares,6.39,639,30,6.09,-,0,30,100Shares,4.93%,99680.41,0.64%
