Date,Order_Time,Security_Type,Symbol,Trade_Side,Order_Type,Filled_Qty,Filled_Price,Turnover,Order_Qty,Order_Price,Realized_PnL,Commission,Status,Last_Updated
2014-01-07,09:30:00,Stock,巨化Shares份(600160.XSHG),Buy,Market_Order,20400Shares,4.89,99756,20400Shares,-,0,29.93,Filled,2014-01-07 09:30:00
2014-01-10,11:25:00,Stock,巨化Shares份(600160.XSHG),Sell,Market_Order,-20400Shares,4.63,-94452,-20400Shares,-,-5304,122.79,Filled,2014-01-10 11:25:00
2014-01-13,09:30:00,Stock,威远生化(600803.XSHG),Buy,Market_Order,8300Shares,11.27,93541,8300Shares,-,0,28.06,Filled,2014-01-13 09:30:00
2014-01-14,09:30:00,Stock,巨化Shares份(600160.XSHG),Buy,Market_Order,200Shares,4.62,924,200Shares,-,0,5,Filled,2014-01-14 09:30:00
2014-01-20,11:25:00,Stock,威远生化(600803.XSHG),Sell,Market_Order,-8300Shares,10.84,-89972,-8300Shares,-,-3569,116.96,Filled,2014-01-20 11:25:00
2014-01-21,09:30:00,Stock,欣旺达(300207.XSHE),Buy,Market_Order,4200Shares,21.3,89460,4200Shares,-,0,26.84,Filled,2014-01-21 09:30:00
2014-01-21,11:25:00,Stock,巨化Shares份(600160.XSHG),Sell,Market_Order,-200Shares,5.05,-1010,-200Shares,-,86,6.01,Filled,2014-01-21 11:25:00
2014-01-22,09:30:00,Stock,中国化学(601117.XSHG),Buy,Market_Order,100Shares,6.09,609,100Shares,-,0,5,Filled,2014-01-22 09:30:00
2014-01-24,11:25:00,Stock,欣旺达(300207.XSHE),Sell,Market_Order,-4200Shares,24.7,-103740,-4200Shares,-,14280,134.86,Filled,2014-01-24 11:25:00
2014-01-24,11:25:00,Stock,中国化学(601117.XSHG),Sell,Market_Order,-100Shares,6.47,-647,-100Shares,-,38,5.65,Filled,2014-01-24 11:25:00
2014-02-26,09:30:00,Stock,和而泰(002402.XSHE),Buy,Market_Order,4500Shares,23,103500,4500Shares,-,0,31.05,Filled,2014-02-26 09:30:00
2014-03-10,14:50:00,Stock,和而泰(002402.XSHE),Sell,Market_Order,-4500Shares,22.28,-100260,-4500Shares,-,-3240,130.34,Filled,2014-03-10 14:50:00
2014-03-12,09:30:00,Stock,阳光电源(300274.XSHE),Buy,Market_Order,3300Shares,30.66,101178,3300Shares,-,0,30.35,Filled,2014-03-12 09:30:00
2014-03-17,11:25:00,Stock,阳光电源(300274.XSHE),Sell,Market_Order,-3300Shares,34.45,-113685,-3300Shares,-,12507,147.79,Filled,2014-03-17 11:25:00
2014-03-21,09:30:00,Stock,欣旺达(300207.XSHE),Buy,Market_Order,5500Shares,20.51,112805,5500Shares,-,0,33.84,Filled,2014-03-21 09:30:00
2014-04-04,11:25:00,Stock,欣旺达(300207.XSHE),Sell,Market_Order,-5500Shares,23.99,-131945,-5500Shares,-,19140,171.53,Filled,2014-04-04 11:25:00
2014-04-28,09:30:00,Stock,东方财富(300059.XSHE),Buy,Market_Order,7800Shares,16.98,132444,7800Shares,-,0,39.73,Filled,2014-04-28 09:30:00
2014-05-05,14:50:00,Stock,东方财富(300059.XSHE),Sell,Market_Order,-7800Shares,19.72,-153816,-7800Shares,-,21372,199.96,Filled,2014-05-05 14:50:00
2014-05-12,09:30:00,Stock,阳光电源(300274.XSHE),Buy,Market_Order,3100Shares,24.79,76849,3100Shares,-,0,23.05,Filled,2014-05-12 09:30:00
2014-05-12,09:30:00,Stock,桐君阁(000591.XSHE),Buy,Market_Order,8600Shares,8.95,76970,8600Shares,-,0,23.09,Filled,2014-05-12 09:30:00
2014-05-16,11:25:00,Stock,桐君阁(000591.XSHE),Sell,Market_Order,-8600Shares,8.47,-72842,-8600Shares,-,-4128,94.69,Filled,2014-05-16 11:25:00
2014-05-20,11:25:00,Stock,阳光电源(300274.XSHE),Sell,Market_Order,-3100Shares,25.52,-79112,-3100Shares,-,2263,102.85,Filled,2014-05-20 11:25:00
2014-07-14,09:30:00,Stock,阳光电源(300274.XSHE),Buy,Market_Order,9800Shares,15.35,150430,9800Shares,-,0,45.13,Filled,2014-07-14 09:30:00
2014-07-17,11:25:00,Stock,阳光电源(300274.XSHE),Sell,Market_Order,-9800Shares,14.75,-144550,-9800Shares,-,-5880,187.92,Filled,2014-07-17 11:25:00
2014-07-21,09:30:00,Stock,阳光电源(300274.XSHE),Buy,Market_Order,9900Shares,14.63,144837,9900Shares,-,0,43.45,Filled,2014-07-21 09:30:00
2014-07-24,09:30:00,Stock,桐君阁(000591.XSHE),Buy,Market_Order,100Shares,8.25,825,100Shares,-,0,5,Filled,2014-07-24 09:30:00
2014-07-24,14:50:00,Stock,阳光电源(300274.XSHE),Sell,Market_Order,-9900Shares,14.1,-139590,-9900Shares,-,-5247,181.47,Filled,2014-07-24 14:50:00
2014-08-08,11:25:00,Stock,桐君阁(000591.XSHE),Sell,Market_Order,-100Shares,9.54,-954,-100Shares,-,129,5.95,Filled,2014-08-08 11:25:00
2014-08-28,09:30:00,Stock,欣旺达(300207.XSHE),Buy,Market_Order,4200Shares,32.79,137718,4200Shares,-,0,41.32,Filled,2014-08-28 09:30:00
2014-10-22,11:25:00,Stock,欣旺达(300207.XSHE),Sell,Market_Order,-4200Shares,31.14,-130788,-4200Shares,-,-6930,170.02,Filled,2014-10-22 11:25:00
