时间,基准收益,策略收益,当日盈利,当日亏损,当日买入,当日卖出,超额收益(%)
2018-01-02 16:00:00,1.4,0,0,0,0,0,-1.38
2018-01-03 16:00:00,2,0,0,0,0,0,-1.96
2018-01-04 16:00:00,2.43,0,0,0,0,0,-2.37
2018-01-05 16:00:00,2.68,0,0,0,0,0,-2.61
2018-01-08 16:00:00,3.21,0,0,0,0,0,-3.11
2018-01-09 16:00:00,3.93,0,0,0,0,0,-3.78
2018-01-10 16:00:00,4.39,0,0,0,0,0,-4.21
2018-01-11 16:00:00,4.34,2.04,2035.32,0,98943,0,-2.2
2018-01-12 16:00:00,4.82,0.91,0,-1121,0,0,-3.73
2018-01-15 16:00:00,4.82,-3.34,0,-4254.48,0,-95757,-7.78
2018-01-16 16:00:00,5.65,-1.87,1467.34,0,95524,0,-7.12
2018-01-17 16:00:00,5.39,-2.14,0,-264,0,0,-7.14
2018-01-18 16:00:00,5.97,-2.12,20,0,1024,0,-7.63
2018-01-19 16:00:00,6.32,-1.57,551,0,0,0,-7.42
2018-01-22 16:00:00,7.59,-1.02,550.01,0,0,-990,-8
2018-01-23 16:00:00,8.73,-2.2,0,-1188,0,0,-10.05
2018-01-24 16:00:00,8.91,-0.55,1650,0,0,0,-8.69
2018-01-25 16:00:00,8.29,-2.45,0,-1892,0,0,-9.92
2018-01-26 16:00:00,8.69,-1.39,1056,0,0,0,-9.27
2018-01-29 16:00:00,6.73,-4.45,0,-3058,0,0,-10.48
2018-01-30 16:00:00,5.59,-4.36,88,0,0,0,-9.42
2018-01-31 16:00:00,6.08,-8.28,0,-3924,0,-90772,-13.54
2018-02-01 16:00:00,5.34,-7.2,1083.28,0,89070,0,-11.9
2018-02-02 16:00:00,5.96,-9.26,0,-2059,627,0,-14.36
2018-02-05 16:00:00,6.04,-11.78,0,-2519.38,499,-85680,-16.8
2018-02-06 16:00:00,2.93,-13.68,0,-1897.96,86535,0,-16.14
2018-02-07 16:00:00,0.49,-12.02,1652,0,0,0,-12.45
2018-02-08 16:00:00,-0.47,-10.08,1948,0,0,0,-9.66
2018-02-09 16:00:00,-4.72,-15.1,0,-5021.94,0,-83906,-10.89
2018-02-12 16:00:00,-3.49,-12.55,2550.97,0,83434,0,-9.39
2018-02-13 16:00:00,-2.36,-8.43,4119,0,0,0,-6.22
2018-02-14 16:00:00,-1.59,-7,1432.22,0,0,-92304,-5.5
2018-02-22 16:00:00,0.54,-7,0,0,0,0,-7.5
2018-02-23 16:00:00,1,-7,0,0,0,0,-7.92
2018-02-26 16:00:00,2.17,-7,0,0,0,0,-8.98
2018-02-27 16:00:00,0.7,-7,0,0,0,0,-7.65
2018-02-28 16:00:00,-0.18,-7,0,0,0,0,-6.83
2018-03-01 16:00:00,0.45,-7,0,0,0,0,-7.42
2018-03-02 16:00:00,-0.36,-7,0,0,0,0,-6.66
2018-03-05 16:00:00,-0.32,-7,0,0,0,0,-6.7
2018-03-06 16:00:00,0.89,-1.33,5668.23,0,92560,0,-2.2
2018-03-07 16:00:00,0.14,-4.89,0,-3560,0,0,-5.02
2018-03-08 16:00:00,1.16,-5.42,0,-534,0,0,-6.5
2018-03-09 16:00:00,1.94,-5.6,0,-178,0,0,-7.4
2018-03-12 16:00:00,2.4,-4.18,1424,0,0,0,-6.43
2018-03-13 16:00:00,1.5,-5.6,0,-1424,0,0,-7
2018-03-14 16:00:00,1.05,-3.64,1958,0,0,0,-4.64
2018-03-15 16:00:00,1.62,-4.71,0,-1068,0,0,-6.23
2018-03-16 16:00:00,0.63,-6.49,0,-1780,0,0,-7.08
2018-03-19 16:00:00,1.08,-7.38,0,-890,0,0,-8.37
2018-03-20 16:00:00,1.16,-8.8,0,-1424,0,0,-9.85
2018-03-21 16:00:00,0.75,-9.99,0,-1184.63,0,-89712,-10.66
2018-03-22 16:00:00,-0.26,-9.99,0,0,0,0,-9.76
2018-03-23 16:00:00,-3.12,-9.99,0,0,0,0,-7.09
2018-03-26 16:00:00,-3.75,-4.15,5834.63,0,87913,0,-0.42
2018-03-27 16:00:00,-2.92,-0.38,3774,0,0,0,2.62
2018-03-28 16:00:00,-4.67,-0.24,135.63,0,0,-65669,4.65
2018-03-29 16:00:00,-3.39,0.26,500,0,0,0,3.78
2018-03-30 16:00:00,-3.28,0.57,317.15,0,0,-32960,3.98
2018-04-02 16:00:00,-3.57,0.57,0,0,0,0,4.29
2018-04-03 16:00:00,-4.18,0.57,0,0,0,0,4.96
2018-04-04 16:00:00,-4.37,0.57,0,0,0,0,5.17
2018-04-09 16:00:00,-4.41,0.22,0,-348.15,100488,0,4.84
2018-04-10 16:00:00,-2.57,-1.05,0,-1272,0,0,1.56
2018-04-11 16:00:00,-2.3,1.5,2544,0,0,0,3.89
2018-04-12 16:00:00,-3.28,0.07,0,-1431,0,0,3.46
2018-04-13 16:00:00,-3.96,0.86,795,0,0,0,5.02
2018-04-16 16:00:00,-5.51,0.07,0,-795,0,0,5.91
2018-04-17 16:00:00,-7,0.86,795,0,0,0,8.45
2018-04-18 16:00:00,-6.56,-1.05,0,-1908,0,0,5.9
2018-04-19 16:00:00,-5.43,-1.21,0,-159,0,0,4.46
2018-04-20 16:00:00,-6.7,-2.61,0,-1398.71,0,-97467,4.38
2018-04-23 16:00:00,-6.56,4.16,6768.89,0,97020,0,11.47
2018-04-24 16:00:00,-4.65,10.86,6699,0,0,0,16.27
2018-04-25 16:00:00,-5.02,15.07,4206.67,0,0,-114873,21.15
2018-04-26 16:00:00,-6.83,15.07,0,0,0,0,23.51
2018-04-27 16:00:00,-6.8,15.07,0,0,0,0,23.47
2018-05-02 16:00:00,-6.63,15.07,0,0,0,0,23.24
2018-05-03 16:00:00,-5.9,23.32,8247.86,0,113816,0,31.05
2018-05-04 16:00:00,-6.36,21.76,0,-1558,0,0,30.03
2018-05-07 16:00:00,-4.88,23.23,1476,0,0,0,29.55
