Date,Order_Time,Security_Type,Symbol,Trade_Side,Order_Type,Filled_Qty,Filled_Price,Turnover,Order_Qty,Order_Price,Realized_PnL,Commission,Status,Last_Updated
2018-01-11,09:30:00,Stock,阳光电源(300274.XSHE),Buy,Market_Order,5900Shares,16.77,98943,5900Shares,-,0,29.68,Filled,2018-01-11 09:30:00
2018-01-15,14:50:00,Stock,阳光电源(300274.XSHE),Sell,Market_Order,-5900Shares,16.23,-95757,-5900Shares,-,-3186,124.48,Filled,2018-01-15 14:50:00
2018-01-16,09:30:00,Stock,数据港(603881.XSHG),Buy,Market_Order,2200Shares,43.42,95524,2200Shares,-,0,28.66,Filled,2018-01-16 09:30:00
2018-01-18,09:30:00,Stock,横店东磁(002056.XSHE),Buy,Market_Order,100Shares,10.24,1024,100Shares,-,0,5,Filled,2018-01-18 09:30:00
2018-01-22,11:25:00,Stock,横店东磁(002056.XSHE),Sell,Market_Order,-100Shares,9.9,-990,-100Shares,-,-34,5.99,Filled,2018-01-22 11:25:00
2018-01-31,11:25:00,Stock,数据港(603881.XSHG),Sell,Market_Order,-2200Shares,41.26,-90772,-2200Shares,-,-4752,118,Filled,2018-01-31 11:25:00
2018-02-01,09:30:00,Stock,盛弘股份(300693.XSHE),Buy,Market_Order,3000Shares,29.69,89070,3000Shares,-,0,26.72,Filled,2018-02-01 09:30:00
2018-02-02,09:30:00,Stock,江粉磁材(002600.XSHE),Buy,Market_Order,100Shares,6.27,627,100Shares,-,0,5,Filled,2018-02-02 09:30:00
2018-02-05,09:30:00,Stock,太阳能(000591.XSHE),Buy,Market_Order,100Shares,4.99,499,100Shares,-,0,5,Filled,2018-02-05 09:30:00
2018-02-05,11:25:00,Stock,盛弘股份(300693.XSHE),Sell,Market_Order,-3000Shares,28.56,-85680,-3000Shares,-,-3390,111.38,Filled,2018-02-05 11:25:00
2018-02-06,09:30:00,Stock,数据港(603881.XSHG),Buy,Market_Order,2700Shares,32.05,86535,2700Shares,-,0,25.96,Filled,2018-02-06 09:30:00
2018-02-09,11:25:00,Stock,太阳能(000591.XSHE),Sell,Market_Order,-100Shares,4.76,-476,-100Shares,-,-23,5.48,Filled,2018-02-09 11:25:00
2018-02-09,14:50:00,Stock,数据港(603881.XSHG),Sell,Market_Order,-2700Shares,30.9,-83430,-2700Shares,-,-3105,108.46,Filled,2018-02-09 14:50:00
2018-02-12,09:30:00,Stock,横店东磁(002056.XSHE),Buy,Market_Order,5200Shares,8.08,42016,5200Shares,-,0,12.6,Filled,2018-02-12 09:30:00
2018-02-12,09:30:00,Stock,中航沈飞(600760.XSHG),Buy,Market_Order,1800Shares,23.01,41418,1800Shares,-,0,12.43,Filled,2018-02-12 09:30:00
2018-02-14,11:25:00,Stock,江粉磁材(002600.XSHE),Sell,Market_Order,-100Shares,7.24,-724,-100Shares,-,97,5.72,Filled,2018-02-14 11:25:00
2018-02-14,11:25:00,Stock,横店东磁(002056.XSHE),Sell,Market_Order,-5200Shares,8.84,-45968,-5200Shares,-,3952,59.76,Filled,2018-02-14 11:25:00
2018-02-14,11:25:00,Stock,中航沈飞(600760.XSHG),Sell,Market_Order,-1800Shares,25.34,-45612,-1800Shares,-,4194,59.3,Filled,2018-02-14 11:25:00
2018-03-01,09:30:00,Stock,和而泰(002402.XSHE),Buy,Market_Order,0Shares,--,0,10800Shares,-,0,0,Order_Cancelled,2018-03-01 09:30:00
2018-03-06,09:30:00,Stock,中国铝业(601600.XSHG),Buy,Market_Order,17800Shares,5.2,92560,17800Shares,-,0,27.77,Filled,2018-03-06 09:30:00
2018-03-21,14:50:00,Stock,中国铝业(601600.XSHG),Sell,Market_Order,-17800Shares,5.04,-89712,-17800Shares,-,-2848,116.63,Filled,2018-03-21 14:50:00
