Date,Security_Type,Symbol,Side,Quantity,Available_Qty,Close_Price,Market_Value,Floating_PnL,Avg_Open_Price,Avg_Position_Price,Margin,Daily_PnL,Today_Lots,PnL_Ratio,Position_Weight
2022-01-04,,Cash,,,,,100000,,,,,,,,0
2022-01-05,,Cash,,,,,100000,,,,,,,,0
2022-01-06,Stock,阳光电源(300274.XSHE),Long,200Shares,0Shares,130.1,26020,446,127.87,-,0,446,200Shares,1.74%,102818.56,25.31%
2022-01-06,Stock,盛弘股份(300693.XSHE),Long,1000Shares,0Shares,34.95,34950,2390,32.56,-,0,2390,1000Shares,7.34%,102818.56,33.99%
2022-01-06,,Cash,,,,,41848.56,,,,,,,,0
2022-01-07,Stock,阳光电源(300274.XSHE),Long,200Shares,200Shares,128.3,25660,86,127.87,-,0,-360,0Shares,0.34%,100568.25,25.52%
2022-01-07,Stock,盛弘股份(300693.XSHE),Long,1000Shares,1000Shares,33.6,33600,1040,32.56,-,0,-1350,0Shares,3.19%,100568.25,33.41%
2022-01-07,Stock,东方财富(300059.XSHE),Long,1200Shares,0Shares,33.75,40500,-528,34.19,-,0,-528,1200Shares,-1.29%,100568.25,40.27%
2022-01-07,,Cash,,,,,808.25,,,,,,,,0
2022-01-10,Stock,阳光电源(300274.XSHE),Long,200Shares,200Shares,124.5,24900,-674,127.87,-,0,-760,0Shares,-2.64%,99684.25,24.98%
2022-01-10,Stock,盛弘股份(300693.XSHE),Long,1000Shares,1000Shares,33.74,33740,1180,32.56,-,0,140,0Shares,3.62%,99684.25,33.85%
2022-01-10,Stock,东方财富(300059.XSHE),Long,1200Shares,1200Shares,33.53,40236,-792,34.19,-,0,-264,0Shares,-1.93%,99684.25,40.36%
2022-01-10,,Cash,,,,,808.25,,,,,,,,0
2022-01-11,Stock,盛弘股份(300693.XSHE),Long,1000Shares,1000Shares,32.95,32950,390,32.56,-,0,-790,0Shares,1.2%,98354.34,33.5%
2022-01-11,Stock,东方财富(300059.XSHE),Long,1200Shares,1200Shares,33.4,40080,-948,34.19,-,0,-156,0Shares,-2.31%,98354.34,40.75%
2022-01-11,,Cash,,,,,25324.34,,,,,,,,0
2022-01-12,Stock,盛弘股份(300693.XSHE),Long,1000Shares,1000Shares,34.13,34130,1570,32.56,-,0,1180,0Shares,4.82%,99903.34,34.16%
2022-01-12,Stock,东方财富(300059.XSHE),Long,1200Shares,1200Shares,33.66,40392,-636,34.19,-,0,312,0Shares,-1.55%,99903.34,40.43%
2022-01-12,Stock,华能国际(600011.XSHG),Long,1600Shares,0Shares,7.79,12464,-32,7.81,-,0,-32,1600Shares,-0.26%,99903.34,12.48%
2022-01-12,Stock,阳光电源(300274.XSHE),Long,100Shares,0Shares,125.49,12549,99,124.5,-,0,99,100Shares,0.8%,99903.34,12.56%
2022-01-12,,Cash,,,,,368.34,,,,,,,,0
2022-01-13,Stock,盛弘股份(300693.XSHE),Long,1000Shares,1000Shares,32.8,32800,240,32.56,-,0,-1330,0Shares,0.74%,97012.84,33.81%
2022-01-13,Stock,阳光电源(300274.XSHE),Long,100Shares,100Shares,123.05,12305,-145,124.5,-,0,-244,0Shares,-1.16%,97012.84,12.68%
2022-01-13,,Cash,,,,,51907.84,,,,,,,,0
2022-01-14,Stock,盛弘股份(300693.XSHE),Long,1000Shares,1000Shares,33.09,33090,530,32.56,-,0,290,0Shares,1.63%,97357.84,33.99%
2022-01-14,Stock,阳光电源(300274.XSHE),Long,100Shares,100Shares,123.6,12360,-90,124.5,-,0,55,0Shares,-0.72%,97357.84,12.7%
2022-01-14,,Cash,,,,,51907.84,,,,,,,,0
2022-01-17,Stock,阳光电源(300274.XSHE),Long,100Shares,100Shares,124.7,12470,20,124.5,-,0,110,0Shares,0.16%,99527.35,12.53%
2022-01-17,Stock,中国化学(601117.XSHG),Long,5000Shares,0Shares,10.4,52000,550,10.29,-,0,550,5000Shares,1.07%,99527.35,52.25%
2022-01-17,,Cash,,,,,35057.35,,,,,,,,0
2022-01-18,Stock,阳光电源(300274.XSHE),Long,100Shares,100Shares,124.85,12485,35,124.5,-,0,15,0Shares,0.28%,103292.35,12.09%
2022-01-18,Stock,中国化学(601117.XSHG),Long,5000Shares,5000Shares,11.15,55750,4300,10.29,-,0,3750,0Shares,8.36%,103292.35,53.97%
2022-01-18,,Cash,,,,,35057.35,,,,,,,,0
2022-01-19,Stock,阳光电源(300274.XSHE),Long,100Shares,100Shares,120.71,12071,-379,124.5,-,0,-414,0Shares,-3.04%,101628.35,11.88%
2022-01-19,Stock,中国化学(601117.XSHG),Long,5000Shares,5000Shares,10.9,54500,3050,10.29,-,0,-1250,0Shares,5.93%,101628.35,53.63%
2022-01-19,,Cash,,,,,35057.35,,,,,,,,0
2022-01-20,Stock,阳光电源(300274.XSHE),Long,100Shares,100Shares,122.26,12226,-224,124.5,-,0,155,0Shares,-1.8%,101933.35,11.99%
2022-01-20,Stock,中国化学(601117.XSHG),Long,5000Shares,5000Shares,10.93,54650,3200,10.29,-,0,150,0Shares,6.22%,101933.35,53.61%
2022-01-20,,Cash,,,,,35057.35,,,,,,,,0
2022-01-21,Stock,阳光电源(300274.XSHE),Long,100Shares,100Shares,124.77,12477,27,124.5,-,0,251,0Shares,0.22%,101984.35,12.23%
2022-01-21,Stock,中国化学(601117.XSHG),Long,5000Shares,5000Shares,10.89,54450,3000,10.29,-,0,-200,0Shares,5.83%,101984.35,53.39%
2022-01-21,,Cash,,,,,35057.35,,,,,,,,0
2022-01-24,Stock,中国化学(601117.XSHG),Long,5000Shares,5000Shares,10.94,54700,3250,10.29,-,0,250,0Shares,6.32%,102829.26,53.19%
2022-01-24,,Cash,,,,,48129.26,,,,,,,,0
2022-01-25,Stock,中国化学(601117.XSHG),Long,5000Shares,5000Shares,10.52,52600,1150,10.29,-,0,-2100,0Shares,2.24%,98834.82,53.22%
2022-01-25,Stock,东方精工(002611.XSHE),Long,9400Shares,0Shares,4.92,46248,-1880,5.12,-,0,-1880,9400Shares,-3.91%,98834.82,46.79%
2022-01-25,,Cash,,,,,-13.18,,,,,,,,0
2022-01-26,Stock,中国化学(601117.XSHG),Long,5000Shares,5000Shares,10.56,52800,1350,10.29,-,0,200,0Shares,2.62%,102042.82,51.74%
2022-01-26,Stock,东方精工(002611.XSHE),Long,9400Shares,9400Shares,5.24,49256,1128,5.12,-,0,3008,0Shares,2.34%,102042.82,48.27%
2022-01-26,,Cash,,,,,-13.18,,,,,,,,0
2022-01-27,Stock,中国化学(601117.XSHG),Long,5000Shares,5000Shares,10.37,51850,400,10.29,-,0,-950,0Shares,0.78%,100152.82,51.77%
2022-01-27,Stock,东方精工(002611.XSHE),Long,9400Shares,9400Shares,5.14,48316,188,5.12,-,0,-940,0Shares,0.39%,100152.82,48.24%
2022-01-27,,Cash,,,,,-13.18,,,,,,,,0
2022-01-28,Stock,中国化学(601117.XSHG),Long,5000Shares,5000Shares,10.2,51000,-450,10.29,-,0,-850,0Shares,-0.87%,99302.82,51.36%
2022-01-28,Stock,东方精工(002611.XSHE),Long,9400Shares,9400Shares,5.14,48316,188,5.12,-,0,0,0Shares,0.39%,99302.82,48.66%
2022-01-28,,Cash,,,,,-13.18,,,,,,,,0
2022-02-07,Stock,中国化学(601117.XSHG),Long,5000Shares,5000Shares,10.54,52700,1250,10.29,-,0,1700,0Shares,2.43%,102036.82,51.65%
2022-02-07,Stock,东方精工(002611.XSHE),Long,9400Shares,9400Shares,5.25,49350,1222,5.12,-,0,1034,0Shares,2.54%,102036.82,48.36%
2022-02-07,,Cash,,,,,-13.18,,,,,,,,0
2022-02-08,Stock,中国化学(601117.XSHG),Long,5000Shares,5000Shares,10.75,53750,2300,10.29,-,0,1050,0Shares,4.47%,103932.82,51.72%
2022-02-08,Stock,东方精工(002611.XSHE),Long,9400Shares,9400Shares,5.34,50196,2068,5.12,-,0,846,0Shares,4.3%,103932.82,48.3%
2022-02-08,,Cash,,,,,-13.18,,,,,,,,0
2022-02-09,Stock,中国化学(601117.XSHG),Long,5000Shares,5000Shares,10.52,52600,1150,10.29,-,0,-1150,0Shares,2.24%,102500.82,51.32%
2022-02-09,Stock,东方精工(002611.XSHE),Long,9400Shares,9400Shares,5.31,49914,1786,5.12,-,0,-282,0Shares,3.71%,102500.82,48.7%
2022-02-09,,Cash,,,,,-13.18,,,,,,,,0
2022-02-10,Stock,中国化学(601117.XSHG),Long,5000Shares,5000Shares,10.85,54250,2800,10.29,-,0,1650,0Shares,5.44%,104056.82,52.13%
