时间,基准收益,策略收益,当日盈利,当日亏损,当日买入,当日卖出,超额收益(%)
2022-01-04 16:00:00,-0.46,0,0,0,0,0,0.46
2022-01-05 16:00:00,-1.46,0,0,0,0,0,1.48
2022-01-06 16:00:00,-2.47,2.82,2818.56,0,58134,0,5.42
2022-01-07 16:00:00,-2.39,0.57,0,-2250.31,41028,0,3.03
2022-01-10 16:00:00,-1.95,-0.32,0,-884,0,0,1.66
2022-01-11 16:00:00,-2.89,-1.65,0,-1329.91,0,-24548,1.28
2022-01-12 16:00:00,-1.92,-0.1,1549,0,24946,0,1.86
2022-01-13 16:00:00,-3.53,-2.99,0,-2890.5,0,-51608,0.56
2022-01-14 16:00:00,-4.32,-2.64,345,0,0,0,1.76
2022-01-17 16:00:00,-3.5,-0.47,2169.51,0,51450,-34660,3.14
2022-01-18 16:00:00,-2.57,3.29,3765,0,0,0,6.01
2022-01-19 16:00:00,-3.24,1.63,0,-1664,0,0,5.03
2022-01-20 16:00:00,-2.37,1.93,305,0,0,0,4.4
2022-01-21 16:00:00,-3.26,1.98,51,0,0,0,5.42
2022-01-24 16:00:00,-3.11,2.83,844.91,0,0,-13090,6.13
2022-01-25 16:00:00,-5.3,-1.17,0,-3994.44,48128,0,4.36
2022-01-26 16:00:00,-4.62,2.04,3208,0,0,0,6.98
2022-01-27 16:00:00,-6.49,0.15,0,-1890,0,0,7.1
2022-01-28 16:00:00,-7.62,-0.7,0,-850,0,0,7.49
2022-02-07 16:00:00,-6.2,2.04,2734,0,0,0,8.78
2022-02-08 16:00:00,-6.71,3.93,1896,0,0,0,11.41
2022-02-09 16:00:00,-5.84,2.5,0,-1432,0,0,8.86
2022-02-10 16:00:00,-6.08,4.06,1556,0,0,0,10.8
2022-02-11 16:00:00,-6.86,2.67,0,-1384,0,0,10.23
2022-02-14 16:00:00,-7.87,0.55,0,-2126,0,0,9.14
2022-02-15 16:00:00,-6.89,2.18,1638,0,0,0,9.74
2022-02-16 16:00:00,-6.53,2.71,526,0,0,0,9.89
2022-02-17 16:00:00,-6.3,1.74,0,-970,0,0,8.58
2022-02-18 16:00:00,-5.85,4.42,2676,0,0,0,10.91
