"Date","AssetType","Security","Side","Quantity","AvailableQuantity","CloseOrSettlementPrice","MarketValue","UnrealizedPnL","AverageOpenPrice","AverageHoldingPriceFutures","Margin","DailyPnL","TodayQuantity","PnLRatio","PositionRatio"
"2011-01-04","","Cash","","","","","100000","","","","","","","","0"
"2011-01-05","","Cash","","","","","100000","","","","","","","","0"
"2011-01-06","","Cash","","","","","100000","","","","","","","","0"
"2011-01-07","","Cash","","","","","100000","","","","","","","","0"
"2011-01-10","","Cash","","","","","100000","","","","","","","","0"
"2011-01-11","Equity","002049.XSHE","Long","1300 shares","0 shares","23.71","30823","-1222","24.65","-","0","-1222","1300 shares","-3.81%","97875.89"
"2011-01-11","Equity","002236.XSHE","Long","400 shares","0 shares","71","28400","-728","72.82","-","0","-728","400 shares","-2.5%","97875.89"
"2011-01-11","Equity","002335.XSHE","Long","600 shares","0 shares","53.78","32268","-132","54","-","0","-132","600 shares","-0.41%","97875.89"
"2011-01-11","","Cash","","","","","6384.89","","","","","","","","0"
"2011-01-12","Equity","002335.XSHE","Long","600 shares","600 shares","53.95","32370","-30","54","-","0","102","0 shares","-0.09%","97845.09"
"2011-01-12","","Cash","","","","","65475.09","","","","","","","","0"
"2011-01-13","Equity","002335.XSHE","Long","600 shares","600 shares","54.97","32982","582","54","-","0","612","0 shares","1.8%","98660.91"
"2011-01-13","Equity","002049.XSHE","Long","1300 shares","0 shares","24.15","31395","-325","24.4","-","0","-325","1300 shares","-1.02%","98660.91"
"2011-01-13","Equity","002236.XSHE","Long","400 shares","0 shares","73.08","29232","556","71.69","-","0","556","400 shares","1.94%","98660.91"
"2011-01-13","","Cash","","","","","5051.91","","","","","","","","0"
"2011-01-14","Equity","002335.XSHE","Long","600 shares","600 shares","54.06","32436","36","54","-","0","-546","0 shares","0.11%","96289.76"
"2011-01-14","Equity","002236.XSHE","Long","400 shares","400 shares","71","28400","-276","71.69","-","0","-832","0 shares","-0.96%","96289.76"
"2011-01-14","","Cash","","","","","35453.76","","","","","","","","0"
"2011-01-17","Equity","002236.XSHE","Long","400 shares","400 shares","70.32","28128","-548","71.69","-","0","-272","0 shares","-1.91%","94269.2"
"2011-01-17","","Cash","","","","","66141.2","","","","","","","","0"
"2011-01-18","Equity","002236.XSHE","Long","400 shares","400 shares","70.45","28180","-496","71.69","-","0","52","0 shares","-1.73%","96193.76"
"2011-01-18","Equity","000591.XSHE","Long","3100 shares","0 shares","10.59","32829","93","10.56","-","0","93","3100 shares","0.28%","96193.76"
"2011-01-18","Equity","601117.XSHG","Long","6700 shares","0 shares","5.15","34505","1809","4.88","-","0","1809","6700 shares","5.53%","96193.76"
"2011-01-18","","Cash","","","","","679.76","","","","","","","","0"
"2011-01-19","Equity","002236.XSHE","Long","400 shares","400 shares","73.29","29316","640","71.69","-","0","1136","0 shares","2.23%","98779.76"
