"Date","OrderTime","AssetType","Security","TradeSide","OrderType","FilledQuantity","FilledPrice","FilledAmount","OrderQuantity","OrderPrice","RealizedPnL","Commission","Status","LastUpdatedAt"
"2011-01-11","09:30:00","Equity","002049.XSHE","Buy","MarketOrder","1300 shares","24.65","32045","1300 shares","-","0","14.42","Filled","2011-01-11 09:30:00"
"2011-01-11","09:30:00","Equity","002236.XSHE","Buy","MarketOrder","400 shares","72.82","29128","400 shares","-","0","13.11","Filled","2011-01-11 09:30:00"
"2011-01-11","09:30:00","Equity","002335.XSHE","Buy","MarketOrder","600 shares","54","32400","600 shares","-","0","14.58","Filled","2011-01-11 09:30:00"
"2011-01-12","11:25:00","Equity","002049.XSHE","Sell","MarketOrder","-1300 shares","23.8","-30940","-1300 shares","-","-1105","44.86","Filled","2011-01-12 11:25:00"
"2011-01-12","14:50:00","Equity","002236.XSHE","Sell","MarketOrder","-400 shares","70.59","-28236","-400 shares","-","-892","40.94","Filled","2011-01-12 14:50:00"
"2011-01-13","09:30:00","Equity","002049.XSHE","Buy","MarketOrder","1300 shares","24.4","31720","1300 shares","-","0","14.27","Filled","2011-01-13 09:30:00"
"2011-01-13","09:30:00","Equity","002236.XSHE","Buy","MarketOrder","400 shares","71.69","28676","400 shares","-","0","12.9","Filled","2011-01-13 09:30:00"
"2011-01-14","11:25:00","Equity","002049.XSHE","Sell","MarketOrder","-1300 shares","23.42","-30446","-1300 shares","-","-1274","44.15","Filled","2011-01-14 11:25:00"
"2011-01-17","14:50:00","Equity","002335.XSHE","Sell","MarketOrder","-600 shares","51.22","-30732","-600 shares","-","-1668","44.56","Filled","2011-01-17 14:50:00"
"2011-01-18","09:30:00","Equity","000591.XSHE","Buy","MarketOrder","3100 shares","10.56","32736","3100 shares","-","0","14.73","Filled","2011-01-18 09:30:00"
"2011-01-18","09:30:00","Equity","601117.XSHG","Buy","MarketOrder","6700 shares","4.88","32696","6700 shares","-","0","14.71","Filled","2011-01-18 09:30:00"
"2011-01-21","11:25:00","Equity","601117.XSHG","Sell","MarketOrder","-6700 shares","5.72","-38324","-6700 shares","-","5628","55.57","Filled","2011-01-21 11:25:00"
"2011-01-24","11:25:00","Equity","002236.XSHE","Sell","MarketOrder","-400 shares","69.1","-27640","-400 shares","-","-1036","40.08","Filled","2011-01-24 11:25:00"
"2011-01-24","14:50:00","Equity","000591.XSHE","Sell","MarketOrder","-3100 shares","10.22","-31682","-3100 shares","-","-1054","45.94","Filled","2011-01-24 14:50:00"
"2011-01-25","09:30:00","Equity","002056.XSHE","Buy","MarketOrder","3100 shares","30.76","95356","3100 shares","-","0","42.91","Filled","2011-01-25 09:30:00"
"2011-01-27","09:30:00","Equity","600160.XSHG","Buy","MarketOrder","100 shares","18","1800","100 shares","-","0","5","Filled","2011-01-27 09:30:00"
"2011-01-27","11:25:00","Equity","002056.XSHE","Sell","MarketOrder","-3100 shares","32.25","-99975","-3100 shares","-","4619","144.96","Filled","2011-01-27 11:25:00"
"2011-02-11","11:25:00","Equity","600160.XSHG","Sell","MarketOrder","-100 shares","22.58","-2258","-100 shares","-","458","7.26","Filled","2011-02-11 11:25:00"
"2011-03-04","09:30:00","Equity","002049.XSHE","Buy","MarketOrder","4300 shares","23.6","101480","4300 shares","-","0","45.67","Filled","2011-03-04 09:30:00"
"2011-03-18","14:50:00","Equity","002049.XSHE","Sell","MarketOrder","-4300 shares","27.8","-119540","-4300 shares","-","18060","173.33","Filled","2011-03-18 14:50:00"
"2011-04-01","09:30:00","Equity","600089.XSHG","Buy","MarketOrder","5900 shares","20.26","119534","5900 shares","-","0","53.79","Filled","2011-04-01 09:30:00"
"2011-04-19","14:50:00","Equity","600089.XSHG","Sell","MarketOrder","-5900 shares","19.51","-115109","-5900 shares","-","-4425","166.91","Filled","2011-04-19 14:50:00"
"2011-04-20","09:30:00","Equity","002056.XSHE","Buy","MarketOrder","3500 shares","32.96","115360","3500 shares","-","0","51.91","Filled","2011-04-20 09:30:00"
"2011-04-26","14:50:00","Equity","002056.XSHE","Sell","MarketOrder","-3500 shares","31.85","-111475","-3500 shares","-","-3885","161.64","Filled","2011-04-26 14:50:00"
"2011-04-27","09:30:00","Equity","002335.XSHE","Buy","MarketOrder","4800 shares","23.1","110880","4800 shares","-","0","49.9","Filled","2011-04-27 09:30:00"
"2011-04-28","11:25:00","Equity","002335.XSHE","Sell","MarketOrder","-4800 shares","22.16","-106368","-4800 shares","-","-4512","154.23","Filled","2011-04-28 11:25:00"
"2011-04-29","09:30:00","Equity","002049.XSHE","Buy","MarketOrder","2600 shares","20.52","53352","2600 shares","-","0","24.01","Filled","2011-04-29 09:30:00"
"2011-04-29","09:30:00","Equity","300059.XSHE","Buy","MarketOrder","1400 shares","36.9","51660","1400 shares","-","0","23.25","Filled","2011-04-29 09:30:00"
"2011-05-17","11:25:00","Equity","300059.XSHE","Sell","MarketOrder","-1400 shares","37.78","-52892","-1400 shares","-","1232","76.69","Filled","2011-05-17 11:25:00"
"2011-05-23","09:30:00","Equity","002236.XSHE","Buy","MarketOrder","700 shares","76.41","53487","700 shares","-","0","24.07","Filled","2011-05-23 09:30:00"
"2011-05-25","09:30:00","Equity","600760.XSHG","Buy","MarketOrder","100 shares","13.16","1316","100 shares","-","0","5","Filled","2011-05-25 09:30:00"
"2011-05-27","11:25:00","Equity","600760.XSHG","Sell","MarketOrder","-100 shares","12.7","-1270","-100 shares","-","-46","6.27","Filled","2011-05-27 11:25:00"
"2011-05-31","09:30:00","Equity","000591.XSHE","Buy","MarketOrder","200 shares","7.62","1524","200 shares","-","0","5","Filled","2011-05-31 09:30:00"
"2011-06-07","11:25:00","Equity","002049.XSHE","Sell","MarketOrder","-2600 shares","21","-54600","-2600 shares","-","1534","79.17","Filled","2011-06-07 11:25:00"
"2011-06-08","11:25:00","Equity","002236.XSHE","Sell","MarketOrder","-1400 shares","41.04","-57456","-1400 shares","-","4319","83.31","Filled","2011-06-08 11:25:00"
"2011-06-20","11:25:00","Equity","000591.XSHE","Sell","MarketOrder","-200 shares","7.36","-1472","-200 shares","-","-52","6.47","Filled","2011-06-20 11:25:00"
"2011-06-21","09:30:00","Equity","002555.XSHE","Buy","MarketOrder","4500 shares","12.52","56340","4500 shares","-","0","25.35","Filled","2011-06-21 09:30:00"
"2011-06-21","09:30:00","Equity","002335.XSHE","Buy","MarketOrder","3200 shares","17.64","56448","3200 shares","-","0","25.4","Filled","2011-06-21 09:30:00"
"2011-06-24","11:25:00","Equity","002555.XSHE","Sell","MarketOrder","-4500 shares","13.42","-60390","-4500 shares","-","4050","87.57","Filled","2011-06-24 11:25:00"
"2011-07-01","11:25:00","Equity","002335.XSHE","Sell","MarketOrder","-3200 shares","19.7","-63040","-3200 shares","-","6592","91.41","Filled","2011-07-01 11:25:00"
"2011-07-21","09:30:00","Equity","002049.XSHE","Buy","MarketOrder","5900 shares","21","123900","5900 shares","-","0","55.76","Filled","2011-07-21 09:30:00"
"2011-07-25","11:25:00","Equity","002049.XSHE","Sell","MarketOrder","-5900 shares","20.2","-119180","-5900 shares","-","-4720","172.81","Filled","2011-07-25 11:25:00"
"2011-08-02","09:30:00","Equity","002402.XSHE","Buy","MarketOrder","6700 shares","17.68","118456","6700 shares","-","0","53.31","Filled","2011-08-02 09:30:00"
"2011-08-08","11:25:00","Equity","002402.XSHE","Sell","MarketOrder","-6700 shares","15.66","-104922","-6700 shares","-","-13534","152.14","Filled","2011-08-08 11:25:00"
"2011-08-09","09:30:00","Equity","002402.XSHE","Buy","MarketOrder","2300 shares","15.06","34638","2300 shares","-","0","15.59","Filled","2011-08-09 09:30:00"
"2011-08-09","09:30:00","Equity","600803.XSHG","Buy","MarketOrder","3500 shares","10.04","35140","3500 shares","-","0","15.81","Filled","2011-08-09 09:30:00"
"2011-08-09","09:30:00","Equity","300059.XSHE","Buy","MarketOrder","1600 shares","21.7","34720","1600 shares","-","0","15.62","Filled","2011-08-09 09:30:00"
"2011-08-12","09:30:00","Equity","000591.XSHE","Buy","MarketOrder","100 shares","8.43","843","100 shares","-","0","5","Filled","2011-08-12 09:30:00"
"2011-08-12","11:25:00","Equity","600803.XSHG","Sell","MarketOrder","-3500 shares","11.2","-39200","-3500 shares","-","4060","56.84","Filled","2011-08-12 11:25:00"
"2011-08-15","11:25:00","Equity","002402.XSHE","Sell","MarketOrder","-2300 shares","16.4","-37720","-2300 shares","-","3082","54.69","Filled","2011-08-15 11:25:00"
"2011-08-15","11:25:00","Equity","300059.XSHE","Sell","MarketOrder","-1600 shares","24.22","-38752","-1600 shares","-","4032","56.19","Filled","2011-08-15 11:25:00"
"2011-08-16","11:25:00","Equity","000591.XSHE","Sell","MarketOrder","-100 shares","8.16","-816","-100 shares","-","-27","5.82","Filled","2011-08-16 11:25:00"
"2011-09-02","09:30:00","Equity","300207.XSHE","Buy","MarketOrder","6000 shares","19.14","114840","6000 shares","-","0","51.68","Filled","2011-09-02 09:30:00"
"2011-09-06","14:50:00","Equity","300207.XSHE","Sell","MarketOrder","-6000 shares","18.46","-110760","-6000 shares","-","-4080","160.6","Filled","2011-09-06 14:50:00"
"2011-09-14","09:30:00","Equity","002402.XSHE","Buy","MarketOrder","2300 shares","16.2","37260","2300 shares","-","0","16.77","Filled","2011-09-14 09:30:00"
"2011-09-14","09:30:00","Equity","002611.XSHE","Buy","MarketOrder","2100 shares","17.47","36687","2100 shares","-","0","16.51","Filled","2011-09-14 09:30:00"
"2011-09-14","09:30:00","Equity","002236.XSHE","Buy","MarketOrder","800 shares","44.39","35512","800 shares","-","0","15.98","Filled","2011-09-14 09:30:00"
"2011-09-16","11:25:00","Equity","002611.XSHE","Sell","MarketOrder","-2100 shares","18.38","-38598","-2100 shares","-","1911","55.97","Filled","2011-09-16 11:25:00"
"2011-09-20","09:30:00","Equity","002335.XSHE","Buy","MarketOrder","1900 shares","21.64","41116","1900 shares","-","0","18.5","Filled","2011-09-20 09:30:00"
