"Date","AssetType","Security","Side","Quantity","AvailableQuantity","CloseOrSettlementPrice","MarketValue","UnrealizedPnL","AverageOpenPrice","AverageHoldingPriceFutures","Margin","DailyPnL","TodayQuantity","PnLRatio","PositionRatio"
"2011-01-04","","Cash","","","","","100000","","","","","","","","0"
"2011-01-05","","Cash","","","","","100000","","","","","","","","0"
"2011-01-06","","Cash","","","","","100000","","","","","","","","0"
"2011-01-07","","Cash","","","","","100000","","","","","","","","0"
"2011-01-10","","Cash","","","","","100000","","","","","","","","0"
"2011-01-11","Equity","002049.XSHE","Long","1000 shares","0 shares","23.71","23710","-940","24.65","-","0","-940","1000 shares","-3.81%","98681.34"
"2011-01-11","Equity","002236.XSHE","Long","300 shares","0 shares","71","21300","-543","72.81","-","0","-543","300 shares","-2.49%","98681.34"
"2011-01-11","Equity","002335.XSHE","Long","400 shares","0 shares","53.78","21512","-84","53.99","-","0","-84","400 shares","-0.39%","98681.34"
"2011-01-11","Equity","002340.XSHE","Long","400 shares","0 shares","61","24400","276","60.31","-","0","276","400 shares","1.14%","98681.34"
"2011-01-11","","Cash","","","","","7759.34","","","","","","","","0"
"2011-01-12","Equity","002335.XSHE","Long","400 shares","400 shares","53.95","21580","-16","53.99","-","0","68","0 shares","-0.07%","98434.87"
"2011-01-12","Equity","002340.XSHE","Long","400 shares","400 shares","60.49","24196","72","60.31","-","0","-204","0 shares","0.3%","98434.87"
"2011-01-12","Equity","002056.XSHE","Long","200 shares","0 shares","36.99","7398","-14","37.06","-","0","-14","200 shares","-0.19%","98434.87"
"2011-01-12","","Cash","","","","","45260.87","","","","","","","","0"
"2011-01-13","Equity","002335.XSHE","Long","400 shares","400 shares","54.97","21988","392","53.99","-","0","408","0 shares","1.82%","98935.83"
"2011-01-13","Equity","002340.XSHE","Long","400 shares","400 shares","60.55","24220","96","60.31","-","0","24","0 shares","0.4%","98935.83"
"2011-01-13","Equity","002056.XSHE","Long","200 shares","200 shares","36.44","7288","-124","37.06","-","0","-110","0 shares","-1.67%","98935.83"
"2011-01-13","Equity","002049.XSHE","Long","900 shares","0 shares","24.15","21735","-225","24.4","-","0","-225","900 shares","-1.02%","98935.83"
"2011-01-13","Equity","002236.XSHE","Long","300 shares","0 shares","73.08","21924","417","71.69","-","0","417","300 shares","1.94%","98935.83"
"2011-01-13","","Cash","","","","","1780.83","","","","","","","","0"
"2011-01-14","Equity","002335.XSHE","Long","400 shares","400 shares","54.06","21624","28","53.99","-","0","-364","0 shares","0.13%","96600.41"
"2011-01-14","Equity","002340.XSHE","Long","400 shares","400 shares","59","23600","-524","60.31","-","0","-620","0 shares","-2.17%","96600.41"
"2011-01-14","Equity","002056.XSHE","Long","200 shares","200 shares","36.18","7236","-176","37.06","-","0","-52","0 shares","-2.37%","96600.41"
