"Timestamp","BenchmarkReturn","StrategyReturn","DailyProfit","DailyLoss","DailyBuyAmount","DailySellAmount","ExcessReturnPct"
"2011-01-04 16:00:00","1.96","0","0","0","0","0","-1.92"
"2011-01-05 16:00:00","1.52","0","0","0","0","0","-1.5"
"2011-01-06 16:00:00","1","0","0","0","0","0","-0.99"
"2011-01-07 16:00:00","1.23","0","0","0","0","0","-1.22"
"2011-01-10 16:00:00","-0.64","0","0","0","0","0","0.64"
"2011-01-11 16:00:00","-0.11","-1.32","0","-1318.66","92213","0","-1.21"
"2011-01-12 16:00:00","0.45","-1.57","0","-246.47","7412","-44977","-2.01"
"2011-01-13 16:00:00","0.42","-1.06","500.96","0","43467","0","-1.47"
"2011-01-14 16:00:00","-1.16","-3.4","0","-2335.41","0","-21087","-2.27"
"2011-01-17 16:00:00","-4.92","-6.6","0","-3203.35","0","-49528","-1.77"
"2011-01-18 16:00:00","-4.81","-4.45","2151.41","0","71982","0","0.38"
"2011-01-19 16:00:00","-2.67","-2","2448","0","0","0","0.69"
"2011-01-20 16:00:00","-5.87","-4.35","0","-2345","0","0","1.61"
"2011-01-21 16:00:00","-4.63","-0.45","3898.97","0","0","-42328","4.38"
"2011-01-24 16:00:00","-5.56","-1.99","0","-1540.17","0","-55512","3.78"
"2011-01-25 16:00:00","-6.06","-2.67","0","-675.73","95763","0","3.61"
"2011-01-26 16:00:00","-4.79","0.2","2864","0","0","0","5.24"
"2011-01-27 16:00:00","-3.25","0.59","393.06","0","0","-32260","3.97"
"2011-01-28 16:00:00","-2.93","1.98","1386.81","0","33952","0","5.06"
"2011-01-31 16:00:00","-1.65","2.19","212.94","0","0","-33120","3.9"
"2011-02-01 16:00:00","-1.63","2.98","784","0","0","0","4.69"
"2011-02-09 16:00:00","-2.79","4.93","1952","0","0","0","7.94"
"2011-02-10 16:00:00","-0.77","7.68","2752","0","0","0","8.52"
"2011-02-11 16:00:00","-0.23","9.26","1580.77","0","0","-39408","9.51"
"2011-02-14 16:00:00","2.91","9.96","704","0","0","0","6.85"
"2011-02-15 16:00:00","2.86","9.48","0","-480","0","0","6.44"
"2011-02-16 16:00:00","3.84","9.77","288","0","0","0","5.71"
"2011-02-17 16:00:00","3.76","9.26","0","-512","0","0","5.3"
"2011-02-18 16:00:00","2.67","9.71","448","0","0","0","6.86"
"2011-02-21 16:00:00","4.14","9.4","0","-303.51","0","-36544","5.05"
"2011-02-22 16:00:00","1.13","9.4","0","0","0","0","8.18"
"2011-02-23 16:00:00","1.49","9.4","0","0","0","0","7.79"
"2011-02-24 16:00:00","2","9.4","0","0","0","0","7.25"
"2011-02-25 16:00:00","2.22","9.4","0","0","0","0","7.02"
"2011-02-28 16:00:00","3.56","10.89","1485.58","0","108054","0","7.08"
"2011-03-01 16:00:00","4.05","13.51","2622","0","0","0","9.09"
"2011-03-02 16:00:00","3.68","10.95","0","-2557.71","0","-109779","7.01"
"2011-03-03 16:00:00","2.99","10.95","0","0","0","0","7.73"
"2011-03-04 16:00:00","4.55","10.95","0","0","0","0","6.12"
"2011-03-07 16:00:00","6.59","15.84","4887.47","0","108445","0","8.68"
"2011-03-08 16:00:00","6.69","16.46","615","0","0","0","9.16"
"2011-03-09 16:00:00","6.73","21.22","4765.43","0","0","-118900","13.58"
"2011-03-10 16:00:00","4.86","21.22","0","0","0","0","15.6"
"2011-03-11 16:00:00","3.81","21.22","0","0","0","0","16.77"
"2011-03-14 16:00:00","4.3","21.22","0","0","0","0","16.22"
"2011-03-15 16:00:00","2.42","21.22","0","0","0","0","18.36"
"2011-03-16 16:00:00","3.83","28.48","7257.27","0","119097","0","23.74"
"2011-03-17 16:00:00","2.2","29.21","726","0","0","0","26.43"
"2011-03-18 16:00:00","2.79","27.85","0","-1351.71","0","-125928","24.38"
"2011-03-21 16:00:00","2.52","27.85","0","0","0","0","24.71"
"2011-03-22 16:00:00","3.03","27.85","0","0","0","0","24.09"
"2011-03-23 16:00:00","4.37","27.85","0","0","0","0","22.5"
"2011-03-24 16:00:00","3.94","27.85","0","0","0","0","23"
"2011-03-25 16:00:00","5.31","27.85","0","0","0","0","21.4"
"2011-03-28 16:00:00","5.19","27.85","0","0","0","0","21.54"
"2011-03-29 16:00:00","4.15","27.85","0","0","0","0","22.76"
"2011-03-30 16:00:00","4.09","27.85","0","0","0","0","22.83"
"2011-03-31 16:00:00","3.04","28.06","202.7","0","124326","0","24.28"
"2011-04-01 16:00:00","4.62","28.97","915","0","2025","0","23.27"
"2011-04-06 16:00:00","5.84","27.56","0","-1413","0","0","20.52"
"2011-04-07 16:00:00","6.27","27.93","374","0","0","0","20.38"
"2011-04-08 16:00:00","7.2","29.58","1649","0","0","0","20.88"
"2011-04-11 16:00:00","6.56","27.75","0","-1834","0","0","19.89"
