"Date","OrderTime","AssetType","Security","TradeSide","OrderType","FilledQuantity","FilledPrice","FilledAmount","OrderQuantity","OrderPrice","RealizedPnL","Commission","Status","LastUpdatedAt"
"2011-01-11","09:30:00","Equity","002049.XSHE","Buy","MarketOrder","1000 shares","24.65","24650","1000 shares","-","0","7.4","Filled","2011-01-11 09:30:00"
"2011-01-11","09:30:00","Equity","002236.XSHE","Buy","MarketOrder","300 shares","72.81","21843","300 shares","-","0","6.55","Filled","2011-01-11 09:30:00"
"2011-01-11","09:30:00","Equity","002335.XSHE","Buy","MarketOrder","400 shares","53.99","21596","400 shares","-","0","6.48","Filled","2011-01-11 09:30:00"
"2011-01-11","09:30:00","Equity","002340.XSHE","Buy","MarketOrder","400 shares","60.31","24124","400 shares","-","0","7.24","Filled","2011-01-11 09:30:00"
"2011-01-12","09:30:00","Equity","002056.XSHE","Buy","MarketOrder","200 shares","37.06","7412","200 shares","-","0","5","Filled","2011-01-12 09:30:00"
"2011-01-12","11:25:00","Equity","002049.XSHE","Sell","MarketOrder","-1000 shares","23.8","-23800","-1000 shares","-","-850","30.94","Filled","2011-01-12 11:25:00"
"2011-01-12","14:50:00","Equity","002236.XSHE","Sell","MarketOrder","-300 shares","70.59","-21177","-300 shares","-","-666","27.53","Filled","2011-01-12 14:50:00"
"2011-01-13","09:30:00","Equity","002049.XSHE","Buy","MarketOrder","900 shares","24.4","21960","900 shares","-","0","6.59","Filled","2011-01-13 09:30:00"
"2011-01-13","09:30:00","Equity","002236.XSHE","Buy","MarketOrder","300 shares","71.69","21507","300 shares","-","0","6.45","Filled","2011-01-13 09:30:00"
"2011-01-14","11:25:00","Equity","002049.XSHE","Sell","MarketOrder","-900 shares","23.43","-21087","-900 shares","-","-873","27.41","Filled","2011-01-14 11:25:00"
"2011-01-17","11:25:00","Equity","002340.XSHE","Sell","MarketOrder","-400 shares","55.6","-22240","-400 shares","-","-1884","28.91","Filled","2011-01-17 11:25:00"
"2011-01-17","11:25:00","Equity","002056.XSHE","Sell","MarketOrder","-200 shares","33.98","-6796","-200 shares","-","-616","11.8","Filled","2011-01-17 11:25:00"
"2011-01-17","14:50:00","Equity","002335.XSHE","Sell","MarketOrder","-400 shares","51.23","-20492","-400 shares","-","-1104","26.64","Filled","2011-01-17 14:50:00"
"2011-01-18","09:30:00","Equity","000591.XSHE","Buy","MarketOrder","3400 shares","10.55","35870","3400 shares","-","0","10.76","Filled","2011-01-18 09:30:00"
"2011-01-18","09:30:00","Equity","601117.XSHG","Buy","MarketOrder","7400 shares","4.88","36112","7400 shares","-","0","10.83","Filled","2011-01-18 09:30:00"
"2011-01-21","11:25:00","Equity","601117.XSHG","Sell","MarketOrder","-7400 shares","5.72","-42328","-7400 shares","-","6216","55.03","Filled","2011-01-21 11:25:00"
"2011-01-24","11:25:00","Equity","002236.XSHE","Sell","MarketOrder","-300 shares","69.1","-20730","-300 shares","-","-777","26.95","Filled","2011-01-24 11:25:00"
"2011-01-24","14:50:00","Equity","000591.XSHE","Sell","MarketOrder","-3400 shares","10.23","-34782","-3400 shares","-","-1088","45.22","Filled","2011-01-24 14:50:00"
"2011-01-25","09:30:00","Equity","002056.XSHE","Buy","MarketOrder","1000 shares","30.75","30750","1000 shares","-","0","9.22","Filled","2011-01-25 09:30:00"
"2011-01-25","09:30:00","Equity","000591.XSHE","Buy","MarketOrder","3200 shares","10.2","32640","3200 shares","-","0","9.79","Filled","2011-01-25 09:30:00"
"2011-01-25","09:30:00","Equity","002402.XSHE","Buy","MarketOrder","900 shares","35.97","32373","900 shares","-","0","9.71","Filled","2011-01-25 09:30:00"
"2011-01-27","11:25:00","Equity","002056.XSHE","Sell","MarketOrder","-1000 shares","32.26","-32260","-1000 shares","-","1510","41.94","Filled","2011-01-27 11:25:00"
"2011-01-28","09:30:00","Equity","002049.XSHE","Buy","MarketOrder","1600 shares","21.22","33952","1600 shares","-","0","10.19","Filled","2011-01-28 09:30:00"
"2011-01-31","11:25:00","Equity","002402.XSHE","Sell","MarketOrder","-900 shares","36.8","-33120","-900 shares","-","747","43.06","Filled","2011-01-31 11:25:00"
"2011-02-11","14:50:00","Equity","002049.XSHE","Sell","MarketOrder","-1600 shares","24.63","-39408","-1600 shares","-","5456","51.23","Filled","2011-02-11 14:50:00"
"2011-02-21","11:25:00","Equity","000591.XSHE","Sell","MarketOrder","-3200 shares","11.42","-36544","-3200 shares","-","3904","47.51","Filled","2011-02-21 11:25:00"
"2011-02-28","09:30:00","Equity","600760.XSHG","Buy","MarketOrder","6900 shares","15.66","108054","6900 shares","-","0","32.42","Filled","2011-02-28 09:30:00"
"2011-03-02","11:25:00","Equity","600760.XSHG","Sell","MarketOrder","-6900 shares","15.91","-109779","-6900 shares","-","1725","142.71","Filled","2011-03-02 11:25:00"
"2011-03-07","09:30:00","Equity","600160.XSHG","Buy","MarketOrder","4100 shares","26.45","108445","4100 shares","-","0","32.53","Filled","2011-03-07 09:30:00"
"2011-03-09","11:25:00","Equity","600160.XSHG","Sell","MarketOrder","-4100 shares","29","-118900","-4100 shares","-","10455","154.57","Filled","2011-03-09 11:25:00"
