"Date","AssetType","Security","Side","Quantity","AvailableQuantity","CloseOrSettlementPrice","MarketValue","UnrealizedPnL","AverageOpenPrice","AverageHoldingPriceFutures","Margin","DailyPnL","TodayQuantity","PnLRatio","PositionRatio"
"2011-01-04","","Cash","","","","","100000","","","","","","","","0"
"2011-01-05","","Cash","","","","","100000","","","","","","","","0"
"2011-01-06","","Cash","","","","","100000","","","","","","","","0"
"2011-01-07","","Cash","","","","","100000","","","","","","","","0"
"2011-01-10","","Cash","","","","","100000","","","","","","","","0"
"2011-01-11","Equity","002049.XSHE","Long","1300 shares","0 shares","23.71","30823","-1222","24.65","-","0","-1222","1300 shares","-3.81%","97899.93"
"2011-01-11","Equity","002236.XSHE","Long","400 shares","0 shares","71","28400","-724","72.81","-","0","-724","400 shares","-2.49%","97899.93"
"2011-01-11","Equity","002335.XSHE","Long","600 shares","0 shares","53.78","32268","-126","53.99","-","0","-126","600 shares","-0.39%","97899.93"
"2011-01-11","","Cash","","","","","6408.93","","","","","","","","0"
"2011-01-12","Equity","002335.XSHE","Long","600 shares","600 shares","53.95","32370","-24","53.99","-","0","102","0 shares","-0.07%","97961.89"
"2011-01-12","","Cash","","","","","65591.89","","","","","","","","0"
"2011-01-13","Equity","002335.XSHE","Long","600 shares","600 shares","54.97","32982","588","53.99","-","0","612","0 shares","1.82%","98786.77"
"2011-01-13","Equity","002049.XSHE","Long","1300 shares","0 shares","24.15","31395","-325","24.4","-","0","-325","1300 shares","-1.02%","98786.77"
"2011-01-13","Equity","002236.XSHE","Long","400 shares","0 shares","73.08","29232","556","71.69","-","0","556","400 shares","1.94%","98786.77"
"2011-01-13","","Cash","","","","","5177.77","","","","","","","","0"
"2011-01-14","Equity","002335.XSHE","Long","600 shares","600 shares","54.06","32436","42","53.99","-","0","-546","0 shares","0.13%","96433.18"
"2011-01-14","Equity","002236.XSHE","Long","400 shares","400 shares","71","28400","-276","71.69","-","0","-832","0 shares","-0.96%","96433.18"
"2011-01-14","","Cash","","","","","35597.18","","","","","","","","0"
"2011-01-17","","Cash","","","","","94923.95","","","","","","","","0"
"2011-01-18","Equity","000591.XSHE","Long","4400 shares","0 shares","10.59","46596","176","10.55","-","0","176","4400 shares","0.38%","97690.83"
"2011-01-18","Equity","601117.XSHG","Long","9700 shares","0 shares","5.15","49955","2619","4.88","-","0","2619","9700 shares","5.53%","97690.83"
"2011-01-18","","Cash","","","","","1139.83","","","","","","","","0"
"2011-01-19","Equity","000591.XSHE","Long","4400 shares","4400 shares","10.82","47608","1188","10.55","-","0","1012","0 shares","2.56%","99769.83"
"2011-01-19","Equity","601117.XSHG","Long","9700 shares","9700 shares","5.26","51022","3686","4.88","-","0","1067","0 shares","7.79%","99769.83"
"2011-01-19","","Cash","","","","","1139.83","","","","","","","","0"
