"Date","OrderTime","AssetType","Security","TradeSide","OrderType","FilledQuantity","FilledPrice","FilledAmount","OrderQuantity","OrderPrice","RealizedPnL","Commission","Status","LastUpdatedAt"
"2011-01-11","09:30:00","Equity","002049.XSHE","Buy","MarketOrder","1300 shares","24.65","32045","1300 shares","-","0","9.61","Filled","2011-01-11 09:30:00"
"2011-01-11","09:30:00","Equity","002236.XSHE","Buy","MarketOrder","400 shares","72.81","29124","400 shares","-","0","8.74","Filled","2011-01-11 09:30:00"
"2011-01-11","09:30:00","Equity","002335.XSHE","Buy","MarketOrder","600 shares","53.99","32394","600 shares","-","0","9.72","Filled","2011-01-11 09:30:00"
"2011-01-12","11:25:00","Equity","002049.XSHE","Sell","MarketOrder","-1300 shares","23.8","-30940","-1300 shares","-","-1105","40.22","Filled","2011-01-12 11:25:00"
"2011-01-12","11:25:00","Equity","002236.XSHE","Sell","MarketOrder","-400 shares","70.8","-28320","-400 shares","-","-804","36.82","Filled","2011-01-12 11:25:00"
"2011-01-13","09:30:00","Equity","002049.XSHE","Buy","MarketOrder","1300 shares","24.4","31720","1300 shares","-","0","9.52","Filled","2011-01-13 09:30:00"
"2011-01-13","09:30:00","Equity","002236.XSHE","Buy","MarketOrder","400 shares","71.69","28676","400 shares","-","0","8.6","Filled","2011-01-13 09:30:00"
"2011-01-14","11:25:00","Equity","002049.XSHE","Sell","MarketOrder","-1300 shares","23.43","-30459","-1300 shares","-","-1261","39.6","Filled","2011-01-14 11:25:00"
"2011-01-17","11:25:00","Equity","002335.XSHE","Sell","MarketOrder","-600 shares","52.54","-31524","-600 shares","-","-870","40.98","Filled","2011-01-17 11:25:00"
"2011-01-17","14:50:00","Equity","002236.XSHE","Sell","MarketOrder","-400 shares","69.7","-27880","-400 shares","-","-796","36.24","Filled","2011-01-17 14:50:00"
"2011-01-18","09:30:00","Equity","000591.XSHE","Buy","MarketOrder","4400 shares","10.55","46420","4400 shares","-","0","13.93","Filled","2011-01-18 09:30:00"
"2011-01-18","09:30:00","Equity","601117.XSHG","Buy","MarketOrder","9700 shares","4.88","47336","9700 shares","-","0","14.2","Filled","2011-01-18 09:30:00"
"2011-01-21","11:25:00","Equity","601117.XSHG","Sell","MarketOrder","-9700 shares","5.72","-55484","-9700 shares","-","8148","72.13","Filled","2011-01-21 11:25:00"
"2011-01-24","14:50:00","Equity","000591.XSHE","Sell","MarketOrder","-4400 shares","10.23","-45012","-4400 shares","-","-1408","58.52","Filled","2011-01-24 14:50:00"
"2011-01-25","09:30:00","Equity","002056.XSHE","Buy","MarketOrder","3300 shares","30.75","101475","3300 shares","-","0","30.44","Filled","2011-01-25 09:30:00"
"2011-01-27","11:25:00","Equity","002056.XSHE","Sell","MarketOrder","-3300 shares","32.26","-106458","-3300 shares","-","4983","138.4","Filled","2011-01-27 11:25:00"
"2011-03-04","09:30:00","Equity","002049.XSHE","Buy","MarketOrder","4500 shares","23.59","106155","4500 shares","-","0","31.85","Filled","2011-03-04 09:30:00"
"2011-03-18","14:50:00","Equity","002049.XSHE","Sell","MarketOrder","-4500 shares","27.8","-125100","-4500 shares","-","18945","162.63","Filled","2011-03-18 14:50:00"
"2011-04-01","09:30:00","Equity","600089.XSHG","Buy","MarketOrder","6100 shares","20.25","123525","6100 shares","-","0","37.06","Filled","2011-04-01 09:30:00"
"2011-04-15","11:25:00","Equity","600089.XSHG","Sell","MarketOrder","-6100 shares","19.84","-121024","-6100 shares","-","-2501","157.33","Filled","2011-04-15 11:25:00"
"2011-04-20","09:30:00","Equity","002056.XSHE","Buy","MarketOrder","3700 shares","32.95","121915","3700 shares","-","0","36.57","Filled","2011-04-20 09:30:00"
"2011-04-25","14:50:00","Equity","002056.XSHE","Sell","MarketOrder","-3700 shares","32.24","-119288","-3700 shares","-","-2627","155.07","Filled","2011-04-25 14:50:00"
