"Date","AssetType","Security","Side","Quantity","AvailableQuantity","CloseOrSettlementPrice","MarketValue","UnrealizedPnL","AverageOpenPrice","AverageHoldingPriceFutures","Margin","DailyPnL","TodayQuantity","PnLRatio","PositionRatio"
"2011-01-04","","Cash","","","","","100000","","","","","","","","0"
"2011-01-05","","Cash","","","","","100000","","","","","","","","0"
"2011-01-06","","Cash","","","","","100000","","","","","","","","0"
"2011-01-07","","Cash","","","","","100000","","","","","","","","0"
"2011-01-10","","Cash","","","","","100000","","","","","","","","0"
"2011-01-11","Equity","002049.XSHE","Long","1300 shares","0 shares","23.71","30823","-1222","24.65","-","0","-1222","1300 shares","-3.81%","97899.93"
"2011-01-11","Equity","002236.XSHE","Long","400 shares","0 shares","71","28400","-724","72.81","-","0","-724","400 shares","-2.49%","97899.93"
"2011-01-11","Equity","002335.XSHE","Long","600 shares","0 shares","53.78","32268","-126","53.99","-","0","-126","600 shares","-0.39%","97899.93"
"2011-01-11","","Cash","","","","","6408.93","","","","","","","","0"
"2011-01-12","Equity","002049.XSHE","Long","1300 shares","1300 shares","24.04","31252","-793","24.65","-","0","429","0 shares","-2.47%","98430.93"
"2011-01-12","Equity","002236.XSHE","Long","400 shares","400 shares","71","28400","-724","72.81","-","0","0","0 shares","-2.49%","98430.93"
"2011-01-12","Equity","002335.XSHE","Long","600 shares","600 shares","53.95","32370","-24","53.99","-","0","102","0 shares","-0.07%","98430.93"
"2011-01-12","","Cash","","","","","6408.93","","","","","","","","0"
"2011-01-13","Equity","002049.XSHE","Long","1300 shares","1300 shares","24.15","31395","-650","24.65","-","0","143","0 shares","-2.03%","100017.93"
"2011-01-13","Equity","002236.XSHE","Long","400 shares","400 shares","73.08","29232","108","72.81","-","0","832","0 shares","0.37%","100017.93"
"2011-01-13","Equity","002335.XSHE","Long","600 shares","600 shares","54.97","32982","588","53.99","-","0","612","0 shares","1.82%","100017.93"
"2011-01-13","","Cash","","","","","6408.93","","","","","","","","0"
"2011-01-14","Equity","002236.XSHE","Long","400 shares","400 shares","71","28400","-724","72.81","-","0","-832","0 shares","-2.49%","97664.33"
"2011-01-14","Equity","002335.XSHE","Long","600 shares","600 shares","54.06","32436","42","53.99","-","0","-546","0 shares","0.13%","97664.33"
"2011-01-14","","Cash","","","","","36828.33","","","","","","","","0"
"2011-01-17","","Cash","","","","","95593.84","","","","","","","","0"
"2011-01-18","Equity","000591.XSHE","Long","4500 shares","0 shares","10.59","47655","180","10.55","-","0","180","4500 shares","0.38%","98364.4"
"2011-01-18","Equity","601117.XSHG","Long","9700 shares","0 shares","5.15","49955","2619","4.88","-","0","2619","9700 shares","5.53%","98364.4"
"2011-01-18","","Cash","","","","","754.4","","","","","","","","0"
