"Date","OrderTime","AssetType","Security","TradeSide","OrderType","FilledQuantity","FilledPrice","FilledAmount","OrderQuantity","OrderPrice","RealizedPnL","Commission","Status","LastUpdatedAt"
"2011-01-11","09:30:00","Equity","002049.XSHE","Buy","MarketOrder","1300 shares","24.65","32045","1300 shares","-","0","9.61","Filled","2011-01-11 09:30:00"
"2011-01-11","09:30:00","Equity","002236.XSHE","Buy","MarketOrder","400 shares","72.81","29124","400 shares","-","0","8.74","Filled","2011-01-11 09:30:00"
"2011-01-11","09:30:00","Equity","002335.XSHE","Buy","MarketOrder","600 shares","53.99","32394","600 shares","-","0","9.72","Filled","2011-01-11 09:30:00"
"2011-01-14","11:25:00","Equity","002049.XSHE","Sell","MarketOrder","-1300 shares","23.43","-30459","-1300 shares","-","-1586","39.6","Filled","2011-01-14 11:25:00"
"2011-01-17","11:25:00","Equity","002236.XSHE","Sell","MarketOrder","-400 shares","70.26","-28104","-400 shares","-","-1020","36.54","Filled","2011-01-17 11:25:00"
"2011-01-17","14:50:00","Equity","002335.XSHE","Sell","MarketOrder","-600 shares","51.23","-30738","-600 shares","-","-1656","39.96","Filled","2011-01-17 14:50:00"
"2011-01-18","09:30:00","Equity","000591.XSHE","Buy","MarketOrder","4500 shares","10.55","47475","4500 shares","-","0","14.24","Filled","2011-01-18 09:30:00"
"2011-01-18","09:30:00","Equity","601117.XSHG","Buy","MarketOrder","9700 shares","4.88","47336","9700 shares","-","0","14.2","Filled","2011-01-18 09:30:00"
"2011-01-21","11:25:00","Equity","601117.XSHG","Sell","MarketOrder","-9700 shares","5.72","-55484","-9700 shares","-","8148","72.13","Filled","2011-01-21 11:25:00"
"2011-01-25","09:30:00","Equity","002056.XSHE","Buy","MarketOrder","1800 shares","30.75","55350","1800 shares","-","0","16.6","Filled","2011-01-25 09:30:00"
"2011-01-25","11:25:00","Equity","000591.XSHE","Sell","MarketOrder","-4500 shares","10.05","-45225","-4500 shares","-","-2250","58.79","Filled","2011-01-25 11:25:00"
"2011-01-26","09:30:00","Equity","002049.XSHE","Buy","MarketOrder","700 shares","20","14000","700 shares","-","0","5","Filled","2011-01-26 09:30:00"
"2011-01-26","09:30:00","Equity","600160.XSHG","Buy","MarketOrder","800 shares","17.6","14080","800 shares","-","0","5","Filled","2011-01-26 09:30:00"
"2011-01-26","09:30:00","Equity","002236.XSHE","Buy","MarketOrder","200 shares","65.87","13174","200 shares","-","0","5","Filled","2011-01-26 09:30:00"
"2011-01-27","11:25:00","Equity","002056.XSHE","Sell","MarketOrder","-1800 shares","32.26","-58068","-1800 shares","-","2718","75.49","Filled","2011-01-27 11:25:00"
"2011-02-01","11:25:00","Equity","600160.XSHG","Sell","MarketOrder","-800 shares","20.29","-16232","-800 shares","-","2152","21.23","Filled","2011-02-01 11:25:00"
"2011-02-10","11:25:00","Equity","002049.XSHE","Sell","MarketOrder","-700 shares","23.55","-16485","-700 shares","-","2485","21.48","Filled","2011-02-10 11:25:00"
"2011-02-15","11:25:00","Equity","002236.XSHE","Sell","MarketOrder","-200 shares","77.28","-15456","-200 shares","-","2282","20.46","Filled","2011-02-15 11:25:00"
"2011-03-04","09:30:00","Equity","002049.XSHE","Buy","MarketOrder","4600 shares","23.59","108514","4600 shares","-","0","32.55","Filled","2011-03-04 09:30:00"
"2011-03-18","09:30:00","Equity","600760.XSHG","Buy","MarketOrder","100 shares","15.82","1582","100 shares","-","0","5","Filled","2011-03-18 09:30:00"
"2011-03-18","14:50:00","Equity","002049.XSHE","Sell","MarketOrder","-4600 shares","27.8","-127880","-4600 shares","-","19366","166.24","Filled","2011-03-18 14:50:00"
"2011-03-24","11:25:00","Equity","600760.XSHG","Sell","MarketOrder","-100 shares","16.28","-1628","-100 shares","-","46","6.63","Filled","2011-03-24 11:25:00"
