"Date","OrderTime","AssetType","Security","TradeSide","OrderType","FilledQuantity","FilledPrice","FilledAmount","OrderQuantity","OrderPrice","RealizedPnL","Commission","Status","LastUpdatedAt"
"2011-01-11","09:30:00","Equity","002049.XSHE","Buy","MarketOrder","1300 shares","24.65","32045","1300 shares","-","0","9.61","Filled","2011-01-11 09:30:00"
"2011-01-11","09:30:00","Equity","002236.XSHE","Buy","MarketOrder","400 shares","72.81","29124","400 shares","-","0","8.74","Filled","2011-01-11 09:30:00"
"2011-01-11","09:30:00","Equity","002335.XSHE","Buy","MarketOrder","600 shares","53.99","32394","600 shares","-","0","9.72","Filled","2011-01-11 09:30:00"
"2011-01-12","11:25:00","Equity","002049.XSHE","Sell","MarketOrder","-1300 shares","23.8","-30940","-1300 shares","-","-1105","40.22","Filled","2011-01-12 11:25:00"
"2011-01-12","14:50:00","Equity","002236.XSHE","Sell","MarketOrder","-400 shares","70.59","-28236","-400 shares","-","-888","36.71","Filled","2011-01-12 14:50:00"
"2011-01-13","09:30:00","Equity","002049.XSHE","Buy","MarketOrder","1300 shares","24.4","31720","1300 shares","-","0","9.52","Filled","2011-01-13 09:30:00"
"2011-01-13","09:30:00","Equity","002236.XSHE","Buy","MarketOrder","400 shares","71.69","28676","400 shares","-","0","8.6","Filled","2011-01-13 09:30:00"
"2011-01-14","11:25:00","Equity","002049.XSHE","Sell","MarketOrder","-1300 shares","23.43","-30459","-1300 shares","-","-1261","39.6","Filled","2011-01-14 11:25:00"
"2011-01-17","14:50:00","Equity","002335.XSHE","Sell","MarketOrder","-600 shares","51.23","-30738","-600 shares","-","-1656","39.96","Filled","2011-01-17 14:50:00"
"2011-01-18","09:30:00","Equity","000591.XSHE","Buy","MarketOrder","3100 shares","10.55","32705","3100 shares","-","0","9.81","Filled","2011-01-18 09:30:00"
"2011-01-18","09:30:00","Equity","601117.XSHG","Buy","MarketOrder","6700 shares","4.88","32696","6700 shares","-","0","9.81","Filled","2011-01-18 09:30:00"
"2011-01-21","11:25:00","Equity","601117.XSHG","Sell","MarketOrder","-6700 shares","5.72","-38324","-6700 shares","-","5628","49.82","Filled","2011-01-21 11:25:00"
"2011-01-24","11:25:00","Equity","002236.XSHE","Sell","MarketOrder","-400 shares","69.1","-27640","-400 shares","-","-1036","35.93","Filled","2011-01-24 11:25:00"
"2011-01-24","14:50:00","Equity","000591.XSHE","Sell","MarketOrder","-3100 shares","10.23","-31713","-3100 shares","-","-992","41.23","Filled","2011-01-24 14:50:00"
"2011-01-25","09:30:00","Equity","002056.XSHE","Buy","MarketOrder","3100 shares","30.75","95325","3100 shares","-","0","28.6","Filled","2011-01-25 09:30:00"
"2011-01-27","09:30:00","Equity","600160.XSHG","Buy","MarketOrder","100 shares","18","1800","100 shares","-","0","5","Filled","2011-01-27 09:30:00"
"2011-01-27","11:25:00","Equity","002056.XSHE","Sell","MarketOrder","-3100 shares","32.26","-100006","-3100 shares","-","4681","130.01","Filled","2011-01-27 11:25:00"
"2011-02-11","11:25:00","Equity","600160.XSHG","Sell","MarketOrder","-100 shares","22.58","-2258","-100 shares","-","458","7.26","Filled","2011-02-11 11:25:00"
"2011-03-04","09:30:00","Equity","002049.XSHE","Buy","MarketOrder","4300 shares","23.59","101437","4300 shares","-","0","30.43","Filled","2011-03-04 09:30:00"
"2011-03-18","09:30:00","Equity","600760.XSHG","Buy","MarketOrder","100 shares","15.82","1582","100 shares","-","0","5","Filled","2011-03-18 09:30:00"
"2011-03-18","14:50:00","Equity","002049.XSHE","Sell","MarketOrder","-4300 shares","27.8","-119540","-4300 shares","-","18103","155.4","Filled","2011-03-18 14:50:00"
"2011-03-24","11:25:00","Equity","600760.XSHG","Sell","MarketOrder","-100 shares","16.28","-1628","-100 shares","-","46","6.63","Filled","2011-03-24 11:25:00"
