"Date","AssetType","Security","Side","Quantity","AvailableQuantity","CloseOrSettlementPrice","MarketValue","UnrealizedPnL","AverageOpenPrice","AverageHoldingPriceFutures","Margin","DailyPnL","TodayQuantity","PnLRatio","PositionRatio"
"2011-01-04","","Cash","","","","","100000","","","","","","","","0"
"2011-01-05","","Cash","","","","","100000","","","","","","","","0"
"2011-01-06","","Cash","","","","","100000","","","","","","","","0"
"2011-01-07","Equity","600276.XSHG","Long","1800 shares","0 shares","56","100800","1872","54.96","-","0","1872","1800 shares","1.89%","101842.32"
"2011-01-07","","Cash","","","","","1042.32","","","","","","","","0"
"2011-01-10","Equity","600276.XSHG","Long","1800 shares","1800 shares","53","95400","-3528","54.96","-","0","-5400","0 shares","-3.57%","96442.32"
"2011-01-10","","Cash","","","","","1042.32","","","","","","","","0"
"2011-01-11","","Cash","","","","","93262.28","","","","","","","","0"
"2011-01-12","Equity","002049.XSHE","Long","1900 shares","0 shares","24.04","45676","646","23.7","-","0","646","1900 shares","1.43%","95330.36"
"2011-01-12","Equity","000977.XSHE","Long","2300 shares","0 shares","20.07","46161","1449","19.44","-","0","1449","2300 shares","3.24%","95330.36"
"2011-01-12","","Cash","","","","","3493.36","","","","","","","","0"
"2011-01-13","Equity","002049.XSHE","Long","1900 shares","1900 shares","24.15","45885","855","23.7","-","0","209","0 shares","1.9%","96643.36"
"2011-01-13","Equity","000977.XSHE","Long","2300 shares","2300 shares","20.55","47265","2553","19.44","-","0","1104","0 shares","5.71%","96643.36"
"2011-01-13","","Cash","","","","","3493.36","","","","","","","","0"
"2011-01-14","Equity","000977.XSHE","Long","2300 shares","2300 shares","19.5","44850","138","19.44","-","0","-2415","0 shares","0.31%","91569.09"
"2011-01-14","","Cash","","","","","46719.09","","","","","","","","0"
"2011-01-17","","Cash","","","","","89167.84","","","","","","","","0"
"2011-01-18","Equity","000591.XSHE","Long","2800 shares","0 shares","10.59","29652","84","10.56","-","0","84","2800 shares","0.28%","91421.47"
"2011-01-18","Equity","000977.XSHE","Long","1600 shares","0 shares","18.51","29616","576","18.15","-","0","576","1600 shares","1.98%","91421.47"
"2011-01-18","Equity","601117.XSHG","Long","6000 shares","0 shares","5.15","30900","1620","4.88","-","0","1620","6000 shares","5.53%","91421.47"
"2011-01-18","","Cash","","","","","1253.47","","","","","","","","0"
"2011-01-19","Equity","000591.XSHE","Long","2800 shares","2800 shares","10.82","30296","728","10.56","-","0","644","0 shares","2.46%","93653.47"
"2011-01-19","Equity","000977.XSHE","Long","1600 shares","1600 shares","19.09","30544","1504","18.15","-","0","928","0 shares","5.18%","93653.47"
"2011-01-19","Equity","601117.XSHG","Long","6000 shares","6000 shares","5.26","31560","2280","4.88","-","0","660","0 shares","7.79%","93653.47"
"2011-01-19","","Cash","","","","","1253.47","","","","","","","","0"
