"Date","OrderTime","AssetType","Security","TradeSide","OrderType","FilledQuantity","FilledPrice","FilledAmount","OrderQuantity","OrderPrice","RealizedPnL","Commission","Status","LastUpdatedAt"
"2011-01-07","09:30:00","Equity","600276.XSHG","Buy","MarketOrder","1800 shares","54.96","98928","1800 shares","-","0","29.68","Filled","2011-01-07 09:30:00"
"2011-01-11","11:25:00","Equity","600276.XSHG","Sell","MarketOrder","-1800 shares","51.3","-92340","-1800 shares","-","-6588","120.04","Filled","2011-01-11 11:25:00"
"2011-01-12","09:30:00","Equity","002049.XSHE","Buy","MarketOrder","1900 shares","23.7","45030","1900 shares","-","0","13.51","Filled","2011-01-12 09:30:00"
"2011-01-12","09:30:00","Equity","000977.XSHE","Buy","MarketOrder","2300 shares","19.44","44712","2300 shares","-","0","13.41","Filled","2011-01-12 09:30:00"
"2011-01-14","14:50:00","Equity","002049.XSHE","Sell","MarketOrder","-1900 shares","22.78","-43282","-1900 shares","-","-1748","56.27","Filled","2011-01-14 14:50:00"
"2011-01-17","11:25:00","Equity","000977.XSHE","Sell","MarketOrder","-2300 shares","18.48","-42504","-2300 shares","-","-2208","55.26","Filled","2011-01-17 11:25:00"
"2011-01-18","09:30:00","Equity","000591.XSHE","Buy","MarketOrder","2800 shares","10.56","29568","2800 shares","-","0","8.87","Filled","2011-01-18 09:30:00"
"2011-01-18","09:30:00","Equity","000977.XSHE","Buy","MarketOrder","1600 shares","18.15","29040","1600 shares","-","0","8.71","Filled","2011-01-18 09:30:00"
"2011-01-18","09:30:00","Equity","601117.XSHG","Buy","MarketOrder","6000 shares","4.88","29280","6000 shares","-","0","8.78","Filled","2011-01-18 09:30:00"
"2011-01-21","11:25:00","Equity","601117.XSHG","Sell","MarketOrder","-6000 shares","5.72","-34320","-6000 shares","-","5040","44.62","Filled","2011-01-21 11:25:00"
"2011-01-24","14:50:00","Equity","000591.XSHE","Sell","MarketOrder","-2800 shares","10.22","-28616","-2800 shares","-","-952","37.2","Filled","2011-01-24 14:50:00"
"2011-01-25","09:30:00","Equity","002056.XSHE","Buy","MarketOrder","1000 shares","30.76","30760","1000 shares","-","0","9.23","Filled","2011-01-25 09:30:00"
"2011-01-25","09:30:00","Equity","300124.XSHE","Buy","MarketOrder","200 shares","127.7","25540","200 shares","-","0","7.66","Filled","2011-01-25 09:30:00"
"2011-01-25","11:25:00","Equity","000977.XSHE","Sell","MarketOrder","-1600 shares","17.48","-27968","-1600 shares","-","-1072","36.36","Filled","2011-01-25 11:25:00"
"2011-01-26","09:30:00","Equity","002049.XSHE","Buy","MarketOrder","500 shares","20","10000","500 shares","-","0","5","Filled","2011-01-26 09:30:00"
"2011-01-26","09:30:00","Equity","600160.XSHG","Buy","MarketOrder","600 shares","17.6","10560","600 shares","-","0","5","Filled","2011-01-26 09:30:00"
"2011-01-26","09:30:00","Equity","002236.XSHE","Buy","MarketOrder","100 shares","65.88","6588","100 shares","-","0","5","Filled","2011-01-26 09:30:00"
"2011-01-27","11:25:00","Equity","002056.XSHE","Sell","MarketOrder","-1000 shares","32.25","-32250","-1000 shares","-","1490","41.92","Filled","2011-01-27 11:25:00"
"2011-02-01","11:25:00","Equity","600160.XSHG","Sell","MarketOrder","-600 shares","20.28","-12168","-600 shares","-","1608","17.17","Filled","2011-02-01 11:25:00"
"2011-02-10","11:25:00","Equity","002049.XSHE","Sell","MarketOrder","-500 shares","23.54","-11770","-500 shares","-","1770","16.77","Filled","2011-02-10 11:25:00"
"2011-02-11","11:25:00","Equity","300124.XSHE","Sell","MarketOrder","-200 shares","139.2","-27840","-200 shares","-","2300","36.19","Filled","2011-02-11 11:25:00"
"2011-02-15","11:25:00","Equity","002236.XSHE","Sell","MarketOrder","-100 shares","77.28","-7728","-100 shares","-","1140","12.73","Filled","2011-02-15 11:25:00"
"2011-03-01","09:30:00","Equity","002371.XSHE","Buy","MarketOrder","1000 shares","92.44","92440","1000 shares","-","0","27.73","Filled","2011-03-01 09:30:00"
"2011-03-04","09:30:00","Equity","002049.XSHE","Buy","MarketOrder","100 shares","23.6","2360","100 shares","-","0","5","Filled","2011-03-04 09:30:00"
"2011-03-04","09:30:00","Equity","000837.XSHE","Buy","MarketOrder","200 shares","14.78","2956","200 shares","-","0","5","Filled","2011-03-04 09:30:00"
"2011-03-04","11:25:00","Equity","002371.XSHE","Sell","MarketOrder","-1000 shares","89.16","-89160","-1000 shares","-","-3280","115.91","Filled","2011-03-04 11:25:00"
"2011-03-07","09:30:00","Equity","600160.XSHG","Buy","MarketOrder","3400 shares","26.46","89964","3400 shares","-","0","26.99","Filled","2011-03-07 09:30:00"
"2011-03-09","11:25:00","Equity","600160.XSHG","Sell","MarketOrder","-3400 shares","29","-98600","-3400 shares","-","8636","128.18","Filled","2011-03-09 11:25:00"
