"Timestamp","BenchmarkReturn","StrategyReturn","DailyProfit","DailyLoss","DailyBuyAmount","DailySellAmount","ExcessReturnPct"
"2011-01-04 16:00:00","1.96","0","0","0","0","0","-1.92"
"2011-01-05 16:00:00","1.52","0","0","0","0","0","-1.5"
"2011-01-06 16:00:00","1","0","0","0","0","0","-0.99"
"2011-01-07 16:00:00","1.23","0","0","0","0","0","-1.22"
"2011-01-10 16:00:00","-0.64","0","0","0","0","0","0.64"
"2011-01-11 16:00:00","-0.11","-2.1","0","-2100.07","93563","0","-1.99"
"2011-01-12 16:00:00","0.45","-2.12","0","-21.93","0","-59176","-2.56"
"2011-01-13 16:00:00","0.42","-1.3","824.88","0","60396","0","-1.71"
"2011-01-14 16:00:00","-1.16","-3.65","0","-2353.6","0","-30459","-2.52"
"2011-01-17 16:00:00","-4.92","-5.66","0","-2009.96","0","-30738","-0.78"
"2011-01-18 16:00:00","-4.81","-3.7","1965.38","0","65401","0","1.17"
"2011-01-19 16:00:00","-2.67","-1.11","2586","0","0","0","1.6"
"2011-01-20 16:00:00","-5.87","-3.46","0","-2349","0","0","2.56"
"2011-01-21 16:00:00","-4.63","0.11","3568","0","0","0","4.97"
"2011-01-24 16:00:00","-5.56","0.15","37.67","0","0","-99486","6.05"
"2011-01-25 16:00:00","-6.06","1.05","898.48","0","98400","0","7.57"
"2011-01-26 16:00:00","-4.79","7.03","5984","0","0","0","12.41"
"2011-01-27 16:00:00","-3.25","4.82","0","-2214.2","0","-103232","8.34"
"2011-01-28 16:00:00","-2.93","4.82","0","0","0","0","7.98"
"2011-01-31 16:00:00","-1.65","4.82","0","0","0","0","6.58"
"2011-02-01 16:00:00","-1.63","4.82","0","0","0","0","6.56"
"2011-02-09 16:00:00","-2.79","4.82","0","0","0","0","7.83"
"2011-02-10 16:00:00","-0.77","4.82","0","0","0","0","5.63"
"2011-02-11 16:00:00","-0.23","4.82","0","0","0","0","5.06"
"2011-02-14 16:00:00","2.91","4.82","0","0","0","0","1.86"
"2011-02-15 16:00:00","2.86","4.82","0","0","0","0","1.91"
"2011-02-16 16:00:00","3.84","4.82","0","0","0","0","0.94"
"2011-02-17 16:00:00","3.76","4.82","0","0","0","0","1.02"
"2011-02-18 16:00:00","2.67","4.82","0","0","0","0","2.09"
"2011-02-21 16:00:00","4.14","4.82","0","0","0","0","0.65"
"2011-02-22 16:00:00","1.13","4.82","0","0","0","0","3.65"
"2011-02-23 16:00:00","1.49","4.82","0","0","0","0","3.28"
"2011-02-24 16:00:00","2","4.82","0","0","0","0","2.76"
"2011-02-25 16:00:00","2.22","4.82","0","0","0","0","2.54"
"2011-02-28 16:00:00","3.56","4.82","0","0","0","0","1.22"
"2011-03-01 16:00:00","4.05","4.82","0","0","0","0","0.74"
"2011-03-02 16:00:00","3.68","4.82","0","0","0","0","1.1"
"2011-03-03 16:00:00","2.99","4.82","0","0","0","0","1.78"
"2011-03-04 16:00:00","4.55","4.82","0","0","0","0","0.26"
"2011-03-07 16:00:00","6.59","9.46","4649.05","0","103155","0","2.69"
"2011-03-08 16:00:00","6.69","10.05","585","0","0","0","3.15"
"2011-03-09 16:00:00","6.73","14.58","4532.97","0","0","-113100","7.36"
"2011-03-10 16:00:00","4.86","14.58","0","0","0","0","9.27"
"2011-03-11 16:00:00","3.81","14.58","0","0","0","0","10.37"
"2011-03-14 16:00:00","4.3","14.58","0","0","0","0","9.86"
"2011-03-15 16:00:00","2.42","14.58","0","0","0","0","11.87"
"2011-03-16 16:00:00","3.83","14.58","0","0","0","0","10.35"
"2011-03-17 16:00:00","2.2","14.58","0","0","0","0","12.11"
"2011-03-18 16:00:00","2.79","14.58","0","0","0","0","11.47"
"2011-03-21 16:00:00","2.52","14.58","0","0","0","0","11.76"
"2011-03-22 16:00:00","3.03","14.58","0","0","0","0","11.21"
"2011-03-23 16:00:00","4.37","14.58","0","0","0","0","9.78"
"2011-03-24 16:00:00","3.94","14.58","0","0","0","0","10.24"
"2011-03-25 16:00:00","5.31","14.58","0","0","0","0","8.8"
"2011-03-28 16:00:00","5.19","14.58","0","0","0","0","8.93"
"2011-03-29 16:00:00","4.15","14.58","0","0","0","0","10.01"
"2011-03-30 16:00:00","4.09","14.58","0","0","0","0","10.08"
"2011-03-31 16:00:00","3.04","14.58","0","0","0","0","11.2"
"2011-04-01 16:00:00","4.62","16.62","2037.98","0","113400","0","11.47"
"2011-04-06 16:00:00","5.84","16.62","0","0","0","0","10.19"
"2011-04-07 16:00:00","6.27","17.4","784","0","0","0","10.47"
"2011-04-08 16:00:00","7.2","17.52","112","0","0","0","9.63"
"2011-04-11 16:00:00","6.56","13.99","0","-3528","0","0","6.97"
"2011-04-12 16:00:00","6.35","13.88","0","-112","0","0","7.08"
