trade_date,stock_code,portfolio_weight,total_market_cap_cny,float_market_cap_cny,market_cap_bn_cny,float_market_cap_bn_cny,composite_score,composite_rank,next_period_return
2026-03-25,sh603786,0.1,21933457377.0,21933457377.0,219.33457377,219.33457377,90.41825095057034,10.0,-0.0011047689191678
2026-03-25,sh688088,0.1,15938499992.0,15938499992.0,159.38499992,159.38499992,77.85931558935361,7.0,-0.0118298514976088
2026-03-25,sh688111,0.1,112650396336.31,112650396336.31,1126.5039633631,1126.5039633631,80.64385297845374,8.0,-0.0099132080128336
2026-03-25,sh688279,0.1,17853042667.2,14509922627.2,178.530426672,145.099226272,63.8149556400507,4.0,-0.0005803082081372
2026-03-25,sh688486,0.1,7999660919.999999,7999176060.0,79.9966092,79.9917606,68.25982256020279,5.0,-0.0216666666666665
2026-03-25,sh688608,0.1,27372245441.1,27372245441.1,273.722454411,273.722454411,29.008871989860587,1.0,0.0385800566991252
2026-03-25,sh688692,0.1,24224300800.0,15645392168.0,242.243008,156.45392168,56.96958174904943,2.0,-0.0206619296933434
2026-03-25,sz301000,0.1,7140593266.8,6740518066.8,71.405932668,67.405180668,76.95817490494298,6.0,-0.004081632653061
2026-03-25,sz301101,0.1,6714383172.000001,6361349442.0,67.14383172000001,63.61349442,83.02027883396705,9.0,-0.0039015606242499
2026-03-25,sz301498,0.1,21104918668.0,9457028649.3,211.04918668,94.570286493,62.32699619771864,3.0,0.0028462998102467
