trade_date,available_cash,holding_market_value,stamp_tax,broker_commission,total_assets,nav,transaction_cost,return,nav_peak_to_date,nav_drawdown_to_date
2011-02-22,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,,1.0,0.0
2011-02-23,9462.136759999994,91422.0,0.0,10.86324,100884.13676,1.0088413676,10.86324,0.0088413675999998,1.0088413676,0.0
2011-02-24,9462.136759999994,92734.0,0.0,0.0,102196.13676,1.0219613676,0.0,0.0130050178564862,1.0219613676,0.0
2011-02-25,9462.136759999994,92570.0,0.0,0.0,102032.13676,1.0203213676,0.0,-0.0016047573342731,1.0219613676,-0.0016047573342731
2011-02-28,9462.136759999994,93419.0,0.0,0.0,102881.13676,1.0288113676,0.0,0.0083209077743515,1.0288113676,0.0
2011-03-01,104794.24508,0.0,95.439,11.45268,104794.24508,1.0479424508,106.89168,0.0185953264150149,1.0479424508,0.0
2011-03-02,13030.234719999991,91284.0,0.0,11.01036,104314.23472,1.0431423472,11.01036,-0.0045805030575254,1.0479424508,-0.0045805030575254
2011-03-03,13030.234719999991,89173.0,0.0,0.0,102203.23472,1.0220323472,0.0,-0.0202369312842713,1.0479424508,-0.0247247390161742
2011-03-04,13030.234719999991,90280.0,0.0,0.0,103310.23472,1.0331023471999998,0.0,0.0108313597219575,1.0479424508,-0.0141611818365322
2011-03-07,13030.234719999991,92918.0,0.0,0.0,105948.23472,1.0594823472,0.0,0.0255347401653838,1.0594823472,0.0
2011-03-08,106004.98624,0.0,93.079,11.169479999999998,106004.98624,1.0600498624,104.24848,0.0005356532853046,1.0600498624,0.0
2011-03-09,12903.815439999991,93702.0,0.0,11.170799999999998,106605.81544,1.0660581543999998,11.170799999999998,0.0056679333804137,1.0660581543999998,0.0
2011-03-10,12903.815439999991,93604.0,0.0,0.0,106507.81544,1.0650781544,0.0,-0.0009192744279054,1.0660581543999998,-0.0009192744279054
2011-03-11,12903.815439999991,93651.0,0.0,0.0,106554.81544,1.0655481543999998,0.0,0.0004412821707573,1.0660581543999998,-0.000478397916563
2011-03-14,12903.815439999991,94859.0,0.0,0.0,107762.81544,1.0776281544,0.0,0.0113368879201918,1.0776281544,0.0
2011-03-15,106893.42904,0.0,94.095,11.2914,106893.42904,1.0689342904,105.3864,-0.0080675917425715,1.0776281544,-0.0080675917425715
2011-03-16,7581.513039999991,100516.0,0.0,11.916,108097.51304,1.0809751304,11.916,0.0112643406691483,1.0809751304,0.0
2011-03-17,7581.513039999991,99506.0,0.0,0.0,107087.51304,1.0708751304,0.0,-0.0093434156956623,1.0809751304,-0.0093434156956623
