period_end_date,return
2011-02-28,2.88%
2011-03-31,4.41%
2011-04-30,-2.88%
2011-05-31,-5.3%
2011-06-30,5.65%
2011-07-31,2.33%
2011-08-31,-0.58%
2011-09-30,-12.23%
2011-10-31,6.43%
2011-11-30,-0.86%
2011-12-31,-16.69%
2012-01-31,1.77%
2012-02-29,15.72%
2012-03-31,-1.33%
2012-04-30,6.4%
2012-05-31,4.24%
2012-06-30,-9.67%
2012-07-31,-9.61%
2012-08-31,0.74%
2012-09-30,3.21%
2012-10-31,-0.25%
2012-11-30,-11.09%
2012-12-31,16.74%
2013-01-31,4.74%
2013-02-28,5.46%
2013-03-31,-6.96%
2013-04-30,-1.28%
2013-05-31,17.02%
2013-06-30,-20.66%
2013-07-31,4.98%
2013-08-31,13.25%
2013-09-30,4.72%
2013-10-31,-0.82%
2013-11-30,9.31%
2013-12-31,-0.26%
2014-01-31,-9.41%
2014-02-28,-1.16%
2014-03-31,-1.27%
2014-04-30,1.71%
2014-05-31,1.42%
2014-06-30,0.59%
2014-07-31,11.38%
2014-08-31,6.12%
2014-09-30,9.97%
2014-10-31,0.13%
2014-11-30,4.93%
2014-12-31,-7.87%
2015-01-31,14.18%
2015-02-28,7.2%
2015-03-31,15.54%
2015-04-30,14.44%
2015-05-31,34.58%
2015-06-30,-6.17%
2015-07-31,-6.95%
2015-08-31,-11.34%
2015-09-30,4.85%
2015-10-31,28.78%
2015-11-30,12.56%
2015-12-31,0.25%
2016-01-31,-20.28%
2016-02-29,1.33%
2016-03-31,25.83%
2016-04-30,-1.25%
2016-05-31,2.16%
2016-06-30,7.52%
2016-07-31,9.31%
2016-08-31,7.03%
2016-09-30,-2.5%
2016-10-31,2.1%
2016-11-30,-0.89%
2016-12-31,-8.29%
2017-01-31,-2.06%
2017-02-28,7.58%
2017-03-31,-0.99%
2017-04-30,-6.32%
2017-05-31,-6.72%
2017-06-30,4.21%
2017-07-31,0.37%
2017-08-31,6.08%
2017-09-30,7.95%
2017-10-31,-1.35%
2017-11-30,-6.94%
2017-12-31,-4.15%
2018-01-31,-2.54%
2018-02-28,-6.72%
2018-03-31,26.04%
2018-04-30,-7.08%
2018-05-31,1.57%
2018-06-30,-11.09%
2018-07-31,2.37%
2018-08-31,-4.4%
2018-09-30,1.66%
2018-10-31,-8.59%
2018-11-30,12.05%
2018-12-31,-1.04%
2019-01-31,-1.77%
2019-02-28,27.73%
2019-03-31,6.71%
2019-04-30,-5.48%
2019-05-31,-6.37%
2019-06-30,0.97%
2019-07-31,-4.09%
2019-08-31,2.08%
2019-09-30,0.65%
2019-10-31,-1.65%
2019-11-30,-0.38%
2019-12-31,11.06%
2020-01-31,-0.9%
2020-02-29,6.44%
2020-03-31,-6.77%
2020-04-30,5.63%
2020-05-31,3.71%
2020-06-30,2.21%
2020-07-31,12.88%
2020-08-31,4.5%
2020-09-30,-9.12%
2020-10-31,3.68%
2020-11-30,6.88%
2020-12-31,-8.39%
2021-01-31,-4.69%
2021-02-28,11.57%
2021-03-31,5.92%
2021-04-30,1.69%
2021-05-31,0.55%
2021-06-30,-5.81%
2021-07-31,-11.89%
2021-08-31,0.15%
2021-09-30,6.88%
2021-10-31,1.41%
2021-11-30,14.78%
2021-12-31,10.39%
2022-01-31,-11.75%
2022-02-28,3.62%
2022-03-31,-16.87%
2022-04-30,-19.85%
2022-05-31,14.06%
2022-06-30,10.58%
2022-07-31,3.04%
2022-08-31,2.19%
2022-09-30,-12.06%
2022-10-31,3.67%
2022-11-30,14.31%
2022-12-31,-1.55%
2023-01-31,10.42%
2023-02-28,3.46%
2023-03-31,-4.03%
2023-04-30,1.89%
2023-05-31,-4.07%
2023-06-30,2.46%
2023-07-31,1.84%
2023-08-31,-3.09%
2023-09-30,-2.22%
2023-10-31,-6.09%
2023-11-30,-0.5%
2023-12-31,-4.91%
2024-01-31,-26.99%
2024-02-29,24.52%
2024-03-31,3.67%
2024-04-30,2.07%
2024-05-31,-0.96%
2024-06-30,-10.25%
2024-07-31,-4.08%
2024-08-31,-1.39%
2024-09-30,33.43%
2024-10-31,13.97%
2024-11-30,7.15%
2024-12-31,-2.82%
2025-01-31,-4.11%
2025-02-28,13.9%
2025-03-31,1.45%
2025-04-30,2.58%
2025-05-31,5.77%
2025-06-30,5.43%
2025-07-31,2.99%
2025-08-31,9.76%
2025-09-30,-4.72%
2025-10-31,3.48%
2025-11-30,-1.53%
2025-12-31,3.48%
2026-01-31,7.58%
2026-02-28,1.07%
2026-03-31,-11.23%
