period_end_date,return
2011-03-31,7.42%
2011-06-30,-2.83%
2011-09-30,-10.7%
2011-12-31,-12.1%
2012-03-31,16.2%
2012-06-30,0.19%
2012-09-30,-6.02%
2012-12-31,3.53%
2013-03-31,2.77%
2013-06-30,-8.35%
2013-09-30,24.51%
2013-12-31,8.13%
2014-03-31,-11.61%
2014-06-30,3.76%
2014-09-30,29.98%
2014-12-31,-3.2%
2015-03-31,41.42%
2015-06-30,44.5%
2015-09-30,-13.5%
2015-12-31,45.31%
2016-03-31,1.64%
2016-06-30,8.47%
2016-09-30,14.06%
2016-12-31,-7.2%
2017-03-31,4.32%
2017-06-30,-8.94%
2017-09-30,14.94%
2017-12-31,-12.01%
2018-03-31,14.6%
2018-06-30,-16.09%
2018-09-30,-0.52%
2018-12-31,1.37%
2019-03-31,33.89%
2019-06-30,-10.64%
2019-09-30,-1.46%
2019-12-31,8.82%
2020-03-31,-1.66%
2020-06-30,11.97%
2020-09-30,7.2%
2020-12-31,1.51%
2021-03-31,12.62%
2021-06-30,-3.69%
2021-09-30,-5.69%
2021-12-31,28.49%
2022-03-31,-23.98%
2022-06-30,1.09%
2022-09-30,-7.41%
2022-12-31,16.66%
2023-03-31,9.64%
2023-06-30,0.14%
2023-09-30,-3.49%
2023-12-31,-11.15%
2024-03-31,-5.75%
2024-06-30,-9.27%
2024-09-30,26.19%
2024-12-31,18.68%
2025-03-31,10.8%
2025-06-30,14.39%
2025-09-30,7.7%
2025-12-31,5.45%
2026-03-31,-3.47%
