trade_date,available_cash,holding_market_value,stamp_tax,broker_commission,total_assets,nav,transaction_cost,return,nav_peak_to_date,nav_drawdown_to_date
2011-02-22,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,,1.0,0.0
2011-02-23,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2011-02-24,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2011-02-25,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2011-02-28,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2011-03-01,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2011-03-02,12428.492679999996,87095.0,0.0,10.507319999999998,99523.49268,0.9952349268,10.507319999999998,-0.0047650732,1.0,-0.0047650732
2011-03-03,12428.492679999996,85047.0,0.0,0.0,97475.49268,0.9747549268,0.0,-0.0205780559428814,1.0,-0.0252450732
2011-03-04,12428.492679999996,86090.0,0.0,0.0,98518.49268,0.9851849268,0.0,0.0107001254502403,1.0,-0.0148150732
2011-03-07,12428.492679999996,88507.0,0.0,0.0,100935.49268,1.0093549268,0.0,0.0245334650810251,1.0093549268,0.0
2011-03-08,101020.15876,0.0,88.691,10.642919999999998,101020.15876,1.0102015876,99.33392,0.0008388137586885,1.0102015876,0.0
2011-03-09,12197.501319999996,89358.0,0.0,10.657439999999998,101555.50132,1.0155550132,10.657439999999998,0.0052993636772227,1.0155550132,0.0
2011-03-10,12197.501319999996,89277.0,0.0,0.0,101474.50132,1.0147450132,0.0,-0.000797593423765,1.0155550132,-0.000797593423765
2011-03-11,12197.501319999996,89309.0,0.0,0.0,101506.50132,1.0150650132,0.0,0.000315350157761,1.0155550132,-0.000482494787216
2011-03-14,12197.501319999996,90364.0,0.0,0.0,102561.50132,1.0256150132,0.0,0.0103934229461235,1.0256150132,0.0
2011-03-15,101714.13028,0.0,89.617,10.75404,101714.13028,1.0171413028,100.37104,-0.0082620771838755,1.0256150132,-0.0082620771838755
2011-03-16,11821.34444,90971.0,0.0,10.78584,102792.34444,1.0279234444,10.78584,0.0106004363113745,1.0279234444,0.0
2011-03-17,11821.34444,90036.0,0.0,0.0,101857.34444,1.0185734444,0.0,-0.0090960081229177,1.0279234444,-0.0090960081229177
2011-03-18,11821.34444,91190.0,0.0,0.0,103011.34444,1.0301134444,0.0,0.0113295708458192,1.0301134444,0.0
2011-03-21,11821.34444,91571.0,0.0,0.0,103392.34444,1.0339234444,0.0,0.0036986217592949,1.0339234444,0.0
2011-03-22,103030.07612,0.0,91.311,10.95732,103030.07612,1.0303007612,102.26832,-0.0035038215059552,1.0339234444,-0.0035038215059552
2011-03-23,103030.07612,0.0,0.0,0.0,103030.07612,1.0303007612,0.0,0.0,1.0339234444,-0.0035038215059552
2011-03-24,103030.07612,0.0,0.0,0.0,103030.07612,1.0303007612,0.0,0.0,1.0339234444,-0.0035038215059552
2011-03-25,103030.07612,0.0,0.0,0.0,103030.07612,1.0303007612,0.0,0.0,1.0339234444,-0.0035038215059552
2011-03-28,103030.07612,0.0,0.0,0.0,103030.07612,1.0303007612,0.0,0.0,1.0339234444,-0.0035038215059552
2011-03-29,103030.07612,0.0,0.0,0.0,103030.07612,1.0303007612,0.0,0.0,1.0339234444,-0.0035038215059552
2011-03-30,103030.07612,0.0,0.0,0.0,103030.07612,1.0303007612,0.0,0.0,1.0339234444,-0.0035038215059552
2011-03-31,103030.07612,0.0,0.0,0.0,103030.07612,1.0303007612,0.0,0.0,1.0339234444,-0.0035038215059552
2011-04-01,103030.07612,0.0,0.0,0.0,103030.07612,1.0303007612,0.0,0.0,1.0339234444,-0.0035038215059552
2011-04-06,103030.07612,0.0,0.0,0.0,103030.07612,1.0303007612,0.0,0.0,1.0339234444,-0.0035038215059552
2011-04-07,103030.07612,0.0,0.0,0.0,103030.07612,1.0303007612,0.0,0.0,1.0339234444,-0.0035038215059552
2011-04-08,103030.07612,0.0,0.0,0.0,103030.07612,1.0303007612,0.0,0.0,1.0339234444,-0.0035038215059552
2011-04-11,103030.07612,0.0,0.0,0.0,103030.07612,1.0303007612,0.0,0.0,1.0339234444,-0.0035038215059552
2011-04-12,103030.07612,0.0,0.0,0.0,103030.07612,1.0303007612,0.0,0.0,1.0339234444,-0.0035038215059552
2011-04-13,103030.07612,0.0,0.0,0.0,103030.07612,1.0303007612,0.0,0.0,1.0339234444,-0.0035038215059552
2011-04-14,103030.07612,0.0,0.0,0.0,103030.07612,1.0303007612,0.0,0.0,1.0339234444,-0.0035038215059552
2011-04-15,103030.07612,0.0,0.0,0.0,103030.07612,1.0303007612,0.0,0.0,1.0339234444,-0.0035038215059552
2011-04-18,103030.07612,0.0,0.0,0.0,103030.07612,1.0303007612,0.0,0.0,1.0339234444,-0.0035038215059552
2011-04-19,103030.07612,0.0,0.0,0.0,103030.07612,1.0303007612,0.0,0.0,1.0339234444,-0.0035038215059552
2011-04-20,103030.07612,0.0,0.0,0.0,103030.07612,1.0303007612,0.0,0.0,1.0339234444,-0.0035038215059552
