period_end_date,return
2011-02-28,0.0%
2011-03-31,3.03%
2011-04-30,-7.3%
2011-05-31,0.0%
2011-06-30,1.1%
2011-07-31,0.64%
2011-08-31,-4.71%
2011-09-30,0.0%
2011-10-31,0.0%
2011-11-30,3.23%
2011-12-31,0.0%
2012-01-31,-1.77%
2012-02-29,9.86%
2012-03-31,-1.08%
2012-04-30,1.83%
2012-05-31,3.43%
2012-06-30,-5.49%
2012-07-31,0.0%
2012-08-31,-3.23%
2012-09-30,-3.76%
2012-10-31,-2.57%
2012-11-30,0.0%
2012-12-31,8.97%
2013-01-31,6.09%
2013-02-28,0.51%
2013-03-31,-2.86%
2013-04-30,0.0%
2013-05-31,10.65%
2013-06-30,-1.63%
2013-07-31,0.76%
2013-08-31,12.77%
2013-09-30,4.64%
2013-10-31,-3.63%
2013-11-30,1.53%
2013-12-31,1.48%
2014-01-31,0.0%
2014-02-28,-7.7%
2014-03-31,0.0%
2014-04-30,0.0%
2014-05-31,0.13%
2014-06-30,0.53%
2014-07-31,2.88%
2014-08-31,6.41%
2014-09-30,10.27%
2014-10-31,-0.21%
2014-11-30,-0.15%
2014-12-31,-2.6%
2015-01-31,-0.38%
2015-02-28,2.44%
2015-03-31,15.21%
2015-04-30,14.13%
2015-05-31,17.56%
2015-06-30,4.09%
2015-07-31,0.0%
2015-08-31,-6.98%
2015-09-30,0.0%
2015-10-31,11.26%
2015-11-30,12.46%
2015-12-31,0.0%
2016-01-31,0.0%
2016-02-29,0.0%
2016-03-31,0.33%
2016-04-30,-1.74%
2016-05-31,0.0%
2016-06-30,-0.64%
2016-07-31,8.15%
2016-08-31,0.0%
2016-09-30,0.0%
2016-10-31,-1.0%
2016-11-30,-3.37%
2016-12-31,0.0%
2017-01-31,0.0%
2017-02-28,4.45%
2017-03-31,-0.77%
2017-04-30,0.0%
2017-05-31,0.0%
2017-06-30,1.83%
2017-07-31,-1.27%
2017-08-31,3.61%
2017-09-30,7.7%
2017-10-31,0.0%
2017-11-30,0.0%
2017-12-31,0.0%
2018-01-31,-0.15%
2018-02-28,0.0%
2018-03-31,23.66%
2018-04-30,-3.17%
2018-05-31,0.0%
2018-06-30,0.0%
2018-07-31,-0.0%
2018-08-31,-5.6%
2018-09-30,-0.82%
2018-10-31,-4.01%
2018-11-30,5.58%
2018-12-31,-3.03%
2019-01-31,-0.35%
2019-02-28,13.11%
2019-03-31,6.79%
2019-04-30,0.21%
2019-05-31,0.0%
2019-06-30,0.0%
2019-07-31,-3.08%
2019-08-31,2.24%
2019-09-30,0.53%
2019-10-31,0.0%
2019-11-30,0.0%
2019-12-31,7.92%
2020-01-31,-0.9%
2020-02-29,-3.17%
2020-03-31,1.63%
2020-04-30,0.0%
2020-05-31,0.0%
2020-06-30,-1.42%
2020-07-31,8.88%
2020-08-31,2.41%
2020-09-30,0.0%
2020-10-31,0.0%
2020-11-30,2.32%
2020-12-31,1.18%
2021-01-31,-4.98%
2021-02-28,0.0%
2021-03-31,0.0%
2021-04-30,-3.37%
2021-05-31,-0.19%
2021-06-30,-1.62%
2021-07-31,0.0%
2021-08-31,-0.16%
2021-09-30,0.44%
2021-10-31,0.0%
2021-11-30,5.39%
2021-12-31,9.91%
2022-01-31,-4.19%
2022-02-28,0.0%
2022-03-31,-9.67%
2022-04-30,0.0%
2022-05-31,6.96%
2022-06-30,10.49%
2022-07-31,-0.96%
2022-08-31,0.0%
2022-09-30,0.0%
2022-10-31,-2.62%
2022-11-30,14.32%
2022-12-31,2.65%
2023-01-31,0.0%
2023-02-28,1.35%
2023-03-31,-1.4%
2023-04-30,0.09%
2023-05-31,0.0%
2023-06-30,0.0%
2023-07-31,-0.9%
2023-08-31,0.0%
2023-09-30,-1.22%
2023-10-31,0.0%
2023-11-30,-2.42%
2023-12-31,0.0%
2024-01-31,0.0%
2024-02-29,3.04%
2024-03-31,2.94%
2024-04-30,-0.88%
2024-05-31,1.72%
2024-06-30,0.0%
2024-07-31,0.0%
2024-08-31,-1.2%
2024-09-30,27.91%
2024-10-31,14.04%
2024-11-30,2.39%
2024-12-31,0.0%
2025-01-31,0.0%
2025-02-28,8.62%
2025-03-31,5.37%
2025-04-30,0.0%
2025-05-31,0.0%
2025-06-30,1.56%
2025-07-31,3.03%
2025-08-31,3.63%
2025-09-30,-4.72%
2025-10-31,0.0%
2025-11-30,0.0%
2025-12-31,-0.42%
2026-01-31,7.53%
2026-02-28,2.61%
2026-03-31,0.0%
