period_end_date,return
2011-03-31,3.03%
2011-06-30,-6.28%
2011-09-30,-4.1%
2011-12-31,3.23%
2012-03-31,6.75%
2012-06-30,-0.46%
2012-09-30,-6.88%
2012-12-31,6.16%
2013-03-31,3.57%
2013-06-30,8.85%
2013-09-30,18.91%
2013-12-31,-0.7%
2014-03-31,-7.7%
2014-06-30,0.66%
2014-09-30,20.72%
2014-12-31,-2.95%
2015-03-31,17.57%
2015-06-30,39.65%
2015-09-30,-6.98%
2015-12-31,25.13%
2016-03-31,0.33%
2016-06-30,-2.37%
2016-09-30,8.15%
2016-12-31,-4.34%
2017-03-31,3.65%
2017-06-30,1.83%
2017-09-30,10.17%
2017-12-31,0.0%
2018-03-31,23.48%
2018-06-30,-3.17%
2018-09-30,-6.38%
2018-12-31,-1.72%
2019-03-31,20.36%
2019-06-30,0.21%
2019-09-30,-0.38%
2019-12-31,7.92%
2020-03-31,-2.48%
2020-06-30,-1.42%
2020-09-30,11.51%
2020-12-31,3.53%
2021-03-31,-4.98%
2021-06-30,-5.11%
2021-09-30,0.28%
2021-12-31,15.83%
2022-03-31,-13.45%
2022-06-30,18.18%
2022-09-30,-0.96%
2022-12-31,14.27%
2023-03-31,-0.07%
2023-06-30,0.09%
2023-09-30,-2.11%
2023-12-31,-2.42%
2024-03-31,6.07%
2024-06-30,0.82%
2024-09-30,26.38%
2024-12-31,16.77%
2025-03-31,14.45%
2025-06-30,1.56%
2025-09-30,1.73%
2025-12-31,-0.42%
2026-03-31,10.34%
