year,most_frequently_selected_stocks
2011,sz002322_11 sz002003_8 sz002172_8 sz002261_8 sz002365_8 sz002376_8 sz300046_8 sh600150_7 sh600690_7 sz000625_7 sz002394_7 sz300043_7 sh600087_6 sz002093_6 sz002368_6 sz002429_6 sh600208_5 sh600268_5 sh600415_5 sh600629_5
2012,sz002126_11 sz002266_11 sz002293_10 sh600460_8 sh601216_8 sz002165_8 sh600409_7 sh601000_7 sz000869_7 sz002066_7 sz002079_7 sh600527_6 sz000596_6 sz000988_6 sz002050_6 sz002117_6 sz300124_6 sz300164_6 sh600298_5 sh600406_5
2013,sz002304_22 sh600809_13 sz000596_12 sz002293_11 sh600519_10 sz002395_10 sh600575_9 sz000869_9 sz002327_9 sh600578_8 sz000568_8 sz000758_8 sz002081_8 sz002155_8 sz002186_8 sz002216_8 sz002251_8 sz002204_7 sz002345_7 sh600558_6
2014,sz002353_12 sz300146_11 sh600546_9 sz300105_9 sz300182_9 sh600188_8 sh600801_8 sh600887_8 sh601699_8 sz002028_8 sz002391_8 sz002412_8 sz002595_8 sz300119_8 sh600160_7 sh600348_7 sz002303_7 sz002344_7 sz002345_7 sz002375_7
2015,sz300316_11 sz002563_9 sz002539_8 sh600201_7 sh603993_7 sz002422_7 sz002595_7 sz300171_7 sh600016_6 sh601126_6 sh601231_6 sh601318_6 sh603609_6 sz002588_6 sz002651_6 sz300236_6 sh600887_5 sh601339_5 sh601633_5 sz000338_5
2016,sh600845_13 sh601021_9 sh601199_9 sh600705_8 sh601880_8 sz002204_8 sz002221_8 sz002692_8 sz300408_8 sh600582_7 sh600763_7 sz002437_7 sz300146_7 sz300233_7 sz300257_7 sz300326_7 sh600166_6 sh600176_6 sz002158_6 sz002252_6
2017,sz002065_9 sh603766_8 sz000801_8 sz002027_8 sz002239_8 sz002370_8 sz002438_8 sz002537_8 sz002706_8 sz300224_8 sh600763_7 sz002364_7 sz002612_7 sz002687_7 sz002380_6 sz002539_6 sz002708_6 sz300005_6 sh600371_5 sh600469_5
2018,sz002749_12 sz002625_11 sh600962_8 sh603788_8 sz002034_8 sh600366_7 sh600599_7 sh603633_7 sz002014_7 sh600452_6 sh603018_6 sh603223_6 sz000065_6 sz002543_6 sz002627_6 sz002681_6 sh600167_5 sh600477_5 sz000544_5 sz000885_5
2019,sh603518_13 sh603156_9 sh600120_8 sh600566_8 sh603260_8 sh603680_8 sz002602_8 sz002749_8 sz002790_8 sz300501_8 sz000736_7 sz002038_7 sz002320_7 sz002412_7 sz002647_7 sh600379_6 sh600452_6 sh603603_6 sz000597_6 sz002294_6
2020,sh600793_12 sh603508_10 sh603637_9 sh600338_8 sh600613_8 sh601101_8 sh603086_8 sh603379_8 sh603383_8 sz002592_8 sh600507_7 sh600638_7 sh601127_7 sz002468_7 sh603331_6 sz002777_6 sz002811_6 sz002840_6 sh600094_5 sh600120_5
2021,sh603136_8 sh603610_8 sh603658_8 sh603810_8 sz002901_8 sh603160_7 sh603238_7 sh603387_7 sh603811_7 sh605001_7 sz000876_7 sz001914_7 sz002916_7 sz300483_7 sh603233_6 sh603500_6 sh603755_6 sh688015_6 sh688123_6 sz000526_6
2022,sh688169_15 sh688608_15 sh605500_8 sh688002_8 sz300433_8 sh603338_7 sh603583_7 sh689009_7 sz002968_7 sz300669_7 sh603960_6 sh688026_6 sz002648_6 sz002724_6 sz002847_6 sz300226_6 sz300729_6 sz300747_6 sh603208_5 sh603893_5
2023,sh688269_12 sh603129_9 sh688200_9 sh688357_9 sz300751_9 sh600389_8 sh603229_8 sh603713_8 sh688606_8 sh601155_7 sh603486_7 sh688087_7 sh600132_6 sh603267_6 sh603737_6 sh603938_6 sh688363_6 sz300661_6 sz300699_6 sh600563_5
2024,sh688301_13 sh688091_12 sh603489_9 sh688618_9 sh688050_8 sh688179_8 sh688293_8 sh688513_8 sh688516_8 sz300833_8 sh688398_7 sh600283_6 sh603237_6 sh603535_6 sh603908_6 sh688356_6 sz300896_6 sh600976_5 sh688181_5 sh688209_5
2025,sh688169_16 sz300856_10 sh688281_9 sz000526_9 sh605009_8 sh688120_8 sh688301_8 sh688617_8 sz002594_8 sz301004_8 sz301211_8 sh605369_7 sh688036_7 sh688050_7 sh688157_7 sz300896_7 sh603208_6 sh688257_6 sh688516_6 sz003006_6
2026,sz000596_7 sh688036_4 sz300856_4 sh600180_3 sh605368_3 sh688608_3 sh688696_3 sz300979_3 sh600123_2 sh600373_2 sh600603_2 sh601127_2 sh603535_2 sh688088_2 sh688111_2 sh688169_2 sh688318_2 sh688692_2 sz000517_2 sz001205_2
