trade_date,stock_code,target_weight
2011-02-22,sz002286,0.1
2011-02-22,sz300031,0.1
2011-02-22,sz300035,0.1
2011-02-22,sh600479,0.1
2011-02-22,sh600208,0.1
2011-02-22,sh600329,0.1
2011-02-22,sz000065,0.1
2011-02-22,sh600392,0.1
2011-02-22,sh600351,0.1
2011-02-22,sz002040,0.1
2011-03-01,sz002322,0.1
2011-03-01,sh600208,0.1
2011-03-01,sh600392,0.1
2011-03-01,sh600348,0.1
2011-03-01,sz000589,0.1
2011-03-01,sz300033,0.1
2011-03-01,sz300012,0.1
2011-03-01,sh600595,0.1
2011-03-01,sz300031,0.1
2011-03-01,sz002209,0.1
2011-03-08,sh600499,0.1
2011-03-08,sh600208,0.1
2011-03-08,sh600595,0.1
2011-03-08,sz002322,0.1
2011-03-08,sz300033,0.1
2011-03-08,sz300049,0.1
2011-03-08,sh600479,0.1
2011-03-08,sh600557,0.1
2011-03-08,sz300031,0.1
2011-03-08,sz002209,0.1
2011-03-15,sz002028,0.1
2011-03-15,sz000718,0.1
2011-03-15,sh601877,0.1
2011-03-15,sz002250,0.1
2011-03-15,sz002191,0.1
2011-03-15,sh600595,0.1
2011-03-15,sh600208,0.1
2011-03-15,sh600048,0.1
2011-03-15,sz002209,0.1
2011-03-15,sz002244,0.1
2011-03-22,sz300031,0.1
2011-03-22,sh600499,0.1
2011-03-22,sh600298,0.1
2011-03-22,sh600858,0.1
2011-03-22,sz002161,0.1
2011-03-22,sz002261,0.1
2011-03-22,sz002316,0.1
2011-03-22,sh600208,0.1
2011-03-22,sz002322,0.1
2011-03-22,sz002007,0.1
2011-03-29,sh601186,0.1
2011-03-29,sz300015,0.1
2011-03-29,sz002003,0.1
2011-03-29,sh600570,0.1
2011-03-29,sh600858,0.1
2011-03-29,sh600557,0.1
2011-03-29,sh600406,0.1
2011-03-29,sz002261,0.1
2011-03-29,sz002161,0.1
2011-03-29,sz002322,0.1
2011-04-07,sz300015,0.1
2011-04-07,sz002345,0.1
2011-04-07,sh600256,0.1
2011-04-07,sz000850,0.1
2011-04-07,sz300039,0.1
2011-04-07,sz002261,0.1
2011-04-07,sh600406,0.1
2011-04-07,sz002322,0.1
2011-04-07,sz300043,0.1
2011-04-07,sh600570,0.1
2011-04-14,sz300019,0.1
2011-04-14,sh600256,0.1
2011-04-14,sz300026,0.1
2011-04-14,sz000776,0.1
2011-04-14,sz000850,0.1
2011-04-14,sh600570,0.1
