trade_date,available_cash,holding_market_value,stamp_tax,broker_commission,total_assets,nav,transaction_cost,return,nav_peak_to_date,nav_drawdown_to_date
2018-02-02,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,,1.0,0.0
2018-02-05,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2018-02-06,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2018-02-07,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2018-02-08,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2018-02-09,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2018-02-12,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2018-02-13,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2018-02-14,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2018-02-22,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2018-02-23,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2018-02-26,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2018-02-27,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2018-02-28,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2018-03-01,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2018-03-02,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2018-03-05,10523.264079999994,89548.0,0.0,10.735919999999998,100071.26408,1.0007126408,10.735919999999998,0.0007126407999999,1.0007126408,0.0
2018-03-06,10523.264079999994,91052.0,0.0,0.0,101575.26408,1.0157526408,0.0,0.0150292895150965,1.0157526408,0.0
2018-03-07,10523.264079999994,90489.0,0.0,0.0,101012.26408,1.0101226408,0.0,-0.0055426880264528,1.0157526408,-0.0055426880264528
2018-03-08,10523.264079999994,91974.0,0.0,0.0,102497.26408,1.0249726408,0.0,0.0147011851830576,1.0249726408,0.0
2018-03-09,105166.1452,0.0,94.749,11.369879999999998,105166.1452,1.051661452,106.11888,0.0260385596040586,1.051661452,0.0
2018-03-12,10299.762600000002,96112.0,0.0,11.3826,106411.7626,1.064117626,11.3826,0.011844281233577,1.064117626,0.0
2018-03-13,10299.762600000002,97091.0,0.0,0.0,107390.7626,1.073907626,0.0,0.0092001107403891,1.073907626,0.0
2018-03-14,10299.762600000002,97017.0,0.0,0.0,107316.7626,1.073167626,0.0,-0.0006890723020156,1.073907626,-0.0006890723020156
2018-03-15,10299.762600000002,97897.0,0.0,0.0,108196.7626,1.081967626,0.0,0.0082000237304957,1.081967626,0.0
2018-03-16,107758.48644,0.0,97.568,11.70816,107758.48644,1.0775848644,109.27616,-0.0040507326602763,1.081967626,-0.0040507326602763
2018-03-19,8149.534800000008,100878.0,0.0,11.951639999999998,109027.5348,1.090275348,11.951639999999998,0.0117767834527502,1.090275348,0.0
2018-03-20,8149.534800000008,102055.0,0.0,0.0,110204.5348,1.102045348,0.0,0.0107954380713009,1.102045348,0.0
2018-03-21,8149.534800000008,105083.0,0.0,0.0,113232.5348,1.1323253480000002,0.0,0.0274761833121952,1.1323253480000002,0.0
2018-03-22,8149.534800000008,108526.0,0.0,0.0,116675.5348,1.166755348,0.0,0.0304064552302152,1.166755348,0.0
2018-03-23,110588.67432,0.0,102.554,12.30648,110588.67432,1.1058867432,114.86048,-0.0521691243192827,1.166755348,-0.0521691243192827
2018-03-26,7748.334960000007,106769.0,0.0,12.33936,114517.33496,1.1451733496,12.33936,0.0355249817773564,1.166755348,-0.0184974497327096
2018-03-27,7748.334960000007,110174.0,0.0,0.0,117922.33496,1.1792233496,0.0,0.0297334897043257,1.1792233496,0.0
2018-03-28,7748.334960000007,110152.0,0.0,0.0,117900.33496,1.1790033496,0.0,-0.0001865634699944,1.1792233496,-0.0001865634699944
2018-03-29,7748.334960000007,112206.0,0.0,0.0,119954.33496,1.1995433496,0.0,0.0174214941857193,1.1995433496,0.0
2018-03-30,122806.32551999998,0.0,115.18699999999998,13.822439999999997,122806.32551999998,1.2280632552,129.00943999999998,0.023775635627933,1.2280632552,0.0
2018-04-02,6804.406959999978,116813.0,0.0,13.91856,123617.40695999998,1.2361740696,13.91856,0.006604557514164,1.2361740696,0.0
2018-04-03,6804.406959999978,115899.0,0.0,0.0,122703.40695999998,1.2270340695999995,0.0,-0.0073937807180809,1.2361740696,-0.0073937807180809
2018-04-04,6804.406959999978,115128.0,0.0,0.0,121932.40695999998,1.2193240695999998,0.0,-0.0062834441121208,1.2361740696,-0.0136307664222825
2018-04-09,6804.406959999978,114275.0,0.0,0.0,121079.40695999998,1.2107940695999997,0.0,-0.0069956791739528,1.2361740696,-0.02053108912745
2018-04-10,121960.28775999998,0.0,115.285,13.8342,121960.28775999998,1.2196028776,129.1192,0.0072752321977511,1.2361740696,-0.0134052253703736
2018-04-11,7800.590239999976,114331.0,0.0,13.69752,122131.59023999998,1.2213159023999998,13.69752,0.0014045758922534,1.2361740696,-0.0120194781345056
2018-04-12,7800.590239999976,114637.0,0.0,0.0,122437.59023999998,1.2243759023999998,0.0,0.0025054942738294,1.2361740696,-0.0095440985943165
2018-04-13,7800.590239999976,115175.0,0.0,0.0,122975.59023999998,1.2297559023999998,0.0,0.0043940753729749,1.2361740696,-0.0051919607099321
2018-04-16,7800.590239999976,111972.0,0.0,0.0,119772.59023999998,1.1977259023999998,0.0,-0.0260458192861607,1.2361740696,-0.0311025511257011
