period_end_date,return
2019-01-31,0.35%
2019-02-28,26.38%
2019-03-31,6.52%
2019-04-30,-5.3%
2019-05-31,-6.23%
2019-06-30,1.01%
2019-07-31,-3.85%
2019-08-31,2.11%
2019-09-30,0.67%
2019-10-31,-1.57%
2019-11-30,-0.28%
2019-12-31,10.72%
2020-01-31,-0.91%
2020-02-29,6.39%
2020-03-31,-6.38%
2020-04-30,5.17%
2020-05-31,3.64%
2020-06-30,2.14%
2020-07-31,12.51%
2020-08-31,4.33%
2020-09-30,-8.08%
2020-10-31,2.97%
2020-11-30,6.59%
2020-12-31,-8.18%
2021-01-31,-4.37%
2021-02-28,3.56%
