trade_date,stock_code,target_weight
2019-01-02,sz002737,0.1
2019-01-02,sh601116,0.1
2019-01-02,sh600703,0.1
2019-01-02,sz300433,0.1
2019-01-02,sz002294,0.1
2019-01-02,sz002390,0.1
2019-01-02,sz002685,0.1
2019-01-02,sh600157,0.1
2019-01-02,sz000560,0.1
2019-01-02,sz002442,0.1
2019-01-09,sh600079,0.1
2019-01-09,sz002442,0.1
2019-01-09,sz300433,0.1
2019-01-09,sz002390,0.1
2019-01-09,sz000792,0.1
2019-01-09,sh600751,0.1
2019-01-09,sz300482,0.1
2019-01-09,sz002737,0.1
2019-01-09,sz002198,0.1
2019-01-09,sz300174,0.1
2019-01-16,sz002442,0.1
2019-01-16,sh600079,0.1
2019-01-16,sz002294,0.1
2019-01-16,sz300482,0.1
2019-01-16,sz300577,0.1
2019-01-16,sz000736,0.1
2019-01-16,sz300174,0.1
2019-01-16,sh600679,0.1
2019-01-16,sz002198,0.1
2019-01-16,sh600620,0.1
2019-01-23,sh600679,0.1
2019-01-23,sz300433,0.1
2019-01-23,sh600380,0.1
2019-01-23,sz000736,0.1
2019-01-23,sz002745,0.1
2019-01-23,sz300482,0.1
2019-01-23,sh600620,0.1
2019-01-23,sz300009,0.1
2019-01-23,sz300174,0.1
2019-01-23,sz002198,0.1
2019-01-30,sh603998,0.1
2019-01-30,sz300433,0.1
2019-01-30,sh603977,0.1
2019-01-30,sh600499,0.1
2019-01-30,sz002294,0.1
2019-01-30,sz300482,0.1
2019-01-30,sh600526,0.1
2019-01-30,sz300174,0.1
2019-01-30,sz002198,0.1
2019-01-30,sh600679,0.1
2019-02-13,sh600679,0.1
2019-02-13,sz002442,0.1
2019-02-13,sz002911,0.1
2019-02-13,sz002015,0.1
2019-02-13,sz000985,0.1
2019-02-13,sh603519,0.1
2019-02-13,sh600526,0.1
2019-02-13,sh600599,0.1
2019-02-13,sz300174,0.1
2019-02-13,sz300055,0.1
2019-02-20,sz002511,0.1
2019-02-20,sz002295,0.1
2019-02-20,sz000803,0.1
2019-02-20,sz002442,0.1
2019-02-20,sz002198,0.1
2019-02-20,sz300055,0.1
2019-02-20,sh600679,0.1
2019-02-20,sz300375,0.1
2019-02-20,sz300240,0.1
2019-02-20,sh603519,0.1
2019-02-27,sz300664,0.1
2019-02-27,sh603519,0.1
2019-02-27,sz000411,0.1
2019-02-27,sz002732,0.1
2019-02-27,sz002511,0.1
2019-02-27,sz002911,0.1
2019-02-27,sz002295,0.1
2019-02-27,sh603989,0.1
2019-02-27,sz002442,0.1
2019-02-27,sz300573,0.1
2019-03-06,sz002085,0.1
2019-03-06,sz002732,0.1
2019-03-06,sz300577,0.1
2019-03-06,sz002647,0.1
2019-03-06,sh603699,0.1
2019-03-06,sz002911,0.1
2019-03-06,sz002602,0.1
2019-03-06,sz300664,0.1
2019-03-06,sz002686,0.1
2019-03-06,sz300500,0.1
2019-03-13,sz000975,0.1
2019-03-13,sz002602,0.1
2019-03-13,sz300636,0.1
2019-03-13,sz002647,0.1
2019-03-13,sz002295,0.1
2019-03-13,sz300500,0.1
2019-03-13,sz002911,0.1
2019-03-13,sz002511,0.1
2019-03-13,sz300428,0.1
2019-03-13,sz002686,0.1
2019-03-20,sh600671,0.1
