trade_date,available_cash,holding_market_value,stamp_tax,broker_commission,total_assets,nav,transaction_cost,return,nav_peak_to_date,nav_drawdown_to_date
2020-07-07,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,,1.0,0.0
2020-07-08,11293.356480000002,90758.0,0.0,10.64352,102051.35648,1.0205135648,10.64352,0.0205135648000001,1.0205135648,0.0
2020-07-09,11293.356480000002,92832.0,0.0,0.0,104125.35648,1.0412535648,0.0,0.0203231007557107,1.0412535648,0.0
2020-07-10,11293.356480000002,91496.0,0.0,0.0,102789.35648,1.0278935648,0.0,-0.012830688366062,1.0412535648,-0.012830688366062
2020-07-13,11293.356480000002,94555.0,0.0,0.0,105848.35648,1.0584835648,0.0,0.0297598905641089,1.0584835648,0.0
2020-07-14,105739.45824,0.0,94.552,11.34624,105739.45824,1.0573945824000002,105.89824,-0.0010288137069048,1.0584835648,-0.0010288137069048
2020-07-15,16982.80872,86988.0,0.0,10.64952,103970.80872,1.0397080872,10.64952,-0.0167264855470099,1.0584835648,-0.0177380908163157
2020-07-16,16982.80872,83248.0,0.0,0.0,100230.80872,1.0023080872,0.0,-0.0359716351737923,1.0584835648,-0.0530716578585839
2020-07-17,16982.80872,83605.0,0.0,0.0,100587.80872,1.0058780872,0.0,0.0035617791032425,1.0584835648,-0.0496989082772766
2020-07-20,16982.80872,86649.0,0.0,0.0,103631.80872,1.0363180872,0.0,0.0302621166395362,1.0584835648,-0.0209407857968849
2020-07-21,104317.88376,0.0,87.433,10.49196,104317.88376,1.0431788376,97.92496,0.0066203132848301,1.0584835648,-0.0144591070744606
2020-07-22,14179.068400000004,90294.0,0.0,10.81536,104473.0684,1.044730684,10.81536,0.0014876129998673,1.0584835648,-0.0129930036302438
2020-07-23,14179.068400000004,89115.0,0.0,0.0,103294.0684,1.032940684,0.0,-0.0112852050586466,1.0584835648,-0.0241315799785953
2020-07-24,14179.068400000004,85523.0,0.0,0.0,99702.0684,0.997020684,0.0,-0.0347745040508056,1.0584835648,-0.0580669203036831
2020-07-27,14179.068400000004,86008.0,0.0,0.0,100187.0684,1.001870684,0.0,0.0048644928614138,1.0584835648,-0.0534848935615707
2020-07-28,101213.48056,0.0,87.132,10.455839999999998,101213.48056,1.0121348056,97.58784,0.0102449565237503,1.0584835648,-0.0437878874470359
2020-07-29,12515.838120000017,89940.0,0.0,10.64244,102455.83812,1.0245583812,10.64244,0.0122746254068746,1.0584835648,-0.032050741955932
2020-07-30,12515.838120000017,90929.0,0.0,0.0,103444.83812,1.0344483812,0.0,0.009652939433687,1.0584835648,-0.0227071863931503
2020-07-31,12515.838120000017,92103.0,0.0,0.0,104618.83812,1.0461883812,0.0,0.0113490438124919,1.0584835648,-0.0116158474338928
