trade_date,available_cash,holding_market_value,stamp_tax,broker_commission,total_assets,nav,transaction_cost,return,nav_peak_to_date,nav_drawdown_to_date
2020-07-07,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,,1.0,0.0
2020-07-08,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2020-07-09,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2020-07-10,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2020-07-13,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2020-07-14,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2020-07-15,11819.419599999994,86400.0,0.0,10.5804,98219.4196,0.982194196,10.5804,-0.017805804,1.0,-0.017805804
2020-07-16,11819.419599999994,82704.0,0.0,0.0,94523.4196,0.945234196,0.0,-0.0376300329919685,1.0,-0.054765804
2020-07-17,11819.419599999994,83062.0,0.0,0.0,94881.4196,0.948814196,0.0,0.0037874211651987,1.0,-0.051185804
2020-07-20,11819.419599999994,86098.0,0.0,0.0,97917.4196,0.979174196,0.0,0.0319978349059186,1.0,-0.0208258040000001
2020-07-21,98597.1196,0.0,86.875,10.425,98597.1196,0.985971196,97.3,0.0069415636439014,1.0,-0.014028804
2020-07-22,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-07-23,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-07-24,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-07-27,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-07-28,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-07-29,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-07-30,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-07-31,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-08-03,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-08-04,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-08-05,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-08-06,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-08-07,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-08-10,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-08-11,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-08-12,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-08-13,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-08-14,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-08-17,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-08-18,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-08-19,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-08-20,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-08-21,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-08-24,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-08-25,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-08-26,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-08-27,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-08-28,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-08-31,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-09-01,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-09-02,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-09-03,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-09-04,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-09-07,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-09-08,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-09-09,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-09-10,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-09-11,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-09-14,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-09-15,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-09-16,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-09-17,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-09-18,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-09-21,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-09-22,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-09-23,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-09-24,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-09-25,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-09-28,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-09-29,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-09-30,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-10-09,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-10-12,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-10-13,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-10-14,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-10-15,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-10-16,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-10-19,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-10-20,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-10-21,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-10-22,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-10-23,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-10-26,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-10-27,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-10-28,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-10-29,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-10-30,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-11-02,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-11-03,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-11-04,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-11-05,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-11-06,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-11-09,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-11-10,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-11-11,98597.1196,0.0,0.0,0.0,98597.1196,0.985971196,0.0,0.0,1.0,-0.014028804
2020-11-12,4755.859999999986,94316.0,0.0,11.259599999999995,99071.86,0.9907186,11.259599999999995,0.0048149520181317,1.0,-0.0092814000000001
2020-11-13,4755.859999999986,94804.0,0.0,0.0,99559.86,0.9955986,0.0,0.0049257175549142,1.0,-0.0044014000000001
2020-11-16,4755.859999999986,96849.0,0.0,0.0,101604.86,1.0160486,0.0,0.0205404065453689,1.0160486,0.0
2020-11-17,4755.859999999986,96068.0,0.0,0.0,100823.86,1.0082386,0.0,-0.0076866401863061,1.0160486,-0.0076866401863061
2020-11-18,102083.73055999997,0.0,97.43699999999998,11.692439999999998,102083.73055999997,1.0208373055999995,109.12944,0.0124957580477476,1.0208373055999995,0.0
2020-11-19,10925.792919999963,90938.0,0.0,10.937639999999998,101863.79291999996,1.0186379291999996,10.937639999999998,-0.0021544827838236,1.0208373055999995,-0.0021544827838236
2020-11-20,10925.792919999963,91345.0,0.0,0.0,102270.79291999996,1.0227079291999996,0.0,0.0039955315655646,1.0227079291999996,0.0
2020-11-23,10925.792919999963,91310.0,0.0,0.0,102235.79291999996,1.0223579291999996,0.0,-0.0003422286950233,1.0227079291999996,-0.0003422286950233
2020-11-24,10925.792919999963,90771.0,0.0,0.0,101696.79291999996,1.0169679291999996,0.0,-0.0052721261762186,1.0227079291999996,-0.0056125505983806
2020-11-25,100917.88875999996,0.0,90.093,10.81116,100917.88875999996,1.0091788875999996,100.90416,-0.0076590828248902,1.0227079291999996,-0.013228646433379
2020-11-26,6702.584279999966,94112.0,0.0,11.30448,100814.58427999997,1.0081458427999996,11.30448,-0.0010236488423343,1.0227079291999996,-0.0142387537871061
2020-11-27,6702.584279999966,93661.0,0.0,0.0,100363.58427999997,1.0036358427999996,0.0,-0.004473559090889,1.0227079291999996,-0.018648614971548
2020-11-30,6702.584279999966,94192.0,0.0,0.0,100894.58427999997,1.0089458427999998,0.0,0.0052907636152033,1.0227079291999996,-0.0134565167699101
2020-12-01,6702.584279999966,95167.0,0.0,0.0,101869.58427999997,1.0186958427999997,0.0,0.0096635513883895,1.0227079291999996,-0.0039230031228352
2020-12-02,102001.72955999996,0.0,95.406,11.44872,102001.72955999996,1.0200172955999995,106.85472,0.0012972005425757,1.0227079291999996,-0.0026308915020388
2020-12-03,102001.72955999996,0.0,0.0,0.0,102001.72955999996,1.0200172955999995,0.0,0.0,1.0227079291999996,-0.0026308915020388
2020-12-04,102001.72955999996,0.0,0.0,0.0,102001.72955999996,1.0200172955999995,0.0,0.0,1.0227079291999996,-0.0026308915020388
2020-12-07,102001.72955999996,0.0,0.0,0.0,102001.72955999996,1.0200172955999995,0.0,0.0,1.0227079291999996,-0.0026308915020388
2020-12-08,102001.72955999996,0.0,0.0,0.0,102001.72955999996,1.0200172955999995,0.0,0.0,1.0227079291999996,-0.0026308915020388
2020-12-09,102001.72955999996,0.0,0.0,0.0,102001.72955999996,1.0200172955999995,0.0,0.0,1.0227079291999996,-0.0026308915020388
2020-12-10,102001.72955999996,0.0,0.0,0.0,102001.72955999996,1.0200172955999995,0.0,0.0,1.0227079291999996,-0.0026308915020388
2020-12-11,102001.72955999996,0.0,0.0,0.0,102001.72955999996,1.0200172955999995,0.0,0.0,1.0227079291999996,-0.0026308915020388
2020-12-14,102001.72955999996,0.0,0.0,0.0,102001.72955999996,1.0200172955999995,0.0,0.0,1.0227079291999996,-0.0026308915020388
2020-12-15,102001.72955999996,0.0,0.0,0.0,102001.72955999996,1.0200172955999995,0.0,0.0,1.0227079291999996,-0.0026308915020388
2020-12-16,102001.72955999996,0.0,0.0,0.0,102001.72955999996,1.0200172955999995,0.0,0.0,1.0227079291999996,-0.0026308915020388
2020-12-17,102001.72955999996,0.0,0.0,0.0,102001.72955999996,1.0200172955999995,0.0,0.0,1.0227079291999996,-0.0026308915020388
2020-12-18,102001.72955999996,0.0,0.0,0.0,102001.72955999996,1.0200172955999995,0.0,0.0,1.0227079291999996,-0.0026308915020388
2020-12-21,102001.72955999996,0.0,0.0,0.0,102001.72955999996,1.0200172955999995,0.0,0.0,1.0227079291999996,-0.0026308915020388
2020-12-22,102001.72955999996,0.0,0.0,0.0,102001.72955999996,1.0200172955999995,0.0,0.0,1.0227079291999996,-0.0026308915020388
2020-12-23,102001.72955999996,0.0,0.0,0.0,102001.72955999996,1.0200172955999995,0.0,0.0,1.0227079291999996,-0.0026308915020388
2020-12-24,102001.72955999996,0.0,0.0,0.0,102001.72955999996,1.0200172955999995,0.0,0.0,1.0227079291999996,-0.0026308915020388
2020-12-25,102001.72955999996,0.0,0.0,0.0,102001.72955999996,1.0200172955999995,0.0,0.0,1.0227079291999996,-0.0026308915020388
