trade_date,stock_code,target_weight
2020-07-07,sh603508,0.1
2020-07-07,sh600793,0.1
2020-07-07,sz000597,0.1
2020-07-07,sh603339,0.1
2020-07-07,sh603086,0.1
2020-07-07,sh603379,0.1
2020-07-07,sz002833,0.1
2020-07-07,sz002811,0.1
2020-07-07,sh600452,0.1
2020-07-07,sh603639,0.1
2020-07-14,sh603639,0.1
2020-07-14,sh600452,0.1
2020-07-14,sz300628,0.1
2020-07-14,sh603379,0.1
2020-07-14,sh603086,0.1
2020-07-14,sz002811,0.1
2020-07-14,sh600793,0.1
2020-07-14,sh603339,0.1
2020-07-14,sh603508,0.1
2020-07-14,sz000597,0.1
2020-07-21,sh601311,0.1
2020-07-21,sh603639,0.1
2020-07-21,sh603637,0.1
2020-07-21,sz002811,0.1
2020-07-21,sz300628,0.1
2020-07-21,sh603086,0.1
2020-07-21,sh603379,0.1
2020-07-21,sh603339,0.1
2020-07-21,sh603508,0.1
2020-07-21,sh600793,0.1
2020-07-28,sh603639,0.1
2020-07-28,sh600742,0.1
2020-07-28,sh601311,0.1
2020-07-28,sh603339,0.1
2020-07-28,sh603637,0.1
2020-07-28,sz002811,0.1
2020-07-28,sh603508,0.1
2020-07-28,sh600793,0.1
2020-07-28,sh603086,0.1
2020-07-28,sh603379,0.1
2020-08-04,sh603508,0.1
2020-08-04,sh600793,0.1
2020-08-04,sh603331,0.1
2020-08-04,sh603086,0.1
2020-08-04,sh603637,0.1
2020-08-04,sh603339,0.1
2020-08-04,sh603639,0.1
2020-08-04,sh603797,0.1
2020-08-04,sh601311,0.1
2020-08-04,sh603878,0.1
2020-08-11,sz000617,0.1
2020-08-11,sh603637,0.1
2020-08-11,sz002042,0.1
2020-08-11,sh600382,0.1
2020-08-11,sz002468,0.1
2020-08-11,sh601311,0.1
2020-08-11,sh603331,0.1
2020-08-11,sh603086,0.1
2020-08-11,sh603797,0.1
2020-08-11,sh603878,0.1
2020-08-18,sh603038,0.1
2020-08-18,sh600382,0.1
2020-08-18,sz000617,0.1
2020-08-18,sh601311,0.1
2020-08-18,sz300144,0.1
2020-08-18,sh600478,0.1
2020-08-18,sh603797,0.1
2020-08-18,sh603331,0.1
2020-08-18,sz002840,0.1
2020-08-18,sh603637,0.1
2020-08-25,sz000681,0.1
2020-08-25,sh603038,0.1
2020-08-25,sz002777,0.1
2020-08-25,sz002120,0.1
2020-08-25,sh600478,0.1
2020-08-25,sz000617,0.1
2020-08-25,sh603331,0.1
2020-08-25,sh603637,0.1
2020-08-25,sh600382,0.1
2020-08-25,sh603797,0.1
2020-09-01,sh603383,0.1
2020-09-01,sh603331,0.1
2020-09-01,sh603797,0.1
2020-09-01,sz000617,0.1
2020-09-01,sz002120,0.1
2020-09-01,sz000415,0.1
