trade_date,available_cash,holding_market_value,stamp_tax,broker_commission,total_assets,nav,transaction_cost,return,nav_peak_to_date,nav_drawdown_to_date
2023-01-06,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,,1.0,0.0
2023-01-09,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2023-01-10,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2023-01-11,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2023-01-12,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2023-01-13,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2023-01-16,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2023-01-17,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2023-01-18,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2023-01-19,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2023-01-20,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2023-01-30,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2023-01-31,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2023-02-01,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2023-02-02,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2023-02-03,100000.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,1.0,0.0
2023-02-06,24968.537304800004,75370.98000000001,0.0,9.0026952,100339.5173048,1.0033951730480002,9.0026952,0.0033951730480001,1.0033951730480002,0.0
2023-02-07,24968.537304800004,75870.82,0.0,0.0,100839.3573048,1.008393573048,0.0,0.0049814869896336,1.008393573048,0.0
2023-02-08,24968.537304800004,75783.40000000001,0.0,0.0,100751.9373048,1.007519373048,0.0,-0.0008669234149891,1.008393573048,-0.0008669234149891
2023-02-09,24968.537304800004,76371.04000000001,0.0,0.0,101339.5773048,1.013395773048,0.0,0.0058325429338619,1.013395773048,0.0
2023-02-10,101356.4469176,0.0,76.47356,9.176827199999998,101356.4469176,1.013564469176,85.65038720000001,0.0001664661847684,1.013564469176,0.0
2023-02-13,33922.3557976,67461.0,0.0,8.09112,101383.3557976,1.013833557976,8.09112,0.0002654876016114,1.013833557976,0.0
2023-02-14,33922.3557976,67902.0,0.0,0.0,101824.3557976,1.018243557976,0.0,0.0043498264239782,1.018243557976,0.0
2023-02-15,33922.3557976,67549.0,0.0,0.0,101471.3557976,1.014713557976,0.0,-0.003466754071115,1.018243557976,-0.003466754071115
2023-02-16,33922.3557976,66970.0,0.0,0.0,100892.3557976,1.008923557976,0.0,-0.0057060437938258,1.018243557976,-0.0091530164143888
2023-02-17,101341.7613976,0.0,67.495,8.0994,101341.7613976,1.013417613976,75.59440000000001,0.0044543077267573,1.018243557976,-0.0047394790393692
2023-02-20,37769.1335976,63981.0,0.0,7.6278,101750.1335976,1.017501335976,7.6278,0.0040296536626966,1.018243557976,-0.0007289238357427
2023-02-21,37769.1335976,64233.0,0.0,0.0,102002.1335976,1.020021335976,0.0,0.0024766552248138,1.020021335976,0.0
2023-02-22,37769.1335976,64022.0,0.0,0.0,101791.1335976,1.017911335976,0.0,-0.0020685841811153,1.020021335976,-0.0020685841811153
2023-02-23,37769.1335976,64169.0,0.0,0.0,101938.1335976,1.019381335976,0.0,0.0014441336372295,1.020021335976,-0.0006274378558832
2023-02-24,101791.3483176,0.0,64.09400000000001,7.691279999999999,101791.3483176,1.017913483176,71.78528,-0.0014399447470702,1.020021335976,-0.0020664791271087
2023-02-27,101791.3483176,0.0,0.0,0.0,101791.3483176,1.017913483176,0.0,0.0,1.020021335976,-0.0020664791271087
2023-02-28,101791.3483176,0.0,0.0,0.0,101791.3483176,1.017913483176,0.0,0.0,1.020021335976,-0.0020664791271087
2023-03-01,101791.3483176,0.0,0.0,0.0,101791.3483176,1.017913483176,0.0,0.0,1.020021335976,-0.0020664791271087
2023-03-02,101791.3483176,0.0,0.0,0.0,101791.3483176,1.017913483176,0.0,0.0,1.020021335976,-0.0020664791271087
2023-03-03,101791.3483176,0.0,0.0,0.0,101791.3483176,1.017913483176,0.0,0.0,1.020021335976,-0.0020664791271087
2023-03-06,33947.207997599995,67755.0,0.0,8.14032,101702.2079976,1.017022079976,8.14032,-0.0008757160748266,1.020021335976,-0.0029403855529455
2023-03-07,33947.207997599995,66314.0,0.0,0.0,100261.2079976,1.002612079976,0.0,-0.0141688172594444,1.020021335976,-0.0170675410268179
2023-03-08,33947.207997599995,67073.0,0.0,0.0,101020.2079976,1.010202079976,0.0,0.0075702259643446,1.020021335976,-0.009626520204702
2023-03-09,33947.207997599995,66768.0,0.0,0.0,100715.2079976,1.007152079976,0.0,-0.003019197901545,1.020021335976,-0.0126166537366458
2023-03-10,100146.9811176,0.0,66.274,7.952879999999999,100146.9811176,1.001469811176,74.22688,-0.0056419173558529,1.020021335976,-0.0181873889748092
2023-03-13,100146.9811176,0.0,0.0,0.0,100146.9811176,1.001469811176,0.0,0.0,1.020021335976,-0.0181873889748092
2023-03-14,100146.9811176,0.0,0.0,0.0,100146.9811176,1.001469811176,0.0,0.0,1.020021335976,-0.0181873889748092
2023-03-15,100146.9811176,0.0,0.0,0.0,100146.9811176,1.001469811176,0.0,0.0,1.020021335976,-0.0181873889748092
2023-03-16,100146.9811176,0.0,0.0,0.0,100146.9811176,1.001469811176,0.0,0.0,1.020021335976,-0.0181873889748092
2023-03-17,100146.9811176,0.0,0.0,0.0,100146.9811176,1.001469811176,0.0,0.0,1.020021335976,-0.0181873889748092
2023-03-20,100146.9811176,0.0,0.0,0.0,100146.9811176,1.001469811176,0.0,0.0,1.020021335976,-0.0181873889748092
2023-03-21,100146.9811176,0.0,0.0,0.0,100146.9811176,1.001469811176,0.0,0.0,1.020021335976,-0.0181873889748092
2023-03-22,100146.9811176,0.0,0.0,0.0,100146.9811176,1.001469811176,0.0,0.0,1.020021335976,-0.0181873889748092
2023-03-23,100146.9811176,0.0,0.0,0.0,100146.9811176,1.001469811176,0.0,0.0,1.020021335976,-0.0181873889748092
2023-03-24,100146.9811176,0.0,0.0,0.0,100146.9811176,1.001469811176,0.0,0.0,1.020021335976,-0.0181873889748092
2023-03-27,32537.5289568,67976.94,0.0,8.1121608,100514.4689568,1.005144689568,8.1121608,0.0036694849420222,1.020021335976,-0.0145846423827648
2023-03-28,32537.5289568,67300.12,0.0,0.0,99837.6489568,0.998376489568,0.0,-0.0067335579347377,1.020021335976,-0.0212199937830607
2023-03-29,32537.5289568,66125.76,0.0,0.0,98663.2889568,0.986632889568,0.0,-0.0117626968610623,1.020021335976,-0.0327330862898592
