combo_id,strategy_name,strategy_description,holding_period,selection_count,factor_long_term_low_volume,factor_rolling_pe,factor_turnover_rate,factor_oversold,cumulative_nav,annual_return,max_drawdown,return_drawdown_ratio,win_rate,return_std_dev
1,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 5D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 10 | Oversold: 250,5D,5,30,,10,250,22.28,21.11%,-48.73%,0.43,53.04%,2.01%
2,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 5D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 11 | Oversold: 250,5D,5,30,,11,250,22.28,21.11%,-48.73%,0.43,53.04%,2.01%
3,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 5D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 12 | Oversold: 250,5D,5,30,,12,250,21.08,20.70%,-48.86%,0.42,52.56%,2.01%
4,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 5D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,5D,5,30,,30,250,19.59,20.15%,-48.78%,0.41,52.61%,2.00%
5,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 5D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,5D,5,30,,30,250,24.83,21.92%,-49.19%,0.45,53.09%,2.00%
6,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 5D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,5D,5,30,,30,250,21.55,20.86%,-49.62%,0.42,52.61%,2.01%
7,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 5D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 16 | Oversold: 250,5D,5,30,,16,250,23.05,21.36%,-49.33%,0.43,52.84%,1.99%
8,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 5D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,5D,5,30,,30,250,34.27,24.37%,-48.17%,0.51,53.12%,2.00%
9,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 5D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 250,5D,5,30,,30,250,25.28,22.06%,-50.04%,0.44,52.76%,1.99%
10,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 5D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 30 | Oversold: 30,5D,5,30,,30,30,26.03,22.28%,-53.79%,0.41,52.79%,1.99%
11,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 5D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 20 | Oversold: 250,5D,5,30,,20,250,40.23,25.61%,-48.37%,0.53,53.09%,2.00%
12,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 5D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 21 | Oversold: 250,5D,5,30,,21,250,29.29,23.17%,-50.61%,0.46,52.91%,1.98%
13,Oversold Rebound Timing Strategy,Oversold Rebound Timing Strategy | Hold Period: 5D | Selection Count: 5 | Long-Term Low Volume: 30 | Rolling PE: nan | Turnover Rate: 22 | Oversold: 30,5D,5,30,,22,30,27.67,22.74%,-52.40%,0.43,52.89%,1.98%
