Date,Return
2021-01-31,6.45%
2021-02-28,-5.05%
2021-03-31,53.17%
2021-04-30,6.29%
2021-05-31,8.6%
2021-06-30,-7.13%
2021-07-31,7.55%
2021-08-31,0.94%
2021-09-30,6.06%
2021-10-31,-7.03%
2021-11-30,10.41%
2021-12-31,-4.76%
2022-01-31,8.26%
2022-02-28,1.66%
2022-03-31,-1.57%
2022-04-30,-0.79%
2022-05-31,2.33%
2022-06-30,15.08%
2022-07-31,2.56%
2022-08-31,-2.18%
2022-09-30,-0.68%
2022-10-31,2.38%
2022-11-30,-2.17%
2022-12-31,8.22%
2023-01-31,-4.69%
2023-02-28,7.9%
2023-03-31,2.46%
2023-04-30,3.53%
2023-05-31,0.44%
2023-06-30,-1.16%
2023-07-31,8.66%
2023-08-31,4.75%
2023-09-30,-0.63%
2023-10-31,2.23%
2023-11-30,2.65%
2023-12-31,-0.14%
2024-01-31,-2.0%
2024-02-29,22.42%
2024-03-31,16.07%
2024-04-30,7.05%
2024-05-31,0.75%
2024-06-30,7.79%
2024-07-31,6.55%
2024-08-31,-2.11%
2024-09-30,-2.22%
2024-10-31,1.03%
2024-11-30,9.36%
2024-12-31,6.82%
2025-01-31,5.68%
2025-02-28,1.63%
2025-03-31,-1.48%
2025-04-30,-1.53%
2025-05-31,10.07%
2025-06-30,7.56%
2025-07-31,2.42%
2025-08-31,4.7%
2025-09-30,27.24%
2025-10-31,7.4%
2025-11-30,8.45%
2025-12-31,3.61%
2026-01-31,13.82%
2026-02-28,6.37%
2026-03-31,5.79%
