Metric,Value
Cumulative Net Value,16.62
Annualized Return,71.44%
Maximum Drawdown,-13.40%
Maximum Drawdown Start Time,2021-02-09 00:00:00
Maximum Drawdown End Time,2021-02-18 00:00:00
Return-to-Drawdown Ratio,5.33
Profitable Periods,1057.0
Losing Periods,846.0
Win Rate,55.51%
Average Return per Period,0.16%
Profit/Loss Ratio,1.21
Maximum Gain in a Single Period,28.13%
Maximum Loss in a Single Period,-11.58%
Maximum Consecutive Winning Periods,13.0
Maximum Consecutive Losing Periods,11.0
Return Standard Deviation,1.29%
