Metric,Value
Cumulative Net Value,1.21
Annualized Return,149.54%
Maximum Drawdown,-4.01%
Maximum Drawdown Start Time,2026-02-06 00:00:00
Maximum Drawdown End Time,2026-02-15 00:00:00
Return-to-Drawdown Ratio,37.27
Profitable Periods,47.0
Losing Periods,30.0
Win Rate,60.26%
Average Return per Period,0.25%
Profit/Loss Ratio,1.43
Maximum Gain in a Single Period,2.58%
Maximum Loss in a Single Period,-1.88%
Maximum Consecutive Winning Periods,6.0
Maximum Consecutive Losing Periods,4.0
Return Standard Deviation,0.89%
