,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10
2021-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-01-02,0.9977646907521269,0.9992911056201423,0.9989404892952044,0.9995334596856491,1.000602814965055,0.9985993454185467,0.9994720494269351,1.0011237862936895,1.000898187886184,1.0001276638479222
2021-01-03,1.0048579203208847,1.0078980467926761,1.0093423510878117,1.0075487606208438,1.0126390016326379,1.010008181960352,1.008657314402392,1.01039157315354,1.019439367532622,1.0108029176028717
2021-01-04,1.00983969616708,1.010160568159616,1.0145526264212126,1.008169741476075,1.0180397852038878,1.0140610682150932,1.0147150601309551,1.016187785769396,1.0319395193779939,1.0076087749296168
2021-01-05,1.0195555783765615,1.0213035751747872,1.0206969674308977,1.0170417197180122,1.028330215897889,1.026826807946141,1.0270696682438845,1.025528276574437,1.0440652700867776,1.015465667172874
2021-01-06,1.0350841123043069,1.0519473050871437,1.0526125544170988,1.0482429207848962,1.0543127674432515,1.0464265665865458,1.0402572961899559,1.0599740106065172,1.064459149737858,1.025215656046606
2021-01-07,1.0368166183495782,1.0741206581854499,1.0458932250267534,1.0814746486198026,1.0433410170591748,1.0341516642539932,1.0290939861214219,1.0507910711345998,1.0643945176687009,1.0234977790858804
2021-01-08,1.064376741765384,1.0779553264299433,1.055025482598059,1.0747818398168814,1.0501746464105057,1.034972545044805,1.0387919154469847,1.0570435672493144,1.0834481975034553,1.034973505238816
2021-01-09,1.1121705275286689,1.1098802106463799,1.0871861134836411,1.1116282835066382,1.0970722228753336,1.070668366791617,1.0748825511406388,1.090072706797464,1.1154891742975837,1.072363812876936
2021-01-10,1.0992588854396568,1.0949390962560153,1.0638783384323771,1.096324730996607,1.1042784919448985,1.0569125154866832,1.0674346929227734,1.0778874672546952,1.0899818200679017,1.0481067776294157
2021-01-11,1.062756672861171,1.034311996146564,0.9957012819046215,1.026949757950812,1.0480055144631018,0.9935467438424751,1.0200242303929368,1.0286368021478216,1.044167034727519,1.005807966840337
2021-01-12,1.0579167738633575,1.0388302031121983,0.9891857457946079,1.0330351907921902,1.0463345655498497,0.9889936127932598,1.016081406451214,1.0235753348524914,1.056161533408231,1.0400404315787246
2021-01-13,1.1315554678291686,1.0916807974732612,1.0519362211710825,1.0956231262119835,1.1113622301447004,1.05596402144695,1.0827922739388027,1.0901942927371726,1.113215096408263,1.1111401948214534
2021-01-14,1.1628663971890127,1.1088962112867724,1.0704276476492947,1.1111966278763652,1.124163525083353,1.0747593442955856,1.0987698666641434,1.1103368405568554,1.1237320989235973,1.1271573690085372
2021-01-15,1.1745367181000277,1.126841919737696,1.1155902550636234,1.149217293938088,1.1403819887533488,1.1052150448690965,1.1243408702305349,1.1376167964954012,1.1349762229907925,1.1239764410582205
2021-01-16,1.2268081223904614,1.1650343369508933,1.1536078060777597,1.1811054737080688,1.1772379613384623,1.142554051216055,1.1523938213725768,1.1697694246705819,1.1686888265146915,1.1565505057674503
2021-01-17,1.272030241264393,1.2299093379550774,1.233766330952208,1.2579236639530356,1.2510282768267693,1.2125983079556895,1.2152381612209215,1.2305025545544896,1.215404022707999,1.1948524772363533
2021-01-18,1.3169389838648526,1.2683178355994247,1.2643437818661925,1.290828814026067,1.2829142068099562,1.2388903024779192,1.2521938074832237,1.2613193886645442,1.2523946927363439,1.2307369765189091
2021-01-19,1.2770070990041094,1.2374728048529544,1.2185702814190644,1.2490632236665344,1.2348050155389931,1.1935425904390138,1.2066926703965946,1.2471607047310151,1.2140914813041386,1.2048970701606219
2021-01-20,1.3113565210605325,1.2676959414138746,1.2585390382340256,1.2978337254748773,1.273730402759249,1.234606554373401,1.2459606076005887,1.305339913045152,1.288530841253206,1.273548030036176
2021-01-21,1.1887560986352919,1.1426640887291535,1.116920768882944,1.1381151634551379,1.1176298021105822,1.0565427939321481,1.0832949012932145,1.1430446326661772,1.1226119251169595,1.1317723446896757
2021-01-22,1.2634682304521228,1.2288443342319444,1.2098109272417021,1.233966289410326,1.2140919120325033,1.1388227164020057,1.1543905084168926,1.2240128042050593,1.2307808157831213,1.2384283573640151
2021-01-23,1.320083205379754,1.301784481838486,1.2847421452397296,1.2949832787374225,1.3300874574890431,1.2320824870589242,1.241168149876134,1.314638279830868,1.3481675013518322,1.3176940393841403
2021-01-24,1.3436473140492093,1.3301788359107907,1.304018262830708,1.3234409411092902,1.3861564956544739,1.28877988349076,1.2767040301331278,1.3922769642641983,1.4586753244167068,1.371603954038222
2021-01-25,1.3220191493450715,1.3163634301828326,1.317513761969818,1.310556475110436,1.3784390305202676,1.2556626546363372,1.2778393561075867,1.3786563906451323,1.4254221660635105,1.3673108941419772
2021-01-26,1.3636600844257776,1.3766319987014033,1.3537713735610024,1.3437936880258519,1.431501310689038,1.3203687691014685,1.3413453338551709,1.4519170408954314,1.5161888238766144,1.4269846098304924
2021-01-27,1.2657170166155112,1.2665402877139829,1.276709907075049,1.2582436502707157,1.3476835761502006,1.2010259939947674,1.2374123738247065,1.3338145443622327,1.4457061742130208,1.360124089271945
2021-01-28,1.3474899437899472,1.3412104943874334,1.367167281822848,1.346682676343076,1.4508818025872676,1.2852496045310209,1.3200356383081748,1.4204615610202842,1.5602268009643745,1.451094780740667
2021-01-29,1.363309284077715,1.363724893444024,1.3832693198399264,1.3702867614373562,1.476661902149322,1.31160607734023,1.3303155916039997,1.4260655633763155,1.5704109322926505,1.4587349148062647
2021-01-30,1.3939950665612684,1.394931238485219,1.4269162363687495,1.4035374533548932,1.5310824018725266,1.3570218092579884,1.3732976415897653,1.4712747103257098,1.620548522141457,1.4856373032291286
2021-01-31,1.3537649432319467,1.3582609677902855,1.3949347539426233,1.3825160917034338,1.5117369513664234,1.3262397458790198,1.34927018311529,1.4384666389309944,1.5903513807635872,1.4387411567881856
2021-02-01,1.4396719147417645,1.4402469015631536,1.4753474786372802,1.482117525577688,1.6097982089309892,1.4092686232719462,1.43152902573251,1.5264774233824705,1.6984038093381228,1.548123135456815
2021-02-02,1.4846563107657476,1.4876847659857235,1.5090503350154543,1.5025350273545488,1.6508058582753946,1.4530624003793988,1.4580467271799546,1.57409035662912,1.7205063542254202,1.5713728144998083
2021-02-03,1.5286690072545788,1.5261908398478756,1.5756672400221472,1.565077052245411,1.7197604822372858,1.5238752311015167,1.5438752832321387,1.6471297953217419,1.7948181894740571,1.6300097890306977
2021-02-04,1.5134043976277245,1.5224191087417425,1.591857507787686,1.5818132000614822,1.7344585652899174,1.5511133810134325,1.6024934830590005,1.7207424444682433,1.8903594465321847,1.662327661624287
2021-02-05,1.6845779809480323,1.701504393483245,1.7887839415945241,1.7649423572215484,1.9551427027807358,1.7482953709601419,1.7549081227680665,1.9025058934614125,2.013195657458412,1.792407947638632
2021-02-06,1.6263269910794211,1.6359406826262781,1.7048072431427097,1.678538972521943,1.8551112419860767,1.6552106422383621,1.6722140034798754,1.80821225678001,1.9105797552665813,1.683245264895642
2021-02-07,1.6189152984351558,1.6553352450733836,1.7340319195379799,1.676129734509824,1.8554061072200063,1.6715355532494862,1.6849836465899035,1.7900005012319797,1.932743643092628,1.7435675580606393
2021-02-08,1.8032632799661503,1.813478144754809,1.890842802270762,1.8233276758554482,1.9896781546996778,1.8227081634167237,1.8274167401814603,1.920502578530363,2.0802147667424813,1.9611928238339182
2021-02-09,1.9697881106761248,1.9716716950285582,2.0490459777663705,1.9907777449738795,2.1383295063671124,1.9681815843188797,1.9812878483404266,2.073554178955913,2.2235512408361364,2.0848019899203383
2021-02-10,2.095650401817668,2.0728359110552814,2.14190800709226,2.1026650421761306,2.2188161634321575,2.039354339464431,2.0882901637296807,2.183579557067377,2.2606983645107706,2.1312666190537626
2021-02-11,2.3920864605417154,2.3251969245515887,2.3575360327522263,2.3402194090283914,2.4875015221435732,2.297404144661186,2.30065352108987,2.3917623479342747,2.484038555546074,2.3206116798724694
2021-02-12,2.4976212104398754,2.4677334302542357,2.5201753034648404,2.4675536201918935,2.6839214360823673,2.432749832466601,2.458713679209294,2.5725924899558983,2.6385638998263232,2.5051080337325264
2021-02-13,2.6249934556015195,2.6589714777451987,2.6733071134404605,2.5770528475337637,2.7988128454688503,2.569287135755342,2.526316758947633,2.65112759857346,2.693076203955415,2.5220292910238973
2021-02-14,2.4088539508534845,2.470883950364574,2.5183114403569236,2.4714933717342706,2.63666598516375,2.431230866907868,2.3991619338672114,2.466742667399426,2.5198372866007084,2.3931452233456985
2021-02-15,2.369530841733555,2.3773212241458843,2.4578121645773594,2.3700667173109333,2.521184057850804,2.3591941475136546,2.291508225899055,2.3725820475878625,2.406875581306098,2.2800560232548257
2021-02-16,2.445064681887512,2.413970473898345,2.469261411972207,2.41538974615606,2.5586615973051794,2.3546436847502745,2.2945629577889948,2.4026002316513972,2.418993819181953,2.268704631008378
2021-02-17,2.5780385836594166,2.527390722058476,2.569482410966212,2.5166932355115654,2.6665115073723555,2.448674447286,2.376970894939904,2.4857423336272357,2.504688488391846,2.328804828726928
2021-02-18,2.714060786643132,2.6177309053392634,2.686643400842314,2.6476970632997143,2.8034741241994237,2.556207377817385,2.499657913386898,2.6216379364078364,2.6575679625323674,2.460529587032534
2021-02-19,2.8799947910671646,2.6761682742449686,2.8057118008397364,2.749526831233545,2.898656892401535,2.605447048351829,2.5623391191137666,2.7241797576581313,2.7220325558596965,2.6611768993466365
2021-02-20,2.694417148374282,2.4691523080793414,2.6219544810918327,2.544882854909106,2.663055047676226,2.403750810518997,2.361579952434315,2.4747968183880786,2.502630155895558,2.4391179450782396
2021-02-21,2.731056954300032,2.5472998377827754,2.7097351345549616,2.6327374071124683,2.756380815608514,2.5059048283391068,2.4461568590512157,2.5723632843337274,2.651733814474152,2.5184833379207654
2021-02-22,2.5678933534434383,2.3951823197282835,2.5985473151399106,2.4770100339366925,2.54113308430395,2.2997991431663736,2.292739939294809,2.3921334377247185,2.509678410947564,2.3653717391998557
2021-02-23,2.2530024672550133,2.114530437215103,2.324306706884634,2.1314306301604216,2.1588592130121205,1.9398548179778488,2.0047981956865604,2.0689217419306707,2.1415977283513006,2.0703162431049824
2021-02-24,2.3631107158370988,2.1959335629747296,2.421263742526297,2.2306492177381814,2.2710295625915795,2.0040598932450417,2.073676828064823,2.159391758952385,2.2568681500542125,2.200357668501084
