candle_begin_time,pearson_ic,spearman_ic,n_obs,n_in_scope,n_tradable,coverage_ratio
2021-01-01,0.2774233534233039,0.3526125037752945,43.0,43.0,79,0.5443037974683544
2021-01-02,0.12600419704068994,0.10691633947447902,43.0,43.0,80,0.5375
2021-01-03,0.16096621358380223,0.14617940199335547,43.0,43.0,80,0.5375
2021-01-04,-0.04335780377282767,-0.12005436424041076,43.0,43.0,80,0.5375
2021-01-05,0.31777920207412674,0.08154636061612806,43.0,43.0,80,0.5375
2021-01-06,0.18962526590690687,0.004228329809725159,43.0,43.0,80,0.5375
2021-01-07,0.1936056225927458,-0.16611295681063123,43.0,43.0,80,0.5375
2021-01-08,0.37095935870521257,0.017668378133494412,43.0,43.0,80,0.5375
2021-01-09,0.2770254762911407,-0.05919661733615222,43.0,43.0,80,0.5375
2021-01-10,0.23342567382955476,0.029900332225913623,43.0,43.0,80,0.5375
2021-01-11,-0.005488927892875673,-0.03322259136212625,43.0,43.0,80,0.5375
2021-01-12,-0.029702548637873093,-0.16883116883116883,43.0,43.0,80,0.5375
2021-01-13,-0.009871639676935894,-0.2281787979462398,43.0,43.0,80,0.5375
2021-01-14,0.050402997424475016,-0.14331017819389913,43.0,43.0,80,0.5375
2021-01-15,-0.042154065617086414,0.08290546662639686,43.0,43.0,80,0.5375
2021-01-16,0.04816435334905655,0.10782241014799156,43.0,43.0,80,0.5375
2021-01-17,-0.27835796718879524,-0.12775596496526728,43.0,43.0,80,0.5375
2021-01-18,-0.2843597543512353,0.04152823920265781,43.0,43.0,80,0.5375
2021-01-19,-0.26348992746792316,-0.19027484143763213,43.0,43.0,80,0.5375
2021-01-20,-0.20298604357925604,-0.0946843853820598,43.0,43.0,80,0.5375
2021-01-21,-0.12821447379512477,-0.12277257626094837,43.0,43.0,80,0.5375
2021-01-22,-0.19914899592652247,-0.16505587435819996,43.0,43.0,80,0.5375
2021-01-23,-0.20018921536634163,-0.30821504077318035,43.0,43.0,80,0.5375
2021-01-24,-0.1200078428171067,-0.17019027484143762,43.0,43.0,80,0.5375
2021-01-25,-0.009744774218729806,-0.0957414678344911,43.0,43.0,80,0.5375
2021-01-26,-0.0347351506507962,-0.010872848082150407,43.0,43.0,80,0.5375
2021-01-27,-0.13183921569044596,-0.15687103594080334,44.0,44.0,81,0.5432098765432098
2021-01-28,-0.10568132260269279,0.0023960535588442564,44.0,44.0,82,0.5365853658536586
2021-01-29,-0.23604926212075686,-0.15507246376811593,45.0,45.0,82,0.5487804878048781
2021-01-30,-0.18532558988992576,-0.1549407114624506,45.0,45.0,82,0.5487804878048781
2021-01-31,-0.1454227124768324,-0.05230566534914361,45.0,45.0,82,0.5487804878048781
2021-02-01,-0.30799410096242136,-0.3931488801054018,45.0,45.0,82,0.5487804878048781
2021-02-02,-0.005834372426336117,-0.07061923583662713,45.0,45.0,83,0.5421686746987951
2021-02-03,-0.22792184293518772,-0.2505704594511255,46.0,46.0,84,0.5476190476190477
2021-02-04,-0.4281155168730459,-0.5456059204440332,46.0,46.0,84,0.5476190476190477
2021-02-05,-0.2268344535300396,-0.37354301572617943,46.0,46.0,85,0.5411764705882353
2021-02-06,-0.1490321579149563,-0.2185013876040703,46.0,46.0,85,0.5411764705882353
2021-02-07,0.0874816446722303,-0.10527289546716004,46.0,46.0,85,0.5411764705882353
2021-02-08,-0.0896529644941541,-0.3164353993216158,46.0,46.0,85,0.5411764705882353
2021-02-09,0.06914939505558136,-0.09909805735430158,47.0,47.0,86,0.5465116279069767
2021-02-10,-0.11512339412218746,-0.1399167437557817,47.0,47.0,86,0.5465116279069767
2021-02-11,-0.11551424709680512,-0.18385753931544865,47.0,47.0,86,0.5465116279069767
2021-02-12,0.00992725645966284,0.0017345050878815912,47.0,47.0,86,0.5465116279069767
2021-02-13,-0.1278169345757201,-0.1706753006475486,47.0,47.0,86,0.5465116279069767
2021-02-14,-0.07175867392607606,-0.06903330249768733,47.0,47.0,86,0.5465116279069767
2021-02-15,0.02369581017826095,-0.04671600370027753,47.0,47.0,86,0.5465116279069767
2021-02-16,0.06139711481215566,0.05180388529139686,47.0,47.0,86,0.5465116279069767
2021-02-17,0.02862031238061847,0.042437557816836266,47.0,47.0,86,0.5465116279069767
2021-02-18,0.05791509278980876,0.09967622571692877,47.0,47.0,86,0.5465116279069767
2021-02-19,0.28022130775444637,0.06625809435707677,47.0,47.0,86,0.5465116279069767
2021-02-20,0.24108043056021428,0.08290934320074006,47.0,47.0,86,0.5465116279069767
2021-02-21,0.26888788423841936,0.1167900092506938,47.0,47.0,86,0.5465116279069767
