,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10
2021-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-01-02,0.9976208075692407,0.9994016446347165,0.9997355376448829,0.9993462442293032,1.000978634537637,0.9984923562572782,0.9989849413118778,0.9999829795189678,0.9999710245090665,1.0016319358666528
2021-01-03,1.0068051396833588,1.0051756742483073,1.0089645473928168,1.0107319014322864,1.0101903440143283,1.0066905660150076,1.0107676269155301,1.0194801586031061,1.0105849231083883,1.010846698979947
2021-01-04,1.011479257667061,1.0070953351498921,1.013024079960577,1.0154286920383262,1.0130698845010648,1.0098355103324683,1.0188648938493636,1.033243011103255,1.009478222969597,1.010247585343494
2021-01-05,1.0199773607192928,1.0160917591429135,1.0232228359115039,1.025404163598625,1.0229408838305971,1.0205897239914696,1.0294858790577033,1.0477875272790855,1.0242475620891058,1.0138850311673242
2021-01-06,1.037923660815662,1.0467249536007808,1.0592888376108855,1.0509005476003717,1.0476441666081031,1.037055334548303,1.0541831822122198,1.06948738345828,1.050746142183571,1.0215553967721243
2021-01-07,1.0539305282981581,1.0794972273369043,1.0538870963192009,1.0664861160576,1.0379328571452653,1.023477198858492,1.0391384583052077,1.0568875963105073,1.043336174784867,1.0284953561074146
2021-01-08,1.0711836881914478,1.0870735015705533,1.0678580749298225,1.0659535120918426,1.039429791044869,1.0295875583024712,1.0522611633817827,1.0675293448239336,1.058982379007556,1.0316654730907717
2021-01-09,1.1152214321265974,1.1126661652418317,1.1029858113507205,1.1070884744660678,1.0795730689796674,1.0736420436892633,1.0888407934646682,1.1007676560827924,1.09458453991346,1.0655083514640218
2021-01-10,1.0974430123326724,1.0930955515503917,1.081836520675161,1.1071208393087943,1.0726715145954377,1.0683018124346477,1.0813005131657427,1.085378256378949,1.0686781460759194,1.0393914998038685
2021-01-11,1.0590239449731407,1.0290293864471012,1.0187266037360911,1.0468300132711719,1.007404814995875,1.0001832548278329,1.032350832976041,1.0396335374859915,1.0199406901916594,0.999985586794488
