,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10
2021-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-01-02,1.0009384302694915,0.999691199516897,1.0015558385066197,1.00524910606709,0.9990950998911485,1.000832777931836,0.9996353505035128,0.9990746580550686,0.9983730459591541,1.000185024883567
2021-01-03,1.0109041446718363,1.0072153485573465,1.0092449829514765,1.0111813813202268,1.0056128304094216,1.0127346557489816,1.0099816036835099,1.0072224236647358,1.0111792644175952,1.0121823130796217
2021-01-04,1.0098862061111042,1.0110992161585304,1.0103182651795044,1.0156455751768318,1.0073874784543344,1.0142916853140467,1.010972819968248,1.0111603761052728,1.0165326622294855,1.023107155658572
2021-01-05,1.0176827120416962,1.023386670720597,1.0224255483937565,1.0275429230927504,1.0157982129727603,1.0256018862053964,1.019906390802232,1.0220980813386213,1.0352117903245117,1.0316628056263766
2021-01-06,1.043768895126104,1.0620641952993768,1.0361533666250446,1.046144641957245,1.030605833190452,1.042813647345124,1.0436007010400963,1.0408846594607473,1.0589645685834086,1.0585313593297259
2021-01-07,1.0495036132437268,1.0631581327051647,1.021235041620988,1.0434371008116912,1.0340375258707437,1.038878275672033,1.0298422848708586,1.0481017141444868,1.0755224633819809,1.0601506120459718
2021-01-08,1.0435424373573614,1.060850084019338,1.0108493995473629,1.0441089432244848,1.0427157960460371,1.0545345741222092,1.0282293883510445,1.0518538022766108,1.0906185227482388,1.0819467793498483
2021-01-09,1.0769061311976373,1.0879617317102133,1.0382115313776168,1.097454772154241,1.0750918602205017,1.0946295713337224,1.0672320686196433,1.0878926841107044,1.1371615446191723,1.1101575205304752
2021-01-10,1.0562150648410038,1.0546638862944544,1.0370046379385316,1.0991584334400681,1.087046025805835,1.1036290379331282,1.060409516596793,1.0689571020460078,1.1126033902809955,1.083432133955033
2021-01-11,0.9931529584741416,0.9993560773967304,0.9799027903119718,1.0372422172353972,1.0244082639446765,1.0497498989145586,0.999450868101481,1.011230737370452,1.057525791798574,1.0186618985526477
2021-01-12,0.9816293494269684,1.0038723541399701,0.9819345334346559,1.0454637238124975,1.0402257883066426,1.060779363882072,1.007659318259746,1.0085470180334746,1.05791540448271,1.0170066898020182
2021-01-13,1.0507782191889934,1.067958882064498,1.0454554370944156,1.1063299046658663,1.0969992844057543,1.1451154845437452,1.0897216066148578,1.0746380484568918,1.125606292331022,1.074918790034532
2021-01-14,1.1007787514907836,1.0946871400387663,1.0486375724462356,1.1195114072363432,1.1057756997411232,1.1765947422822896,1.106132599359594,1.0849516666794863,1.1439068281885096,1.1063712020048337
2021-01-15,1.0737504940228493,1.0905814460619692,1.0357310110678102,1.1656415865523817,1.1360072503721397,1.2093190727817742,1.1437104249545513,1.1225106840515722,1.1877626995295603,1.1363730542108847
2021-01-16,1.1080653315044584,1.1498247398954036,1.0738282583491139,1.1914552104122083,1.191690104435778,1.2550596839460058,1.1799873547290098,1.1590636770464953,1.2205828002465102,1.1849466136057063
2021-01-17,1.1284805332098675,1.172544490099044,1.1160616080247054,1.2747533553028556,1.2378039438815327,1.3078660326648044,1.2434280693827497,1.2237860458046526,1.2857860470599904,1.273860135894392
2021-01-18,1.1425152757565102,1.198640764474322,1.139726551507666,1.310472630085015,1.2850765026596673,1.3501980324952316,1.2867306812774606,1.2672491752998063,1.3173654686108234,1.3099588614740727
2021-01-19,1.1308312652677162,1.13545553145826,1.0986921476465616,1.2271608023033953,1.2015531743355252,1.2931832422791556,1.2441950522997822,1.2215737245235856,1.2456533578291487,1.2999674044840235
2021-01-20,1.1473147173849867,1.1608170634980919,1.1299805107629892,1.273602978407408,1.2134457965149832,1.325539375969294,1.304955561059001,1.2826367390551032,1.3362064108491998,1.3487560474867901
2021-01-21,0.9875713108546426,0.9966276354243855,0.9693809015413525,1.0854241913466818,1.0305831496465168,1.132760005611247,1.1168802310230965,1.1099897658241082,1.1553915372490688,1.1886320803385304
2021-01-22,1.0677631660088023,1.0970404480059093,1.0620997594669381,1.2130909934276557,1.1251778148773601,1.2292599561013178,1.2372773901014404,1.2133066668409693,1.2574062088814397,1.2830407216657023
2021-01-23,1.0932585022181378,1.1205026019713833,1.100943449940501,1.2777403544476416,1.170519381457451,1.268055589280797,1.3126873508089014,1.3473796254533235,1.33526499342566,1.437926013587836
2021-01-24,1.1143967967241486,1.207383780739984,1.151955410523099,1.345728571963756,1.2085393635932866,1.3313209518511473,1.394265755176479,1.358051473537871,1.3643825526068052,1.5265002576741573
2021-01-25,1.073642960778553,1.143677404012407,1.1146669929631647,1.2768402449611471,1.1718805834985206,1.3000908508659321,1.3332997228675452,1.3363473197536644,1.3443581503015263,1.5771345986615282
2021-01-26,1.0766033813316929,1.2034156468050372,1.158394615876839,1.3322474839913696,1.2060614850593898,1.346774587586933,1.4425819430573161,1.3708530211354604,1.400506837520713,1.733182017799238
