candle_begin_time,pearson_ic,spearman_ic,n_obs,n_in_scope,n_tradable,coverage_ratio
2021-01-01,0.11472144731957261,0.009211718514044096,43.0,43.0,79,0.5443037974683544
2021-01-02,0.06988142495567133,-0.07278767743884024,43.0,43.0,80,0.5375
2021-01-03,0.11167772879682926,0.05844155844155843,43.0,43.0,80,0.5375
2021-01-04,0.11922984819413687,0.19737239504681367,43.0,43.0,80,0.5375
2021-01-05,0.14089001336661183,0.048474781032920564,43.0,43.0,80,0.5375
2021-01-06,0.1382315048523728,0.1887647236484446,43.0,43.0,80,0.5375
2021-01-07,-0.00104680190738252,0.11356085774690426,43.0,43.0,80,0.5375
2021-01-08,0.019353383270305294,0.12005436424041076,43.0,43.0,80,0.5375
2021-01-09,0.04454344239135094,0.2523406825732407,43.0,43.0,80,0.5375
2021-01-10,-0.004761497875948296,0.20024161884627,43.0,43.0,80,0.5375
2021-01-11,0.04888908882125071,0.17124735729386892,43.0,43.0,80,0.5375
2021-01-12,0.0643024099497745,0.2724252491694352,43.0,43.0,80,0.5375
2021-01-13,0.15995099354868128,0.2772576260948354,43.0,43.0,80,0.5375
2021-01-14,0.10472652030672612,0.12503775294472969,43.0,43.0,80,0.5375
2021-01-15,-0.0008814452818532024,-0.040169133192389,43.0,43.0,80,0.5375
2021-01-16,0.017863152945781162,-0.06523708849290244,43.0,43.0,80,0.5375
2021-01-17,0.3724598626663737,-0.04817275747508306,43.0,43.0,80,0.5375
2021-01-18,0.45010587392264645,0.14693446088794926,43.0,43.0,80,0.5375
2021-01-19,0.4326273583517699,0.0824524312896406,43.0,43.0,80,0.5375
2021-01-20,0.468601540676786,0.11325883418906676,43.0,43.0,80,0.5375
2021-01-21,0.46794312813643224,0.13802476593174268,43.0,43.0,80,0.5375
2021-01-22,0.4796050216599654,0.14617940199335547,43.0,43.0,80,0.5375
2021-01-23,0.5172357612413844,0.2339172455451525,43.0,43.0,80,0.5375
2021-01-24,0.48790350473007,0.04817275747508306,43.0,43.0,80,0.5375
2021-01-25,0.4680580801186044,0.14572636665659922,43.0,43.0,80,0.5375
2021-01-26,0.4547244171043835,0.008758683177287828,43.0,43.0,80,0.5375
2021-01-27,0.48248071115008734,0.1897110641296688,44.0,44.0,81,0.5432098765432098
2021-01-28,0.03366261778314352,-0.05327695560253699,44.0,44.0,82,0.5365853658536586
2021-01-29,-0.03732057531842202,-0.10461477656454302,45.0,45.0,82,0.5487804878048781
2021-01-30,-0.01598003685967955,-0.06864521233013464,45.0,45.0,82,0.5487804878048781
2021-01-31,-0.045636634295727535,-0.12240192371342626,45.0,45.0,82,0.5487804878048781
2021-02-01,0.20199841378637465,0.14308771706434978,45.0,45.0,82,0.5487804878048781
2021-02-02,0.013121161756683352,0.03228037815908443,45.0,45.0,83,0.5421686746987951
2021-02-03,-0.10661238439647679,-0.04471720258534606,46.0,46.0,84,0.5476190476190477
2021-02-04,0.015551036979081985,0.14061488180850604,46.0,46.0,84,0.5476190476190477
2021-02-05,-0.08475954897379394,0.08493184546209866,46.0,46.0,85,0.5411764705882353
2021-02-06,-0.17944205782072634,0.0001850367003531561,46.0,46.0,85,0.5411764705882353
2021-02-07,-0.1663091432568296,0.026460248150501325,46.0,46.0,85,0.5411764705882353
2021-02-08,-0.08610720654885529,0.11767245372396032,46.0,46.0,85,0.5411764705882353
2021-02-09,0.08118999631809594,0.03630897317298798,47.0,47.0,86,0.5465116279069767
2021-02-10,0.178832479651181,0.04058741905642923,47.0,47.0,86,0.5465116279069767
2021-02-11,0.13288811446263118,0.038159111933395,47.0,47.0,86,0.5465116279069767
2021-02-12,0.16751559342859954,0.01572617946345976,47.0,47.0,86,0.5465116279069767
2021-02-13,0.23120669179014142,0.09782608695652174,47.0,47.0,86,0.5465116279069767
2021-02-14,0.24882308601343972,0.13124421831637373,47.0,47.0,86,0.5465116279069767
2021-02-15,0.11608853740402815,0.15263644773358,47.0,47.0,86,0.5465116279069767
2021-02-16,0.03748933197878417,0.015379278445883443,47.0,47.0,86,0.5465116279069767
2021-02-17,0.0234987254044022,0.0017345050878815912,47.0,47.0,86,0.5465116279069767
2021-02-18,0.03757940183679995,0.14754856614246067,47.0,47.0,86,0.5465116279069767
2021-02-19,-0.21579640591857638,0.01399167437557817,47.0,47.0,86,0.5465116279069767
2021-02-20,-0.24003893557628128,-0.10268270120259021,47.0,47.0,86,0.5465116279069767
2021-02-21,-0.28312811550545725,-0.109736355226642,47.0,47.0,86,0.5465116279069767
2021-02-22,-0.29485226865919295,-0.20016188714153563,47.0,47.0,86,0.5465116279069767
2021-02-23,-0.2848716786641171,-0.16454671600370027,47.0,47.0,86,0.5465116279069767
2021-02-24,-0.27337547334314616,-0.091581868640148,47.0,47.0,86,0.5465116279069767
2021-02-25,-0.2749858421529409,-0.023358001850138765,47.0,47.0,86,0.5465116279069767
2021-02-26,-0.20990020358221184,-0.03353376503237743,47.0,47.0,87,0.5402298850574713
2021-02-27,-0.20985151952529565,-0.011725111349090577,48.0,48.0,89,0.5393258426966292
2021-02-28,-0.17574373996668669,0.04147215310511668,48.0,48.0,89,0.5393258426966292
2021-03-01,-0.09099547690322948,0.1402670728057873,48.0,48.0,89,0.5393258426966292
2021-03-02,-0.11162408369484847,0.21974994336220516,49.0,49.0,90,0.5444444444444444
2021-03-03,-0.1106468800542714,0.2835935950624139,50.0,50.0,91,0.5494505494505495
2021-03-04,0.04657250171563035,0.20518858961740974,50.0,50.0,92,0.5434782608695652
2021-03-05,0.020625090657300407,0.09715218793311425,50.0,50.0,92,0.5434782608695652
2021-03-06,-0.025058386810089327,0.03462517424605803,50.0,50.0,92,0.5434782608695652
2021-03-07,-0.035529045222470704,0.06574460962947772,50.0,50.0,92,0.5434782608695652
2021-03-08,0.0880733607942973,0.1306634013198066,50.0,50.0,92,0.5434782608695652
2021-03-09,0.07543067816272166,0.038367346938775505,50.0,50.0,92,0.5434782608695652
2021-03-10,0.1403202691635438,0.17224489795918366,50.0,50.0,92,0.5434782608695652
2021-03-11,0.12336051316572978,0.16334841628959276,51.0,51.0,93,0.5483870967741935
2021-03-12,0.01444891367971095,0.04751131221719457,51.0,51.0,93,0.5483870967741935
2021-03-13,-0.06403127139044783,-0.026515837104072397,51.0,51.0,93,0.5483870967741935
2021-03-14,-0.0233912876039924,0.0002714932126696832,51.0,51.0,93,0.5483870967741935
2021-03-15,-0.19957909859337072,-0.2204524886877828,51.0,51.0,93,0.5483870967741935
2021-03-16,-0.08020804860112299,0.00018099547511312214,51.0,51.0,93,0.5483870967741935
2021-03-17,-0.18557051336803912,-0.15104072398190047,51.0,51.0,93,0.5483870967741935
2021-03-18,-0.10654762203213293,-0.07493212669683257,51.0,51.0,94,0.5425531914893617
2021-03-19,0.004548506952892799,0.045248868778280535,51.0,51.0,94,0.5425531914893617
2021-03-20,-0.07461588030701273,-0.007214360420844648,52.0,52.0,95,0.5473684210526316
2021-03-21,-0.08742834663085539,-0.03871849054263962,52.0,52.0,95,0.5473684210526316
2021-03-22,-0.12052029577070887,-0.12396747137356719,52.0,52.0,95,0.5473684210526316
2021-03-23,-0.058839209834416886,-0.10920423537073652,52.0,52.0,96,0.5416666666666666
2021-03-24,0.04080008892049852,-0.03422904026337013,53.0,53.0,97,0.5463917525773195
2021-03-25,0.08061467277805201,-0.007983227185055912,53.0,53.0,98,0.5408163265306123
2021-03-26,0.021326138038633514,-0.053288608521370906,54.0,54.0,99,0.5454545454545454
2021-03-27,0.22434991281446712,0.07467693385024048,54.0,54.0,100,0.54
2021-03-28,0.22925272274985528,0.16555483599366733,54.0,54.0,100,0.54
2021-03-29,0.32247846691798715,0.1176313633025398,54.0,54.0,100,0.54
2021-03-30,0.25449830913003235,0.030521682740540464,55.0,55.0,101,0.5445544554455446
2021-03-31,0.2424625004197824,0.12879020186441945,55.0,55.0,101,0.5445544554455446
2021-04-01,-0.036952096633173795,0.004306293683022506,56.0,56.0,102,0.5490196078431373
2021-04-02,-0.07277153074559033,-0.014149008885850993,56.0,56.0,102,0.5490196078431373
2021-04-03,-0.13668997899080226,-0.13513328776486672,56.0,56.0,102,0.5490196078431373
2021-04-04,-0.13434950480889007,-0.07689678742310321,56.0,56.0,102,0.5490196078431373
2021-04-05,-0.258443412035964,-0.24524948735475052,56.0,56.0,102,0.5490196078431373
2021-04-06,-0.20887437899431002,-0.14518113465481888,56.0,56.0,103,0.5436893203883495
2021-04-07,-0.15703664518454827,-0.10720767435830958,57.0,57.0,104,0.5480769230769231
2021-04-08,-0.09792023830459791,-0.044432921203027144,57.0,57.0,105,0.5428571428571428
2021-04-09,-0.08714797670632515,-0.06161749788633308,58.0,58.0,106,0.5471698113207547
2021-04-10,-0.030344680624607625,-0.027224905456517613,58.0,58.0,106,0.5471698113207547
2021-04-11,0.021572553744059225,0.04826652730087699,58.0,58.0,106,0.5471698113207547
2021-04-12,-0.08373810059740913,-0.05884614793750165,58.0,58.0,106,0.5471698113207547
2021-04-13,-0.09319908282014022,-0.036452004864578905,58.0,58.0,106,0.5471698113207547
2021-04-14,-0.05160860325345102,0.06678150665969423,58.0,58.0,107,0.5420560747663551
2021-04-15,-0.09266342990346566,-0.002737703405210865,58.0,58.0,107,0.5420560747663551
2021-04-16,-0.09271323331609962,-0.01338090990187333,58.0,58.0,107,0.5420560747663551
2021-04-17,-0.06916166864656081,0.03985973115137347,59.0,59.0,108,0.5462962962962963
2021-04-18,0.021967297446382254,0.05096434833430743,59.0,59.0,108,0.5462962962962963
2021-04-19,-0.007734918450146624,0.0353594389246055,59.0,59.0,108,0.5462962962962963
2021-04-20,-0.04829131462032626,0.017592051431911167,59.0,59.0,109,0.5412844036697247
2021-04-21,-0.09579230059027484,-0.0956750438340152,59.0,59.0,109,0.5412844036697247
2021-04-22,-0.14465338354382865,-0.142489772063121,59.0,59.0,109,0.5412844036697247
2021-04-23,-0.11000888657203577,-0.15067212156633553,59.0,59.0,109,0.5412844036697247
2021-04-24,-0.10612427465491792,-0.15862068965517245,59.0,59.0,109,0.5412844036697247
2021-04-25,-0.1275192691927378,-0.21145528930450033,59.0,59.0,109,0.5412844036697247
