,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10
2021-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-01-02,0.9992456967730599,0.9997810792468063,1.0002539589152046,0.9993996693835323,1.0013589088445713,0.9993114675348497,0.9989517443075122,0.9996092616921799,1.0010067945689611,0.9981043613937147
2021-01-03,1.004563953346635,1.0149733362137043,1.013617362237132,1.0147304837754083,1.009062963778772,1.01028238288934,1.0087146248140575,1.00677097138222,1.0079183174899455,1.0094540994501655
2021-01-04,1.0050606728007694,1.0240223961942956,1.0261267905105194,1.0195115140505002,1.018195116502234,1.0141230582839003,1.01218770076401,1.005752611490223,1.0111215212373323,1.0070908495472048
2021-01-05,1.0190093110925598,1.029318679019034,1.0281208632654035,1.0323550166952475,1.0255694378832532,1.02128364663473,1.0287953426433714,1.0160031220400516,1.015897385123445,1.0230790898409146
2021-01-06,1.0344552172359534,1.0604447959338694,1.069232558896583,1.0521732409451074,1.054309156982395,1.047312872618514,1.0410455849943347,1.0420017315638617,1.0347636983439714,1.0381749720387197
2021-01-07,1.0197301364255624,1.049315479836778,1.0614675177922999,1.0430086980461657,1.0423370124282176,1.0344124733552513,1.0372941355826057,1.1022314462449994,1.0474612338882199,1.0469878899460587
2021-01-08,1.0294478520454335,1.0540625506439962,1.067412529213975,1.048670166971471,1.05914556125781,1.058810571599491,1.055063019634623,1.0950188489077546,1.0562289664089604,1.0459375950786993
2021-01-09,1.0702221228928344,1.0988023344227724,1.1055692485872861,1.0926510073593994,1.0954351778699598,1.0939974794370466,1.1026559963503288,1.1210532337714556,1.0890212252579994,1.0689324650546048
2021-01-10,1.0379183236763414,1.0833286023780582,1.0950888874992906,1.0867998528790959,1.084934162435543,1.1004515635822814,1.076382538375018,1.0912213661773638,1.0896785373632378,1.0509220485037827
2021-01-11,0.9763968080259338,1.019230369320935,1.0420890635902949,1.0315229310268375,1.0414207195728444,1.0584619822478523,1.0231516157271976,1.028747183207296,1.0468595367880325,0.9926437583793095
2021-01-12,0.9703878589297249,1.010620453746412,1.0324129824754045,1.0352420051537077,1.033062559788816,1.072583873547667,1.0418100938100716,1.0487421272735908,1.0633960326527698,0.9885263285618112
2021-01-13,1.0483962201483727,1.0676959934048609,1.0807189513556512,1.0857004844567317,1.0900621315391723,1.1363152398887544,1.1135614692886806,1.1315143597485395,1.1323528428345466,1.057412575226238
2021-01-14,1.0721419521124675,1.0816491371540755,1.0926165545901887,1.0929791890847549,1.1076917287306653,1.147880671451903,1.1256140702076665,1.146158209097439,1.1460726364152767,1.1017783299288222
2021-01-15,1.1024325523619278,1.096876224288609,1.124591829481719,1.1274837998563398,1.1266015663465059,1.1596192343123244,1.15279117640825,1.1779757630988976,1.1548020990799261,1.110743407353636
2021-01-16,1.1381228574251756,1.1115540099672443,1.1452414507870576,1.157990563945034,1.1564578011925581,1.2077064549298793,1.1928419543795443,1.2323709151059836,1.1917443199672515,1.156187301806181
2021-01-17,1.2193405597527394,1.1588852048878295,1.1871735557294063,1.2022123072635162,1.1978511733896047,1.2671141567139101,1.2626188961256202,1.3167601717881001,1.2677236972436425,1.2303162910287877
2021-01-18,1.2462294495893216,1.2025470424495919,1.2207036495428865,1.2347161668094373,1.228857363687753,1.306447302995337,1.2836024909295143,1.3530475692572421,1.3061199071795595,1.2745138989595597
2021-01-19,1.3326651400646954,1.1551141398125995,1.1584120998111105,1.1735534179058755,1.165278504911397,1.2613614869236438,1.2533543745560378,1.3304953276204314,1.269268951445324,1.1977919933274639
2021-01-20,1.3904940780453985,1.189401876478981,1.1890033736354797,1.207371869830331,1.2138795460818899,1.3332117067662852,1.3022514759302595,1.3725981822966844,1.314351458721672,1.2635379999472487
2021-01-21,1.2038778950914906,1.0440627075793338,1.0640950576619679,1.0759897215581071,1.0714713563925555,1.1702500478431896,1.1221512105528149,1.1927265598320826,1.158567545487876,1.1409908842664958
2021-01-22,1.2926546120456983,1.1261968612359643,1.1328584749353672,1.1451957059704345,1.1514382635526985,1.2621457087693886,1.2303303550571552,1.3193139183072062,1.2812674093412633,1.2092562685148518
2021-01-23,1.336484917328735,1.1962058268572897,1.2453732398093116,1.2515812296146251,1.2396745185501987,1.3669650960116777,1.310995436672017,1.4436582016664594,1.3725077159561676,1.238361506380209
2021-01-24,1.3517390272150962,1.2300512878889496,1.2779531829090716,1.3001325451756907,1.2742081772754736,1.4360680131687724,1.369786017951656,1.4918907249785185,1.4248579788929503,1.3155050968464852
2021-01-25,1.3583664080776061,1.210930462122626,1.2747233757879672,1.285434196750216,1.235327601414796,1.4256980963234696,1.3334464374330628,1.4737242790067466,1.4392787393064423,1.3210583128645716
