,mean_bar_return,hit_rate
Q01,-0.00019251774941049935,0.5309873949579832
Q02,-6.0531666961076225e-05,0.5273109243697479
Q03,-0.00016651485359177816,0.5278361344537815
Q04,-0.0002400947115451689,0.5262605042016807
Q05,-0.00022756660911992711,0.523109243697479
Q06,-0.00011909445508203126,0.5236344537815126
Q07,-0.00020183034305725219,0.5288865546218487
Q08,-9.606585568047814e-05,0.5273109243697479
Q09,-0.00020525818553589583,0.5252100840336135
Q10,-0.00041618793267442125,0.5273109243697479
