candle_begin_time,pearson_ic,spearman_ic,n_obs,n_in_scope,n_tradable,coverage_ratio
2021-01-01,,,43.0,43.0,79,0.5443037974683544
2021-01-02,,,43.0,43.0,80,0.5375
2021-01-03,,,43.0,43.0,80,0.5375
2021-01-04,,,43.0,43.0,80,0.5375
2021-01-05,,,43.0,43.0,80,0.5375
2021-01-06,,,43.0,43.0,80,0.5375
2021-01-07,,,43.0,43.0,80,0.5375
2021-01-08,,,43.0,43.0,80,0.5375
2021-01-09,,,43.0,43.0,80,0.5375
2021-01-10,,,43.0,43.0,80,0.5375
2021-01-11,,,43.0,43.0,80,0.5375
2021-01-12,,,43.0,43.0,80,0.5375
2021-01-13,,,43.0,43.0,80,0.5375
2021-01-14,,,43.0,43.0,80,0.5375
2021-01-15,,,43.0,43.0,80,0.5375
2021-01-16,,,43.0,43.0,80,0.5375
2021-01-17,,,43.0,43.0,80,0.5375
2021-01-18,,,43.0,43.0,80,0.5375
2021-01-19,,,43.0,43.0,80,0.5375
2021-01-20,,,43.0,43.0,80,0.5375
2021-01-21,,,43.0,43.0,80,0.5375
2021-01-22,,,43.0,43.0,80,0.5375
2021-01-23,,,43.0,43.0,80,0.5375
2021-01-24,,,43.0,43.0,80,0.5375
2021-01-25,,,43.0,43.0,80,0.5375
2021-01-26,,,43.0,43.0,80,0.5375
2021-01-27,,,44.0,44.0,81,0.5432098765432098
2021-01-28,,,44.0,44.0,82,0.5365853658536586
2021-01-29,,,45.0,45.0,82,0.5487804878048781
2021-01-30,,,45.0,45.0,82,0.5487804878048781
2021-01-31,,,45.0,45.0,82,0.5487804878048781
2021-02-01,,,45.0,45.0,82,0.5487804878048781
2021-02-02,,,45.0,45.0,83,0.5421686746987951
2021-02-03,,,46.0,46.0,84,0.5476190476190477
2021-02-04,,,46.0,46.0,84,0.5476190476190477
2021-02-05,,,46.0,46.0,85,0.5411764705882353
2021-02-06,,,46.0,46.0,85,0.5411764705882353
2021-02-07,,,46.0,46.0,85,0.5411764705882353
2021-02-08,,,46.0,46.0,85,0.5411764705882353
2021-02-09,,,47.0,47.0,86,0.5465116279069767
2021-02-10,,,47.0,47.0,86,0.5465116279069767
2021-02-11,,,47.0,47.0,86,0.5465116279069767
2021-02-12,,,47.0,47.0,86,0.5465116279069767
2021-02-13,,,47.0,47.0,86,0.5465116279069767
2021-02-14,,,47.0,47.0,86,0.5465116279069767
2021-02-15,,,47.0,47.0,86,0.5465116279069767
2021-02-16,,,47.0,47.0,86,0.5465116279069767
2021-02-17,,,47.0,47.0,86,0.5465116279069767
