,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10
2021-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-01-02,1.002104507132991,0.9982886682024027,0.9987527033969766,0.9983218548031165,1.0004774818534536,0.9992324470779727,1.0008656495042851,0.9998450010106905,0.9988454220684614,0.999685020243505
2021-01-03,1.0108145118218619,1.007643288240279,1.0095647726128791,1.007296112469078,1.0102972036095497,1.0092818421608614,1.0124493045030734,1.009656192855196,1.0174397243968416,1.0071484685739265
2021-01-04,1.0157360898907197,1.015004729126773,1.009012683258472,1.0108056863107655,1.0138815985882361,1.010818797243902,1.0160699470514087,1.011411190818115,1.027759665574556,1.012491724241137
2021-01-05,1.0251178043922244,1.0256650062678003,1.017996549192834,1.0232591314520252,1.021745134509893,1.0182595798224074,1.0286655379577014,1.0245928418199406,1.0360699277596506,1.0210285437014464
2021-01-06,1.0622921880127993,1.0406756750262955,1.0303009265019696,1.0376962170580637,1.0471013196867005,1.0375761409825555,1.059470048865032,1.0514617336512055,1.060365366674382,1.0446060663167323
2021-01-07,1.0770488465179306,1.0615424215473084,1.0533068567551358,1.0246741979712874,1.0350523958433204,1.027122911606384,1.0464233940372505,1.044242896311264,1.0678822804497525,1.0494467178268292
2021-01-08,1.0921546921341416,1.0741064110785272,1.0561706120049419,1.038163312898087,1.0503038464726278,1.0314990912496902,1.0509354971972213,1.0583049194986383,1.061969942808645,1.058502928140304
2021-01-09,1.1309497142154885,1.0973467771881429,1.09128430004867,1.0885982366353448,1.086793039086069,1.0709299544964046,1.0873853552392363,1.0905432276080702,1.0949610586185055,1.0986651332172321
2021-01-10,1.0910653422089331,1.0692592860988237,1.0681700059976695,1.0629981519557525,1.066599863296304,1.0613212777688499,1.0883625305093856,1.0963106668984277,1.107539856811559,1.0811854178358342
2021-01-11,1.0361578279035109,1.0134120875305215,1.0019930547791274,1.0049324606882635,1.0132899066449694,0.9995777149433552,1.0372058353423783,1.0571916632056344,1.0614654522405989,1.0298254357289476
2021-01-12,1.052759373329225,1.0253506621779958,1.0053161201335163,0.9997528284436904,1.0037309024482626,0.9988468745588771,1.0367964390497817,1.0624968336397451,1.0704005434224095,1.0391554341805251
2021-01-13,1.1210968459055664,1.0828535662562213,1.0700939754387542,1.0682322778103244,1.074146857679298,1.068312336114362,1.0911377680940073,1.1149019934442113,1.1327530152422165,1.1158885436124488
2021-01-14,1.1383648603417023,1.100125894734692,1.0841998596125748,1.0880004324666752,1.0941216400364668,1.0814147034027541,1.1009493231618808,1.1297620287558012,1.1455964533260872,1.1498624753448927
2021-01-15,1.1550513118148569,1.1157707839508537,1.0948761887824272,1.1107109713219165,1.1307910070444465,1.1071475409116986,1.1362624098210883,1.1531760639535902,1.1684997390477534,1.160112534412281
2021-01-16,1.1784145094243945,1.1674498211420299,1.1439820501935123,1.1463740623091176,1.1675045221722984,1.142371768813376,1.1612004953053863,1.183380780420521,1.1996278480206666,1.1996176443682616
2021-01-17,1.2277763736707277,1.222008199051379,1.2150851991824703,1.2047621067640426,1.2324933646478637,1.19962408881491,1.2206648414702226,1.2652876315896293,1.265105274801292,1.2579105496359368
2021-01-18,1.2589864483307431,1.2641544229244908,1.2417315666879438,1.2361301870611976,1.2749325176362372,1.2342302396950913,1.25701000027629,1.2930664390254325,1.3026672159630093,1.293824351766142
2021-01-19,1.2466177782810834,1.2953168726925737,1.2236037387944543,1.178991676329801,1.2103178584029648,1.1815298215132948,1.202691322911429,1.2246169455621976,1.2700287975840516,1.2566353525899248
2021-01-20,1.2906383152271788,1.329761401517782,1.2846841573975023,1.2174871525689073,1.2954144565008934,1.2335349710947008,1.2460431377631644,1.274070866484183,1.3077191156367758,1.2934696499294
2021-01-21,1.13312994341933,1.1749736981088823,1.119284265061233,1.080916524111442,1.1364254150750088,1.088507542905089,1.1009830487829222,1.1263716871687977,1.1551749741751782,1.1331850226062694
2021-01-22,1.2157835929711738,1.2769965804399612,1.225296005844771,1.1576809746588421,1.229539500865343,1.1922955519582066,1.1854643904586746,1.2075858718252022,1.2413515161543216,1.2190870920476997
2021-01-23,1.361088071170221,1.3610604026796522,1.302407238302267,1.219913988697331,1.3059726175389297,1.27873451696123,1.2652236938583377,1.2817253171218987,1.3068012604009043,1.3169987311603952
2021-01-24,1.4597882629761696,1.3999040095522952,1.3329479817225889,1.247111446249141,1.3544621615234276,1.3261928358101125,1.2981298049548613,1.3116180208817063,1.3524799356478767,1.4021830481333424
2021-01-25,1.4578835225286852,1.3988620246458945,1.328034538991702,1.2397980277348932,1.3301404957294054,1.3061471165755116,1.2880368673961289,1.2885809778210984,1.3528986404785561,1.3777833615449522
2021-01-26,1.6464099550836024,1.4341814218053388,1.3642618575670433,1.276981316343295,1.36906387395215,1.341387111984806,1.3169371183667473,1.3205962794332253,1.396109892635262,1.4876342376004543
2021-01-27,1.5689645682722664,1.322927518597347,1.2599531181720631,1.1838380920071732,1.263255356238483,1.2463209130832138,1.2304803210139474,1.2384019727953508,1.3206564125956957,1.3903684250758217
2021-01-28,1.6177749892179047,1.4009918078674979,1.3387226752534018,1.2626616366198467,1.360949895702457,1.347273818870876,1.3309264528708327,1.3429001100280418,1.4334957087128393,1.4720894418202426
2021-01-29,1.6305106153741131,1.4150331528217206,1.367011668999532,1.2755386659175738,1.3746902614066219,1.3566420483241461,1.3456769011814944,1.370578617015836,1.4449915858681524,1.4938513514195426
2021-01-30,1.6629481931912908,1.46702348333689,1.401223030001033,1.3121622624116511,1.4222716184828128,1.4019142943736898,1.3885138930384826,1.4113182654690104,1.4788697715311834,1.5271992139080086
2021-01-31,1.6285456514054772,1.4344027853132397,1.3729369470568462,1.2877354180041345,1.3793611607687986,1.3821837717588292,1.3714974087941711,1.374047508392711,1.4370382201015883,1.4868443373753388
2021-02-01,1.7346513145255837,1.5396203630005838,1.4342265094426638,1.375285378386999,1.4791181029007192,1.498447069344347,1.4715838897386413,1.4782524600283113,1.512655100921708,1.5500028117450222
2021-02-02,1.7679164624256343,1.5983202743131295,1.4580033180136063,1.4071684353646663,1.4979615222652887,1.525202757755521,1.5048583388391308,1.5060393951408584,1.5643938966549433,1.5986001198848303
