candle_begin_time,pearson_ic,spearman_ic,n_obs,n_in_scope,n_tradable,coverage_ratio
2021-01-01,0.09821073531086419,0.2837511325883419,43.0,43.0,79,0.5443037974683544
2021-01-02,0.2454689752884691,0.3514044095439444,43.0,43.0,80,0.5375
2021-01-03,0.3176949523260393,0.27846572032618544,43.0,43.0,80,0.5375
2021-01-04,0.3739043236031866,0.4032014497130776,43.0,43.0,80,0.5375
2021-01-05,0.14566999256102525,0.2543038356991845,43.0,43.0,80,0.5375
2021-01-06,0.24933313616830566,0.4788583509513742,43.0,43.0,80,0.5375
2021-01-07,0.14878464314352546,0.37450921171851403,43.0,43.0,80,0.5375
2021-01-08,0.25232738623545303,0.22848082150407728,43.0,43.0,80,0.5375
2021-01-09,0.10654427697223913,0.19571126547870732,43.0,43.0,80,0.5375
2021-01-10,0.22430384954586857,0.22349743279975837,43.0,43.0,80,0.5375
2021-01-11,0.13273298410788967,0.17502265176683782,43.0,43.0,80,0.5375
2021-01-12,0.0794055452748104,0.28390214436726063,43.0,43.0,80,0.5375
2021-01-13,0.053667731415165065,0.01389308366052552,43.0,43.0,80,0.5375
2021-01-14,0.13777474056712044,0.044850498338870434,43.0,43.0,80,0.5375
2021-01-15,0.1950791042055954,0.15614617940199335,43.0,43.0,80,0.5375
2021-01-16,0.15438911170032096,0.19767441860465115,43.0,43.0,80,0.5375
2021-01-17,0.4145079230300393,0.21232256115977047,43.0,43.0,80,0.5375
2021-01-18,0.3982443073653451,0.2722742373905165,43.0,43.0,80,0.5375
2021-01-19,0.4346454657985882,0.5336756266988826,43.0,43.0,80,0.5375
2021-01-20,0.5237358983802847,0.3049798016293714,43.0,43.0,80,0.5375
2021-01-21,0.265370611303098,0.13440048323769255,43.0,43.0,80,0.5375
2021-01-22,0.5335374733668685,0.27182120205376015,43.0,43.0,80,0.5375
2021-01-23,0.42659820724131714,0.0759589247961341,43.0,43.0,80,0.5375
2021-01-24,0.4135043691983268,0.2499339300305074,43.0,43.0,80,0.5375
2021-01-25,0.3706113156991968,0.13228631833282997,43.0,43.0,80,0.5375
2021-01-26,0.3912074682451147,0.12141347025067956,43.0,43.0,80,0.5375
2021-01-27,0.2417926361802706,-0.021705426356589147,44.0,44.0,81,0.5432098765432098
2021-01-28,0.24161064321237874,0.08682170542635659,44.0,44.0,82,0.5365853658536586
2021-01-29,0.4182620466879884,0.27299077733860344,45.0,45.0,82,0.5487804878048781
