,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10
2021-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-01-02,1.0032762713564973,0.9998076880097055,0.9988304302144763,0.9994988655596232,0.9981900107559248,0.9996367282219962,0.9989724190951529,0.9995046090721025,0.9988088616327162,0.9999945450797543
2021-01-03,1.0117967452302488,1.0096635004827113,1.0093151246603456,1.009606302371499,1.0149851795204563,1.0122298963946619,1.0076091693183609,1.0105344626992765,1.0059507760547601,1.009850852223213
2021-01-04,1.0147373476811197,1.0063971900663544,1.0137131235891608,1.0167804130508236,1.0223339244673204,1.0197950091959578,1.009088579479802,1.0141372623526081,1.0064268088713568,1.0183642294023556
2021-01-05,1.024307411445356,1.0190168062111076,1.0224403866502685,1.0243787304184102,1.0343999060447833,1.0276771373201055,1.0183488880585359,1.025349122081709,1.0194631022714167,1.0276367069404848
2021-01-06,1.0457033791159036,1.0428443864366022,1.045608145043656,1.0457146378151454,1.052889902307602,1.045633762663612,1.0391918671703053,1.0423769154646672,1.0391469808916853,1.069207919910922
2021-01-07,1.0404883753528278,1.0435048818283006,1.039627508931199,1.0406018324279667,1.0388448707439955,1.0388581913541315,1.0313363859251448,1.0414154375867806,1.0565317056279135,1.1028008062241288
2021-01-08,1.034778605865236,1.0400898063821515,1.0355833465470268,1.0439676672170313,1.041851809611013,1.0563920781964375,1.0505516181843362,1.0640170243743032,1.0690249726034924,1.1205823181670194
2021-01-09,1.0611371715234397,1.0850825455469333,1.0746489086583004,1.0872862572811526,1.0781458916882334,1.0995597131674755,1.0843686381416648,1.1118272059388141,1.0935211965019025,1.151333329294811
2021-01-10,1.0472638019335718,1.083013994451899,1.0730311491161166,1.0798909345973549,1.0854916886253765,1.100247372424509,1.0554843376095535,1.0838490994759753,1.069604297878763,1.1116370065619736
2021-01-11,1.0055291566771278,1.0272809584367042,1.0230993756291396,1.0318248346262695,1.0313929698458055,1.0525876835244439,0.9958676480880837,1.0237930571385898,1.0055407811317192,1.0548848445356538
2021-01-12,1.0056313714902962,1.0243036515101327,1.0271719390816556,1.0245939050938706,1.0355183762789428,1.0511708625079044,0.9913232460312892,1.0162985220882375,1.0303510744012867,1.0819336246890878
2021-01-13,1.0620860929911196,1.0886438750314171,1.0898636615706498,1.0875468735442226,1.103029337219249,1.1145806025828835,1.0668046574149213,1.099438860097251,1.085552023304637,1.1367021995407138
2021-01-14,1.0699608629892166,1.104243709969996,1.1092898052969724,1.0996831154932485,1.1174189429777985,1.134280937339154,1.0901549206891323,1.1165979335215934,1.1047010279285865,1.1618428592166197
2021-01-15,1.0796433137272463,1.1244471070758029,1.1339246282849624,1.1311806523257264,1.1322873880471347,1.1420683164690557,1.1086342491808476,1.1541722260704506,1.1338046721491493,1.1872827326005364
2021-01-16,1.1060441567006738,1.1611415827650202,1.1649455270282618,1.1620559591226836,1.1755768647467206,1.182080489508943,1.1549958663480906,1.1975719706091104,1.1750808496645586,1.2067873424605362
2021-01-17,1.145550487510429,1.22167029671951,1.21505794615229,1.2193174835900482,1.2281475917974287,1.245239592228867,1.2214000391476791,1.2780806676467733,1.2620659141814292,1.269584128026857
2021-01-18,1.1880740618731274,1.2634610106765445,1.2465523418238944,1.2688808512749463,1.2692059531254687,1.2759070290350192,1.2515027241023295,1.3090860129988802,1.2875637822888386,1.2907401307385262
2021-01-19,1.168067645131891,1.215415519987921,1.1996045274946452,1.2067254101365135,1.2212039814512732,1.2267224234451797,1.2286123673600986,1.2850423995370035,1.2853800550191878,1.2434329783747025
2021-01-20,1.2245609314311303,1.2494574374947875,1.2391638156122218,1.2560747242337016,1.268830925168298,1.2777077499744098,1.2726203719787343,1.3428331574032686,1.3380033059154985,1.2901860627997181
2021-01-21,1.0811001392139827,1.0981696368400664,1.084679596783439,1.1213239184204646,1.1251632191632122,1.1138789390711907,1.1125979922451785,1.1770129453907467,1.1645004548502194,1.1540292070176437
2021-01-22,1.1666291281637333,1.177204852754546,1.1627361452220928,1.1981954814614209,1.223564777531477,1.2147315700436256,1.2184985852789476,1.2949973786469626,1.2585475288739532,1.219765425460642
2021-01-23,1.2038932803698381,1.2213132407492817,1.2206692211288965,1.260820898226867,1.2872138885880184,1.3021146400001375,1.3273574816412128,1.3826721696471869,1.3602357313175297,1.3955090637076928
2021-01-24,1.2658129851681448,1.2770445875435876,1.2774330277734172,1.2989762466553867,1.3225036987964534,1.3275730058961073,1.3488701532410678,1.4197312437173613,1.3916523839666173,1.5068830427405524
2021-01-25,1.2259076256637378,1.228047158316117,1.2430541630124718,1.2722471434142488,1.3148489611313965,1.338703663750316,1.3374938279404507,1.4319410322893833,1.4246299233975104,1.510809896129527
2021-01-26,1.2638441635026048,1.2763441413142853,1.2817589306684052,1.313514291632439,1.3468136722044848,1.3684980516552343,1.3809428947883338,1.4668455933354332,1.447543726325764,1.7410444016382782
2021-01-27,1.1568789610012322,1.1709054649928103,1.1952595388433291,1.2110601539415347,1.253522554552933,1.26348904325074,1.289550186420399,1.3852672244770352,1.34936181282944,1.6908836219061805
2021-01-28,1.2595137195097095,1.2734546622953236,1.2833404047289676,1.301249909252745,1.3414178891761215,1.3505689789522608,1.3882820219845786,1.4786800881373918,1.4445505548828406,1.7230425252320023
2021-01-29,1.2691336979733165,1.3029220962759085,1.2978825480576153,1.3059520289644682,1.3614430683555874,1.3619976935106737,1.4255277304558425,1.5061620241447182,1.4536315554009163,1.7251722772634415
