,carry_return,funding_return,post_trade_return,fee_return,gross_return,net_return,nav,starting_equity,gross_exposure,net_exposure,long_exposure,short_exposure,long_count,short_count,turnover
2021-01-01,0.0,0.0,0.0,-0.0,0.0,0.0,1.0,270.0,0.0,0.0,0.0,0.0,0,0,0.0
2021-01-02,0.0,0.0,-8.002613114597166e-05,-1.9047619047619046e-05,-8.002613114597166e-05,-9.90737501935907e-05,0.9999009262498064,270.0,0.047619047619047616,0.0,0.023809523809523808,0.023809523809523808,3,3,0.047619047619047616
2021-01-03,0.0015275623085973407,1.3101349206349207e-05,0.00047868271767217925,-1.9047619047619046e-05,0.002019346375475869,0.00200029875642825,1.0019010268291353,269.97325008744775,0.09523809523809523,0.0,0.047619047619047616,0.047619047619047616,3,5,0.047619047619047616
2021-01-04,0.0021848990937765643,7.932571428571428e-05,-0.0007391358230881522,-1.9047619047619046e-05,0.0015250889849741263,0.0015060413659265073,1.0034099312201041,270.5132772438665,0.14285714285714285,0.0,0.07142857142857142,0.07142857142857142,3,6,0.047619047619047616
2021-01-05,0.0006822802495928099,0.00017657325396825397,0.0013262191677281424,-1.9047619047619046e-05,0.0021850726712892062,0.002166025052241587,1.0055833422687948,270.9206814294281,0.19047619047619047,0.0,0.09523809523809523,0.09523809523809523,5,7,0.047619047619047616
2021-01-06,-0.0072952973116406,0.00020212444444444441,-0.0013344000261271717,-1.9047619047619046e-05,-0.008427572893323326,-0.008446620512370944,0.9970895613830886,271.5075024125746,0.23809523809523808,0.0,0.11904761904761904,0.11904761904761904,7,8,0.047619047619047616
2021-01-07,-0.005850572168339049,0.0001799382539682539,0.004125081965319929,-1.9047619047619046e-05,-0.0015455519490508666,-0.0015645995680984856,0.9955295154859931,269.2141815734339,0.2857142857142857,0.0,0.14285714285714285,0.14285714285714285,9,8,0.047619047619047616
2021-01-08,-0.002574920968251518,5.4845714285714277e-05,-0.0033237624444653543,-1.9047619047619046e-05,-0.005843837698431158,-0.005862885317478777,0.9896928401065335,268.79296918121815,0.33333333333333326,0.0,0.16666666666666666,0.16666666666666666,9,9,0.047619047619047616
2021-01-09,0.010471090281369519,2.2927857142857145e-05,0.002851403124390755,-1.9047619047619046e-05,0.013345421262903131,0.013326373643855513,1.0028818566864417,267.217066828764,0.365079365079365,0.0,0.18253968253968253,0.18253968253968253,9,10,0.047619047619047616
2021-01-10,-0.00821800335994748,4.8945714285714296e-05,-0.007247343374090543,-1.9047619047619046e-05,-0.015416401019752309,-0.015435448638799927,0.9874019252967737,270.77810130533925,0.4126984126984127,0.0,0.20634920634920634,0.20634920634920634,10,11,0.047619047619047616
2021-01-11,-0.019654842237096265,1.1121111111111093e-05,0.0009778681232028063,-1.9047619047619046e-05,-0.018665853002782347,-0.018684900621829967,0.9689524184488,266.5985198301289,0.46031746031746035,0.0,0.23015873015873015,0.23015873015873015,10,12,0.047619047619047616
2021-01-12,-0.002935086159273975,3.7046666666666665e-05,0.0005836128105013993,-1.9047619047619046e-05,-0.002314426682105909,-0.002333474301153528,0.9666913928813092,261.617152981176,0.4920634920634921,0.0,0.24603174603174602,0.24603174603174602,10,12,0.047619047619047616
2021-01-13,0.02072998451664714,4.6015000000000006e-05,-0.0050546481760306815,-1.9047619047619046e-05,0.01572135134061646,0.01570230372156884,0.981870674737358,261.0066760779535,0.5079365079365079,0.0,0.25396825396825395,0.25396825396825395,10,13,0.047619047619047616
2021-01-14,0.009531692659531774,0.0001481529365079365,-0.004279222055848865,-1.9047619047619046e-05,0.005400623540190845,0.005381575921143226,0.9871546863182012,265.10508217908665,0.5396825396825397,0.0,0.26984126984126977,0.26984126984126977,11,14,0.047619047619047616
2021-01-15,-0.0005297907653102109,2.070873015873015e-06,-0.002182733416942404,-1.9047619047619046e-05,-0.002710453309236742,-0.002729500928284361,0.9844602466855354,266.53176530591435,0.5873015873015874,0.0,0.29365079365079366,0.2936507936507936,11,15,0.047619047619047616
2021-01-16,-0.011964382080323653,9.512698412698411e-05,-0.0004913043333696686,-1.9047619047619046e-05,-0.012360559429566337,-0.012379607048613956,0.972273015676587,265.8042666050946,0.634920634920635,0.0,0.31746031746031744,0.31746031746031744,12,17,0.047619047619047616
2021-01-17,0.013498928226370999,0.00021282253968253964,0.000773207848468529,-1.9047619047619046e-05,0.014484958614522068,0.01446591099547445,0.986337830584666,262.51371423267847,0.6507936507936509,0.0,0.32539682539682535,0.3253968253968254,11,18,0.047619047619047616
2021-01-18,-0.0019338525046876075,8.153722222222223e-05,-0.0009048871677474527,-1.9047619047619046e-05,-0.0027572024502128378,-0.002776250069260457,0.9835995101141911,266.31121425785983,0.6825396825396826,0.0,0.34126984126984117,0.3412698412698413,11,20,0.047619047619047616
2021-01-19,-0.0038497441448870785,0.0001924338888888889,0.003830918325474901,-1.9047619047619046e-05,0.00017360806947671129,0.00015456045042909223,0.9837515356975163,265.5718677308316,0.7142857142857142,0.0,0.357142857142857,0.3571428571428571,12,21,0.047619047619047616
2021-01-20,-0.0105944624811366,0.00013199365079365075,0.0011625096142507288,-1.9047619047619046e-05,-0.00929995921609222,-0.009319006835139839,0.9745839484122718,265.6129146383294,0.7460317460317459,0.0,0.3730158730158729,0.3730158730158729,12,22,0.047619047619047616
2021-01-21,0.012945326675328637,-3.884444444444422e-06,0.0009483117995697941,-1.9047619047619046e-05,0.013889754030453987,0.013870706411406369,0.9881021162339676,263.1376660713134,0.7777777777777777,0.0,0.38888888888888884,0.3888888888888888,13,23,0.047619047619047616
2021-01-22,0.0023128933211987446,-6.847269841269837e-05,0.006184509301645203,-1.9047619047619046e-05,0.008428929924431248,0.00840988230538363,0.9964119387371957,266.78757138317127,0.7936507936507935,0.0,0.39682539682539675,0.3968253968253967,13,23,0.047619047619047616
2021-01-23,0.017859173788528835,5.784214285714287e-05,0.0036206020635095432,-3.1746031746031745e-05,0.02153761799489552,0.021505871963149487,1.0178406463142315,269.03122345904285,0.7936507936507935,0.0,0.39682539682539686,0.3968253968253968,14,23,0.07936507936507936
2021-01-24,0.0015777129022238024,3.101031746031741e-06,-0.0010955176748245745,-2.5396825396825394e-05,0.0004852962591452596,0.0004598994337484342,1.0183087506511175,274.8169745048425,0.7936507936507935,0.0,0.39682539682539675,0.3968253968253968,15,22,0.06349206349206349
2021-01-25,-0.007068826809399266,-6.795095238095238e-05,0.0009303875672585578,-3.1746031746031745e-05,-0.00620639019452166,-0.006238136226267692,1.0119564019441554,274.9433626758017,0.7777777777777777,0.0,0.38888888888888884,0.38888888888888884,15,21,0.07936507936507936
2021-01-26,0.010893134850122877,5.5214285714285744e-05,0.0012111405796090505,-3.1746031746031745e-05,0.012159489715446213,0.012127743683700181,1.0242291498060137,273.228228524922,0.7619047619047616,0.0,0.38095238095238093,0.38095238095238093,15,20,0.07936507936507936
2021-01-27,0.011888173976763568,9.749539682539686e-05,0.0011930094448588426,-3.1746031746031745e-05,0.013178678818447807,0.013146932786701775,1.037694621596694,276.5418704476237,0.7619047619047616,0.0,0.38095238095238093,0.38095238095238093,15,20,0.07936507936507936
2021-01-28,0.010011473701773943,1.0221666666666667e-05,0.0008207658467279857,-1.9047619047619046e-05,0.010842461215168594,0.010823413596120976,1.0489260196727053,280.1775478311074,0.7619047619047616,0.0,0.38095238095238093,0.38095238095238093,15,20,0.047619047619047616
2021-01-29,0.019003034570270992,3.727777777777774e-06,0.002015621551443798,-3.1746031746031745e-05,0.02102238389949257,0.020990637867746537,1.0709436459017116,283.21002531163043,0.7619047619047616,0.0,0.38095238095238093,0.38095238095238093,16,19,0.07936507936507936
2021-01-30,-0.006115343176279788,-0.00011274293650793652,-0.003664276226057433,-3.1746031746031745e-05,-0.009892362338845157,-0.009924108370591189,1.060315485100987,289.15478439346214,0.7777777777777773,0.0,0.38888888888888884,0.38888888888888884,18,20,0.07936507936507936
2021-01-31,-0.005568998270878913,2.351246031746034e-05,-0.0014258311332509344,-3.1746031746031745e-05,-0.006971316943812388,-0.00700306297555842,1.052890028984865,286.2851809772665,0.8095238095238092,0.0,0.40476190476190477,0.40476190476190466,18,21,0.07936507936507936
2021-02-01,-0.003791327160475683,-1.8418015873015873e-05,-0.002348489165403726,-3.1746031746031745e-05,-0.006158234341752424,-0.006189980373498456,1.0463726603699965,284.28030782591355,0.825396825396825,0.0,0.4126984126984127,0.4126984126984127,18,21,0.07936507936507936
2021-02-02,0.003045199397819511,5.02779365079365e-05,-0.002238185239392597,-3.809523809523809e-05,0.0008572920949348503,0.0008191968568396122,1.0472298455644546,282.52061829989907,0.8571428571428571,0.0,0.4285714285714286,0.4285714285714285,18,22,0.09523809523809523
2021-02-03,0.00024537169223777045,-3.336595238095233e-05,0.0027771229118037986,-3.809523809523809e-05,0.0029891286516606167,0.0029510334135653786,1.0503202558303983,282.75205830240276,0.8730158730158729,0.0,0.4365079365079365,0.4365079365079365,17,23,0.09523809523809523
2021-02-04,0.0027138853459713103,-0.0002374488095238095,-0.0017790902043411949,-3.809523809523809e-05,0.0006973463321063059,0.0006592510940110678,1.0510126806081166,283.58646907420757,0.9047619047619048,0.0,0.4523809523809524,0.45238095238095233,18,24,0.09523809523809523
2021-02-05,0.015615957053655798,-0.00018069833333333318,0.0009739401029396956,-3.809523809523809e-05,0.01640919882326216,0.016371103585166923,1.0682189180716761,283.7734237641915,0.9206349206349206,0.0,0.46031746031746024,0.46031746031746024,18,22,0.09523809523809523
2021-02-06,-0.009020324099645496,-0.00016849309523809516,-0.0030704890774557363,-3.809523809523809e-05,-0.01225930627233933,-0.012297401510434567,1.0550826011351067,288.41910787935257,0.9682539682539681,0.0,0.4841269841269841,0.484126984126984,20,23,0.09523809523809523
2021-02-07,-0.011619443997762787,-6.533007936507923e-05,-0.004094132017868865,-3.1746031746031745e-05,-0.01577890609499673,-0.015810652126742764,1.0384010571635807,284.8723023064788,0.9523809523809522,0.0,0.4761904761904761,0.47619047619047605,19,23,0.07936507936507936
2021-02-08,0.03660991363072045,-1.437388888888892e-05,-0.005865490988737187,-3.1746031746031745e-05,0.03073004875309437,0.03069830272134834,1.0702782071625563,280.3682854341668,0.9365079365079364,0.0,0.46825396825396826,0.46825396825396814,19,23,0.07936507936507936
